Time, X, Y, Z
0,0.1162789,1.008651,0.05609366
0.002075195,0.1162773,1.008666,0.0561308
0.01318359,0.1163152,1.008656,0.05625686
0.02001953,0.1163034,1.00865,0.0562752
0.02423096,0.1162951,1.008646,0.05628702
0.03533936,0.1163213,1.008489,0.05637902
0.04003906,0.116322,1.008445,0.05638926
0.04644775,0.1163266,1.008372,0.05640292
0.05761719,0.1163577,1.008521,0.05638768
0.05999756,0.1163868,1.0085,0.05637239
0.06866455,0.116513,1.008378,0.05629505
0.07977295,0.1165949,1.008429,0.05624385
0.08001709,0.1165968,1.00843,0.05624253
0.09088135,0.116594,1.008305,0.05611739
0.1000366,0.116592,1.008181,0.0561236
0.1021118,0.1165916,1.008156,0.05612512
0.1151733,0.1166421,1.008163,0.056095
0.1199951,0.1166593,1.008135,0.05607265
0.1240845,0.1166754,1.008105,0.05604918
0.1353149,0.1166544,1.008138,0.05605213
0.1400146,0.1166104,1.008153,0.05609921
0.1463013,0.116532,1.008177,0.05618161
0.1574097,0.1164281,1.008148,0.05614465
0.1600342,0.1164065,1.008151,0.05614839
0.1685791,0.1163341,1.008171,0.05617896
0.1797485,0.1164338,1.00813,0.05628827
0.1799927,0.1164362,1.008129,0.05629085
0.190979,0.116332,1.008156,0.05627845
0.2000122,0.1162378,1.008096,0.05629231
0.2021484,0.1162175,1.008084,0.05629566
0.2130127,0.1163329,1.008023,0.05631046
0.2200317,0.1163081,1.007953,0.05634396
0.2241821,0.1162811,1.007902,0.05636892
0.2351685,0.1163263,1.007834,0.05635315
0.2399902,0.1162784,1.007818,0.05637446
0.2463379,0.1161777,1.007801,0.05642298
0.2575073,0.1161097,1.007793,0.05657582
0.2600098,0.1161201,1.007767,0.05657133
0.2697754,0.1161897,1.007614,0.05648941
0.2796631,0.1161134,1.007681,0.05635892
0.2800293,0.1161105,1.007683,0.0563543
0.2908325,0.1159138,1.007658,0.05635166
0.2999878,0.1159531,1.007621,0.05642127
0.3019409,0.1159617,1.007613,0.05643572
0.3130493,0.1159247,1.007626,0.05661024
0.3200073,0.1159544,1.007643,0.05668625
0.3242188,0.1159913,1.007664,0.05673073
0.3353271,0.1159194,1.007763,0.05690272
0.3400269,0.1158484,1.007697,0.05691701
0.3464966,0.1157191,1.007538,0.05691306
0.357666,0.1155024,1.007336,0.05684844
0.3599854,0.1154738,1.007323,0.05684094
0.3687134,0.1154539,1.007388,0.05683485
0.3798218,0.1154651,1.007429,0.05685349
0.3800049,0.1154653,1.007429,0.05685399
0.3909302,0.1156598,1.007382,0.05693142
0.4000244,0.1157309,1.007383,0.05689569
0.4019775,0.1157454,1.007385,0.05688819
0.413269,0.1158323,1.007269,0.05688328
0.4199829,0.1158772,1.007188,0.05696489
0.4257202,0.1159328,1.007076,0.05704905
0.4353027,0.1160869,1.006952,0.0571928
0.4400024,0.1161008,1.006908,0.05728468
0.4466553,0.1160956,1.006875,0.05743957
0.4575806,0.1161591,1.00667,0.05758397
