Time, X, Y, Z
0,-0.1344191,0.8935845,0.03461824
0,-0.206611,0.893463,0.2092689
0,-0.1357646,0.9093964,0.0847037
0,-0.1973837,0.9092469,0.1860572
0,-0.168194,0.9129973,0.1374193
0,-0.137939,0.9161749,0.1064961
0,-0.1564733,0.8985292,0.2097635
0,-0.2069082,0.903074,0.1691624
0,-0.1476267,0.8976818,0.1020947
0,-0.2144967,0.9073701,0.1782105
0,-0.1599454,0.9105558,0.1502148
0,-0.2086542,0.9102445,0.2044813
0,-0.1945062,0.9051051,0.1630164
0,-0.2106482,0.9107547,0.2044381
0,-0.1666322,0.8870755,0.15486
0,-0.2208253,0.8853393,0.1628637
0,-0.1767116,0.8897966,0.229054
0,-0.2053123,0.8824472,0.1541113
0,-0.2182664,0.8945369,0.2028929
0,-0.1908749,0.9212605,0.1723906
0,-0.209455,0.8962627,0.148708
0,-0.2417885,0.8939407,0.2021736
0,-0.1729781,0.8877003,0.2122791
0,-0.216826,0.8893471,0.2298116
0,-0.08344001,0.9287809,0.05561605
0,-0.1870083,0.8997682,0.19288
0,-0.2169816,0.885644,0.1661622
0,-0.1834428,0.8978948,0.2054016
0,-0.2154747,0.8996886,0.1785226
0,-0.1867637,0.8741639,0.2177854
0,-0.1518391,0.9299876,0.1118509
0,-0.1287698,0.9147531,0.1754772
0,-0.1281783,0.9345638,0.09034196
0,-0.2050864,0.9097981,0.09718265
0,-0.1409995,0.9009541,0.1774266
0,-0.207167,0.890128,0.1523582
0,-0.1880967,0.8891119,0.2099116
0,-0.1498404,0.9013247,0.1853576
0,-0.2454122,0.9294783,0.1715759
0,-0.1795474,0.8937435,0.2088556
0,-0.2027184,0.8978695,0.1723227
0,-0.1866311,0.901714,0.2129604
0,-0.1662141,0.8925915,0.195256
0,-0.2036824,0.9039864,0.1688765
0,-0.1745417,0.9030586,0.221219
0,-0.2183024,0.8970655,0.1829469
0,-0.1264248,0.9007619,0.08644675
0,-0.2370525,0.8968924,0.1979617
0,-0.1986765,0.9124129,0.1440128
0,-0.1626914,0.9259061,0.1918025
0,-0.1627404,0.9120938,0.1788306
0,-0.2076141,0.9409037,0.1668164
0,-0.1770962,0.9181713,0.1176334
0,-0.1733446,0.9140348,0.09876721
0,-0.08133315,0.9128868,-0.02648272
0,-0.08120321,0.9117649,0.1348793
0,-0.1919437,0.9296135,0.1301631
0,-0.1872769,0.9165876,0.1964389
0,-0.2633935,0.8886626,0.1773545
0,-0.09426117,1.084945,0.0001044124
0,-0.1600232,0.9214973,0.1317211
0,-0.1391906,0.9071159,0.1309948
0,-0.1244319,0.9188177,0.1385867
0,-0.1703763,0.89916,0.1407707
0,-0.1680988,0.9138824,0.1381923
0,-0.2154603,0.9056977,0.1785714
0,-0.1665359,0.9030674,0.1480191
12.95724,-0.1757021,0.9032505,0.2100704
16.07724,-0.2185911,0.8962553,0.1546028
18.29724,-0.18159,0.8882335,0.2143831
20.21725,-0.1610177,0.901389,0.1385898
22.07724,-0.2184328,0.8950704,0.1596823
24.11725,-0.1878955,0.8982439,0.1975245
27.47723,-0.2249581,0.8963977,0.1760409
29.51724,-0.2110814,0.8930777,0.1900982
30.65726,-0.04125162,0.902931,0.008057874
32.91724,-0.2323846,0.8959898,0.1818171
35.17725,-0.1719358,0.8825737,0.1999487
37.17725,-0.1945279,0.8822911,0.1932227
39.01724,-0.1824844,0.8915163,0.207691
40.95724,-0.2320908,0.8909146,0.1679141
42.69724,-0.1630384,0.8962555,0.2083218
65.37726,-0.2485752,0.8884144,0.1483081
66.73724,-0.2276165,0.8985192,0.215087
68.59726,-0.1504408,0.8802052,0.1503572
70.53723,-0.2178175,0.8702284,0.1884405
72.27725,-0.2054543,0.8794728,0.1422578
73.71725,-0.183787,0.88477,0.1743879
75.59726,-0.1897581,0.8748168,0.1550214
77.11725,-0.2082607,0.8967021,0.1835931
78.71725,-0.1668779,0.8950586,0.1650539
80.37726,-0.2045313,0.8877834,0.1345805
82.05725,-0.1914765,0.88446,0.1959313
83.49179,-0.2233353,0.8839865,0.2000913
87.29724,-0.2295989,0.9248366,0.1572063
89.25723,-0.2114732,0.8943342,0.1965673
91.35724,-0.1562999,0.9056908,0.1770369
94.25723,-0.2031415,0.8959438,0.1495566
116.6573,-0.1548426,0.8794116,0.1478572
119.4572,-0.2295506,0.8976847,0.1310112
121.4973,-0.1997569,0.9034021,0.1934914
123.4973,-0.1866059,0.8952227,0.1308993
125.4373,-0.1685743,0.894866,0.1795457
126.7972,-0.08554491,0.9124195,0.03912593
128.8572,-0.210823,0.8882054,0.1448092
131.0773,-0.1545798,0.8919386,0.2076501
133.2972,-0.2061849,0.8894103,0.1513059
135.1172,-0.2163452,0.8974183,0.174307
137.2772,-0.2423976,0.8946628,0.2103008
139.3372,-0.2058624,0.897777,0.1807986
140.5372,-0.0430618,0.8877889,-0.02475135
142.4973,-0.2193708,0.876979,0.1944028
144.2972,-0.2035664,0.8903256,0.1762524
166.8572,-0.2111774,0.9033045,0.2097035
168.6172,-0.1943175,0.9061173,0.136337
170.3572,-0.2146302,0.8913479,0.1854377
172.0372,-0.180024,0.893116,0.2010474
