Time, X, Y, Z
0.004882813,-0.1805749,1.067465,-0.07092918
0.01593018,-0.1805774,1.067424,-0.07109231
0.01724243,-0.1805726,1.067431,-0.07108665
0.02731323,-0.1806056,1.067511,-0.07114483
0.03726196,-0.18048,1.067499,-0.07120351
0.03805542,-0.1804722,1.067499,-0.07120776
0.04934692,-0.1804853,1.06745,-0.0712273
0.05725098,-0.1804633,1.067389,-0.07112698
0.06033325,-0.1804564,1.067359,-0.07108505
0.07150269,-0.1804504,1.067312,-0.07103615
0.07723999,-0.1804684,1.067332,-0.07108036
0.08261108,-0.1804892,1.06735,-0.07111438
0.09365845,-0.1805846,1.067315,-0.07113227
0.09725952,-0.1806251,1.067287,-0.07118799
0.1049805,-0.1807215,1.067247,-0.07130964
0.1172485,-0.1806181,1.06724,-0.07119334
0.1195068,-0.1806054,1.067235,-0.07116604
0.1269836,-0.1805275,1.067444,-0.07119544
0.1372375,-0.1806561,1.067325,-0.07108772
0.1376038,-0.1806718,1.067311,-0.07107458
0.1487427,-0.1807261,1.067361,-0.07114999
0.1572571,-0.1808068,1.067312,-0.0710599
0.1600037,-0.1808654,1.067272,-0.07101701
0.1708984,-0.1807543,1.067317,-0.07103421
0.1772461,-0.1808427,1.0673,-0.07106039
0.1820374,-0.1809255,1.067286,-0.07108015
0.1937561,-0.1806843,1.06728,-0.07127774
0.1972351,-0.180667,1.06729,-0.0712132
0.2045593,-0.1806024,1.067314,-0.07110755
0.2154236,-0.180564,1.067147,-0.07098368
0.2172546,-0.1805612,1.067134,-0.07101142
0.226532,-0.180554,1.06709,-0.07114831
0.2372437,-0.1806216,1.067139,-0.07118765
0.237915,-0.1806248,1.06714,-0.07118887
0.2487183,-0.1807771,1.067208,-0.0712918
0.2572327,-0.1805844,1.067197,-0.07142264
0.2600708,-0.1804928,1.067195,-0.07147953
0.2737427,-0.1802454,1.06736,-0.07179205
0.2772522,-0.1801142,1.067399,-0.07183567
0.2818604,-0.1799386,1.06747,-0.07194389
0.2932129,-0.1798667,1.067423,-0.0719222
0.2972412,-0.1798037,1.067431,-0.07190309
0.3042297,-0.1796687,1.067456,-0.07186049
0.3153992,-0.1796637,1.067358,-0.07188946
0.3172607,-0.1796524,1.067353,-0.07192945
0.3267212,-0.1795088,1.067377,-0.07233837
0.3372498,-0.1792048,1.067533,-0.0727261
0.3375854,-0.1791954,1.067538,-0.07273971
0.3486633,-0.1787286,1.067715,-0.07310772
0.3572388,-0.1784072,1.067835,-0.07330661
0.3600159,-0.1782582,1.067884,-0.07340026
0.3709106,-0.17759,1.068015,-0.07406719
0.3772583,-0.1771551,1.068052,-0.07432564
0.382019,-0.1767649,1.068075,-0.07454091
0.3934021,-0.1763314,1.06787,-0.07525362
0.3972473,-0.1762113,1.067738,-0.07546231
0.4042969,-0.1759928,1.067445,-0.07587518
0.4154663,-0.1755504,1.067499,-0.07682487
0.4172363,-0.17545,1.067513,-0.07699443
0.4274902,-0.1747191,1.067627,-0.07806645
0.4372559,-0.1739899,1.067675,-0.07919957
0.4378052,-0.1739345,1.067676,-0.07928145
0.4487915,-0.1729963,1.068011,-0.0804377
0.4572449,-0.1721633,1.068285,-0.08155142
0.4596558,-0.1718216,1.068395,-0.08201085
0.4707947,-0.1708802,1.06842,-0.08350624
0.4772339,-0.1703139,1.068447,-0.0843415
0.4821777,-0.1698141,1.068477,-0.0850797
0.4934692,-0.1687408,1.06877,-0.08663079
0.4972534,-0.168237,1.06893,-0.08724648
0.5045776,-0.1670549,1.069318,-0.08861314
0.5159302,-0.1650633,1.069982,-0.09036784
0.5172424,-0.1648208,1.070055,-0.09058724
0.5272522,-0.1628124,1.070587,-0.0924091
0.537262,-0.1607814,1.07095,-0.09459792
0.5384216,-0.1605434,1.071,-0.09485061
0.5496826,-0.1583993,1.071161,-0.09690359
0.557251,-0.1566353,1.071187,-0.09835036
0.5607605,-0.1555508,1.071206,-0.09922497
0.5722656,-0.1530513,1.07103,-0.1012134
0.57724,-0.1516019,1.070848,-0.1024818
0.5843506,-0.1491554,1.070508,-0.1046468
0.5942688,-0.1459227,1.070287,-0.1068681
0.5972595,-0.1448625,1.070143,-0.1077186
0.6053467,-0.1416208,1.069686,-0.1103429
0.6165771,-0.1379516,1.0691,-0.1131531
0.6172485,-0.1377087,1.069053,-0.1133349
0.6276245,-0.1333193,1.067465,-0.1162973
0.6372375,-0.1294989,1.065952,-0.1183393
0.6390076,-0.128828,1.065681,-0.1187035
0.650177,-0.1245534,1.063889,-0.1215523
0.6572571,-0.1215241,1.062288,-0.123285
0.6611633,-0.1194313,1.06116,-0.1244704
0.6730652,-0.1140991,1.059043,-0.1274552
0.6772461,-0.1126094,1.057937,-0.1282168
0.6836548,-0.1099767,1.056002,-0.1295759
0.6947632,-0.1058944,1.053375,-0.1320036
0.6972351,-0.1050025,1.052621,-0.1324943
0.7058105,-0.1016628,1.049592,-0.1343048
0.7170715,-0.09830304,1.046227,-0.1365124
0.7172546,-0.09824337,1.046167,-0.1365516
0.7281494,-0.0944337,1.042485,-0.1385897
0.7372437,-0.09171127,1.039342,-0.1397471
0.742218,-0.09021243,1.037553,-0.1404544
0.7502136,-0.08848127,1.035923,-0.1416282
0.7572327,-0.08693394,1.033857,-0.142138
0.7601013,-0.08611113,1.032721,-0.142375
0.7712097,-0.08358967,1.030749,-0.1432984
0.7772522,-0.08214599,1.029749,-0.1440734
0.7824097,-0.08072094,1.028546,-0.1450903
0.7933044,-0.07878916,1.026791,-0.1464587
0.7972412,-0.07806017,1.026296,-0.1469662
0.8044739,-0.07657801,1.025539,-0.1480277
0.8156738,-0.07483348,1.024565,-0.1491486
0.8172607,-0.07455845,1.024428,-0.1493115
0.8271484,-0.072771,1.023516,-0.1503208
0.8372498,-0.07096426,1.022912,-0.1514206
0.8379211,-0.07086066,1.022888,-0.1514768
0.848999,-0.06924264,1.021927,-0.1520098
0.8572388,-0.0679535,1.021034,-0.1525548
0.8601685,-0.06735282,1.020589,-0.1528206
0.8711853,-0.06592476,1.019453,-0.1533819
0.8772583,-0.06514494,1.018687,-0.1537317
0.8822327,-0.06449104,1.017875,-0.1540668
0.895813,-0.06304231,1.016503,-0.1549545
0.8972473,-0.06291983,1.01634,-0.1550207
0.9042358,-0.06221581,1.015456,-0.1554048
0.9155884,-0.06136764,1.014453,-0.1560007
0.9172363,-0.06124009,1.014315,-0.1560914
0.9266663,-0.06076219,1.01348,-0.1563967
0.9372559,-0.0599701,1.012572,-0.1566564
0.9381104,-0.05989164,1.012476,-0.1566794
0.948822,-0.05925443,1.011948,-0.156921
0.9572449,-0.05886603,1.011553,-0.1570656
0.960022,-0.05873514,1.01138,-0.1571209
0.9711914,-0.05854875,1.010927,-0.1571154
0.9772339,-0.05846754,1.010687,-0.1570071
0.9822693,-0.05839833,1.010466,-0.1568343
0.9934998,-0.05847638,1.010462,-0.1564878
0.9972534,-0.058517,1.010545,-0.1563793
1.004517,-0.05865089,1.011131,-0.1561728
1.015411,-0.05943379,1.011902,-0.155689
1.017242,-0.05960376,1.012057,-0.1555817
1.026794,-0.06042747,1.012841,-0.1548173
1.037262,-0.06116042,1.013955,-0.1539803
1.037903,-0.06119838,1.01402,-0.1539304
1.052521,-0.06259796,1.016063,-0.1525659
1.057251,-0.06312636,1.016868,-0.1520436
1.059967,-0.06354679,1.017507,-0.1516288
1.070435,-0.0646596,1.019373,-0.1507093
1.07724,-0.06557031,1.020772,-0.1500286
1.081604,-0.06634651,1.021867,-0.1494159
1.09259,-0.06764422,1.02351,-0.1482347
1.09726,-0.06825118,1.024215,-0.1477032
1.103607,-0.06910103,1.025397,-0.1469992
1.11499,-0.06998552,1.026864,-0.1460533
1.117249,-0.07014492,1.027173,-0.1458477
1.125916,-0.07122593,1.028177,-0.1450448
1.137115,-0.07201774,1.028984,-0.1443739
1.137238,-0.07202476,1.028993,-0.1443672
1.148193,-0.0729586,1.029461,-0.1434095
1.157257,-0.07373421,1.029437,-0.1426651
1.159302,-0.07389649,1.029392,-0.1425003
1.170319,-0.07447664,1.029042,-0.1420057
1.177246,-0.07470518,1.02866,-0.1418259
1.181519,-0.07480511,1.02827,-0.1416928
1.192871,-0.07477808,1.027339,-0.1415714
1.197235,-0.0747553,1.026912,-0.1415168
1.204651,-0.07469427,1.025536,-0.1412949
1.214935,-0.07434376,1.024006,-0.1412513
1.217255,-0.07425398,1.023639,-0.1412424
1.226166,-0.0735984,1.022245,-0.1413647
1.237061,-0.07318926,1.020537,-0.1413745
1.237244,-0.07318334,1.020502,-0.1413736
1.248108,-0.07251833,1.017904,-0.1411451
1.257233,-0.07214279,1.015651,-0.1407621
1.259308,-0.07206969,1.015112,-0.1406669
1.270264,-0.07134946,1.012723,-0.1402431
1.277252,-0.07073896,1.01109,-0.1399409
1.281616,-0.07022061,1.009724,-0.139693
1.292755,-0.06947523,1.007252,-0.1392277
1.297241,-0.0691698,1.006161,-0.1390009
1.303711,-0.06845129,1.004314,-0.1387038
1.314789,-0.06739046,1.001677,-0.1383015
1.317261,-0.06709923,1.001007,-0.1381663
1.326172,-0.06613651,0.9984299,-0.1373636
1.337036,-0.06526969,0.995891,-0.1364213
1.33725,-0.06525081,0.9958362,-0.1364
1.348175,-0.06430104,0.9926426,-0.1350641
1.357239,-0.06354988,0.9902446,-0.1341608
1.361145,-0.06319258,0.9892177,-0.1338092
1.370209,-0.06259131,0.986902,-0.1330143
1.377258,-0.06208076,0.9848504,-0.1322966
1.381531,-0.06157686,0.9833382,-0.1318154
1.392792,-0.06043651,0.9807696,-0.1309781
1.397247,-0.05990174,0.9797535,-0.1306221
1.404846,-0.05874008,0.977326,-0.1297553
1.414917,-0.05770097,0.9746993,-0.1285681
1.417236,-0.05743698,0.9740067,-0.1282159
1.426453,-0.05611132,0.9710016,-0.1272375
1.437256,-0.05491998,0.9675136,-0.1264031
1.4375,-0.05489861,0.967441,-0.1263852
1.448608,-0.05391492,0.9640654,-0.1255278
1.457245,-0.05309018,0.9611944,-0.1247106
1.45993,-0.0527371,0.9600017,-0.1243095
1.471161,-0.05192503,0.9574285,-0.123556
1.477234,-0.05153453,0.9561985,-0.1231656
1.482513,-0.05103371,0.955189,-0.1228348
1.493896,-0.05041455,0.9537213,-0.1223971
1.497253,-0.05023341,0.9532048,-0.1222594
1.505035,-0.04962841,0.9517664,-0.1221586
1.517242,-0.04926421,0.94992,-0.1220687
1.519623,-0.04923073,0.9493567,-0.1220325
1.527527,-0.04905351,0.9482223,-0.12193
1.53717,-0.04877594,0.9470766,-0.1219086
1.537262,-0.04877327,0.9470704,-0.121909
1.548279,-0.04855491,0.9462717,-0.1219798
1.557251,-0.04846022,0.9458105,-0.1218919
1.559601,-0.04842428,0.9456646,-0.1218318
1.570435,-0.04830058,0.9451991,-0.1216862
1.57724,-0.04821849,0.9449675,-0.1212043
1.581726,-0.04816976,0.9448302,-0.1208723
1.592773,-0.04809375,0.9446625,-0.1204446
1.59726,-0.0479329,0.944667,-0.1204667
1.603729,-0.04756244,0.9449875,-0.1203536
1.614899,-0.04708124,0.9455099,-0.1202164
1.617249,-0.04698197,0.9458448,-0.1201683
1.62616,-0.04641356,0.946604,-0.1199948
1.637238,-0.045692,0.9475171,-0.1197409
1.637268,-0.04584642,0.9473915,-0.1195612
1.648285,-0.04547544,0.9479622,-0.1190761
1.657257,-0.0454968,0.9486527,-0.1183251
1.659668,-0.04556581,0.9488616,-0.1178404
1.673401,-0.04568006,0.9495333,-0.1165919
1.677246,-0.04573572,0.9497548,-0.1162337
1.681305,-0.04590094,0.9501309,-0.1159979
1.692749,-0.04623209,0.9506522,-0.1155265
1.697235,-0.04637995,0.9511746,-0.1154473
1.703552,-0.04666444,0.9518519,-0.1150675
1.714752,-0.04711158,0.9528227,-0.1144555
1.717255,-0.04738308,0.9531919,-0.1143069
1.726227,-0.04784805,0.9544522,-0.1138313
1.737091,-0.04815492,0.955722,-0.1135575
1.737244,-0.04827864,0.9558331,-0.1136004
1.748047,-0.04928776,0.9576968,-0.1131783
1.757233,-0.05019936,0.9590873,-0.112867
1.759338,-0.05049719,0.9595022,-0.1127426
1.770416,-0.05162213,0.9611351,-0.1123406
1.777252,-0.05221871,0.962568,-0.1120125
1.781219,-0.05316837,0.9637164,-0.1116713
1.792419,-0.05456611,0.9655265,-0.1112306
1.797241,-0.05480598,0.9665512,-0.1109909
1.803497,-0.05594955,0.9681935,-0.1102993
1.814819,-0.05705807,0.9697374,-0.1096742
1.817261,-0.05757615,0.9707081,-0.1092888
1.828979,-0.05986734,0.9738991,-0.1074859
1.8367,-0.0606318,0.974912,-0.10685
1.83725,-0.06092406,0.975163,-0.1069396
1.847961,-0.06403872,0.9785434,-0.1056392
1.857239,-0.06609839,0.980689,-0.1048657
1.859344,-0.06663001,0.9814568,-0.1045004
1.870117,-0.06866409,0.9837954,-0.103559
1.877258,-0.06981432,0.9855539,-0.1025099
1.881439,-0.07186517,0.9873514,-0.1018181
1.893036,-0.07440878,0.9896321,-0.1010143
1.897247,-0.07525864,0.9910923,-0.1001952
1.903961,-0.07804671,0.9936716,-0.09856932
1.914917,-0.08001246,0.9953818,-0.0973887
1.917236,-0.08116491,0.9962776,-0.09730276
1.926331,-0.08533457,0.999848,-0.09522897
1.937134,-0.087636,1.00183,-0.09389433
1.937256,-0.08767955,1.001908,-0.09402861
1.948364,-0.09274376,1.005752,-0.09118584
1.957245,-0.09598507,1.00781,-0.08914819
1.959625,-0.09673158,1.008315,-0.08885698
1.970398,-0.099165,1.00992,-0.08746865
1.977234,-0.1014958,1.01233,-0.08557522
1.983795,-0.105556,1.014705,-0.08325318
1.992554,-0.107669,1.015902,-0.0820912
1.997253,-0.1097435,1.017004,-0.08013465
2.003723,-0.1139731,1.019173,-0.07709192
2.014923,-0.1173443,1.020836,-0.07469565
2.017242,-0.1181782,1.021306,-0.07375219
2.026337,-0.1240263,1.02372,-0.06914307
2.036957,-0.1269264,1.024613,-0.06689668
2.037262,-0.1268024,1.024662,-0.06679443
2.04834,-0.133388,1.026144,-0.06185925
2.057251,-0.1379859,1.026648,-0.05896479
2.059448,-0.1384394,1.026829,-0.05770136
2.070404,-0.1417593,1.02732,-0.05464433
2.07724,-0.1448494,1.027056,-0.0522843
2.081665,-0.1482882,1.027562,-0.04856823
2.092865,-0.15161,1.02813,-0.04497153
2.09726,-0.153426,1.027853,-0.04325084
2.10379,-0.1572946,1.027802,-0.0387641
2.114777,-0.159987,1.027775,-0.03547949
2.117249,-0.1607267,1.028191,-0.03502125
2.126495,-0.1647022,1.028589,-0.02967072
2.137238,-0.1679582,1.028352,-0.02500531
2.143066,-0.1697044,1.028149,-0.02287175
2.149963,-0.1709488,1.028011,-0.02135165
2.156799,-0.1731603,1.027992,-0.01758927
2.157257,-0.1732083,1.027977,-0.01747786
2.168091,-0.176462,1.027537,-0.01171014
2.177246,-0.1795396,1.027574,-0.008177727
2.178986,-0.1802157,1.027603,-0.007530272
2.190186,-0.1828092,1.026824,-0.004660159
