Time, X, Y, Z
0.004882813,0.0267337,1.04101,0.0097965
0.01593018,0.02684405,1.041014,0.009880036
0.01724243,0.02687557,1.041003,0.009886235
0.02731323,0.02697677,1.041033,0.009968877
0.03726196,0.02695064,1.041087,0.01004353
0.03805542,0.02695078,1.041092,0.01004985
0.04934692,0.02709977,1.040945,0.01036221
0.05725098,0.02709346,1.040816,0.01028728
0.06033325,0.02709349,1.040752,0.01026791
0.07150269,0.02706144,1.040967,0.01013467
0.07723999,0.02703177,1.040879,0.01010916
0.08261108,0.02699727,1.040807,0.0100767
0.09365845,0.02680838,1.040831,0.01001033
0.09725952,0.0267937,1.040894,0.009972155
0.1049805,0.02673493,1.041028,0.009881139
0.1172485,0.02679307,1.040763,0.009925991
0.1195068,0.02680173,1.040719,0.00993678
0.1269836,0.02691995,1.04073,0.009990841
0.1372375,0.02700035,1.040611,0.01005641
0.1376038,0.02701014,1.040596,0.01006523
0.1487427,0.02689375,1.040795,0.01011544
0.1572571,0.0268743,1.04075,0.01026776
0.1600037,0.02683864,1.040713,0.0103448
0.1708984,0.02698148,1.040849,0.01044649
0.1772461,0.02703791,1.041034,0.01033872
0.1820374,0.02708562,1.041204,0.01024464
0.1937561,0.02714799,1.040895,0.01023611
0.1972351,0.02713467,1.040886,0.01026174
0.2045593,0.02711509,1.040838,0.01031274
0.2154236,0.02712061,1.040842,0.0104394
0.2172546,0.0271247,1.040846,0.0104447
0.226532,0.02713236,1.040902,0.01047608
0.2372437,0.02724656,1.041074,0.01042095
0.237915,0.02725361,1.041079,0.01041895
0.2487183,0.02713439,1.040985,0.01054958
0.2572327,0.02709394,1.041011,0.01069838
0.2600708,0.02707694,1.041029,0.01076755
0.2737427,0.02718126,1.041075,0.01076031
0.2772522,0.02728099,1.041085,0.01064369
0.2818604,0.02739912,1.041116,0.01052126
0.2932129,0.02744348,1.041021,0.01046661
0.2972412,0.02749874,1.040977,0.01042324
0.3042297,0.02762002,1.04089,0.01033115
0.3153992,0.02770221,1.040887,0.01037014
0.3172607,0.02770799,1.040895,0.01037818
0.3267212,0.02771991,1.040987,0.01042455
0.3372498,0.02762325,1.041135,0.01055461
0.3375854,0.0276206,1.041138,0.01055679
0.3486633,0.02777638,1.041157,0.01052418
0.3572388,0.02791785,1.041286,0.01067352
0.3600159,0.02798879,1.04135,0.01074407
0.3709106,0.02784956,1.041426,0.01069349
0.3772583,0.02784932,1.041528,0.01076236
0.382019,0.02785823,1.041619,0.01083237
0.3934021,0.02807108,1.041391,0.01090217
0.3972473,0.02815615,1.041399,0.01094076
0.4042969,0.02831959,1.041446,0.01103064
0.4154663,0.02843681,1.041581,0.01128861
0.4172363,0.02846326,1.041587,0.01132259
0.4274902,0.02859408,1.041458,0.0114924
0.4372559,0.02853524,1.041322,0.01168385
0.4378052,0.02853498,1.041308,0.01169637
0.4487915,0.02873819,1.041261,0.01175809
0.4572449,0.02891095,1.041388,0.01180598
0.4596558,0.02898116,1.041447,0.01182762
0.4707947,0.02918391,1.041248,0.01190129
0.4772339,0.02940295,1.041367,0.01201478
0.4821777,0.02960946,1.041526,0.01213434
0.4934692,0.02969211,1.041817,0.01222718
0.4972534,0.0297795,1.041806,0.01220915
0.5045776,0.03001433,1.041705,0.01214236
0.5159302,0.03032659,1.041501,0.01207718
0.5172424,0.03035858,1.041478,0.01208827
0.5272522,0.03060944,1.041342,0.01235905
0.537262,0.03086562,1.041599,0.01235878
0.5384216,0.03089654,1.041627,0.01235908
0.5496826,0.03114122,1.04144,0.01217622
0.557251,0.03130332,1.041554,0.01225793
0.5607605,0.03140628,1.041636,0.01231638
0.5722656,0.03169601,1.041499,0.01242056
0.57724,0.03192517,1.041363,0.01236528
0.5843506,0.03229041,1.04111,0.01228046
0.5942688,0.03251906,1.040717,0.01245138
0.5972595,0.03266108,1.040642,0.01251486
0.6053467,0.03312165,1.040418,0.01270062
0.6165771,0.03355289,1.040514,0.01310816
0.6172485,0.03357451,1.040522,0.01313746
0.6276245,0.03357915,1.040514,0.01373148
0.6372375,0.03343702,1.040939,0.01402918
0.6390076,0.03341679,1.041004,0.01407954
0.650177,0.03369763,1.04059,0.01309404
0.6572571,0.03406258,1.039578,0.01361337
0.6611633,0.03432948,1.038836,0.01403153
0.6730652,0.03477626,1.037824,0.01585522
0.6772461,0.03503409,1.037959,0.01547924
0.6836548,0.03548557,1.038172,0.01485622
0.6947632,0.03559501,1.038571,0.01617938
0.6972351,0.03558659,1.038604,0.01672414
0.7058105,0.03551731,1.038657,0.01906097
0.7170715,0.03551573,1.039103,0.02178681
0.7172546,0.03551562,1.039111,0.02183509
0.7281494,0.03588319,1.040012,0.02174035
0.7372437,0.03609233,1.040261,0.02022901
0.742218,0.03617065,1.040362,0.01939836
0.7502136,0.03659742,1.040517,0.01771235
0.7572327,0.03708448,1.040344,0.01713467
0.7601013,0.03736378,1.040229,0.0168871
0.7712097,0.03802896,1.040174,0.01669663
0.7772522,0.03826808,1.040079,0.01664919
0.7824097,0.03836309,1.039598,0.01655984
0.7933044,0.03906354,1.039842,0.01639318
0.7972412,0.0392957,1.039993,0.01648405
0.8044739,0.03963382,1.040142,0.01695842
0.8156738,0.03970642,1.040762,0.01747462
0.8172607,0.03972264,1.040882,0.01755726
0.8271484,0.04062504,1.041936,0.01823321
0.8372498,0.04161552,1.042264,0.01858684
0.8379211,0.04167596,1.042289,0.01861027
0.848999,0.04271608,1.042475,0.01870814
0.8572388,0.04351871,1.042964,0.01882881
0.8601685,0.04387414,1.043262,0.018929
0.8711853,0.04503574,1.043931,0.01901022
0.8772583,0.04579259,1.044261,0.01889542
0.8822327,0.04649352,1.0445,0.01870474
0.895813,0.04817136,1.044893,0.01863965
0.8972473,0.04833104,1.044968,0.01865545
0.9042358,0.04923162,1.045361,0.0187372
0.9155884,0.05038829,1.045625,0.01926365
0.9172363,0.05056714,1.045683,0.01936343
0.9266663,0.05182174,1.046132,0.01984751
0.9372559,0.05326141,1.046547,0.01987907
0.9381104,0.05340765,1.046606,0.01987547
0.948822,0.05436084,1.04681,0.02005863
0.9572449,0.05537955,1.047058,0.02031741
0.960022,0.05586608,1.047175,0.02043995
0.9711914,0.05706505,1.047491,0.02132449
0.9772339,0.0579421,1.047454,0.02210167
0.9822693,0.05897341,1.047218,0.0230453
0.9934998,0.06072932,1.047658,0.02408761
0.9972534,0.0614067,1.047829,0.0243915
1.004517,0.06304722,1.047958,0.02494234
1.015411,0.06486361,1.047777,0.02534404
1.017242,0.06519764,1.047739,0.02541557
1.026794,0.06707116,1.047996,0.02600142
1.037262,0.06855804,1.04821,0.02704757
1.037903,0.06865226,1.048211,0.027114
1.052521,0.07207616,1.04805,0.0282304
1.057251,0.07324385,1.047769,0.02872494
1.059967,0.07418458,1.04756,0.02910861
1.070435,0.07649647,1.047275,0.02995214
1.07724,0.07811672,1.047291,0.0304696
1.081604,0.07938918,1.047487,0.03083149
1.09259,0.08196677,1.046983,0.03140882
1.09726,0.08312926,1.046659,0.0316866
1.103607,0.08481272,1.046503,0.03236818
1.11499,0.0872418,1.046328,0.03331155
1.117249,0.08778014,1.046297,0.03351375
