Time, X, Y, Z
18.57953,-0.2246066,0.9033278,0.1639376
20.63953,-0.1758443,0.8970714,0.1800128
22.21954,-0.2054614,0.8956546,0.1851481
26.43951,-0.2394945,0.9009045,0.1079773
27.93951,-0.1832645,0.9010114,0.1939402
29.61951,-0.2254089,0.8949128,0.1616701
31.53955,-0.1393241,0.9047568,0.1669504
33.13953,-0.208453,0.8866022,0.1736191
34.47955,-0.189772,0.9328966,0.1732795
36.61951,-0.1799675,0.9011295,0.1788822
38.63953,-0.2305837,0.893509,0.1731098
40.19952,-0.1510214,0.9096578,0.1976481
41.81952,-0.205726,0.8941666,0.1715726
44.8595,-0.2642984,0.8819011,0.186094
46.7395,-0.1941876,0.8981661,0.1688052
68.83954,-0.19261,0.8963708,0.1354192
70.39954,-0.1710584,0.8996047,0.2219108
72.15955,-0.2145819,0.8869656,0.1647361
73.65955,-0.1694709,0.8777765,0.2052024
76.37952,-0.207467,0.868737,0.1513984
78.1795,-0.21809,0.8878117,0.1880514
80.2395,-0.1884803,0.9183899,0.2212102
82.11951,-0.2103852,0.8926613,0.173739
84.61951,-0.1715953,0.8931466,0.1745966
86.47955,-0.2027947,0.8833514,0.1721321
88.11951,-0.1592761,0.8874288,0.1554463
89.6795,-0.2042014,0.8942722,0.1823381
91.75952,-0.183017,0.9174551,0.1477176
93.47955,-0.2066848,0.893712,0.2104859
96.69952,-0.1642474,0.8732374,0.1568762
118.2195,-0.1690874,0.8766158,0.2022707
120.9595,-0.1797,0.8975828,0.1531021
123.7396,-0.210508,0.9014512,0.1853492
125.6196,-0.1838713,0.8650458,0.1678596
127.4395,-0.1774957,0.8938723,0.162686
129.1395,-0.2142416,0.8877426,0.1840974
131.0844,-0.158583,0.8775385,0.1790632
134.4395,-0.2166999,0.8827371,0.1987412
136.0195,-0.07202102,0.9200987,0.0182454
137.8195,-0.2162735,0.8777204,0.1615149
139.7795,-0.1969277,0.887855,0.2170597
141.8395,-0.169432,0.8830712,0.166548
143.6196,-0.1627357,0.8993462,0.1857231
145.5595,-0.1911754,0.8933755,0.1789638
147.2995,-0.1799914,0.8914154,0.1698165
148.8995,-0.2333424,0.8924789,0.1847326
151.9395,-0.1310669,0.8836633,0.1656702
155.6196,-0.1938377,0.8901879,0.1650764
158.4996,-0.1700415,0.891381,0.1559235
160.7195,-0.2416745,0.8881121,0.1458346
162.3596,-0.2031877,0.8934519,0.1839281
164.1196,-0.1604593,0.8929697,0.146358
165.0995,-0.06083769,0.8915649,0.01457198
167.0195,-0.2203845,0.8953043,0.1724923
169.1995,-0.1583432,0.8877002,0.167257
171.0995,-0.224274,0.8841409,0.1490506
174.0795,-0.1752304,0.8889029,0.1788818
175.8796,-0.2391539,0.8781773,0.1399927
177.4595,-0.1774277,0.8986433,0.1647411
179.2396,-0.1711866,0.8826239,0.1329862
181.6595,-0.1973801,0.8924218,0.126876
