Time, X, Y, Z
18.57953,-0.1942606,0.86,0.1716421
20.63953,-0.1511298,0.86,0.1936165
22.21954,-0.1984646,0.86,0.1780752
26.43951,-0.2198924,0.86,0.137551
27.93951,-0.172434,0.86,0.1974165
29.61951,-0.1984334,0.86,0.1674872
31.53955,-0.1530528,0.86,0.186725
33.13953,-0.204167,0.86,0.1638159
34.47955,-0.1883037,0.86,0.2019844
36.61951,-0.1540215,0.86,0.1902302
38.63953,-0.2015169,0.86,0.1603035
40.19952,-0.1504752,0.86,0.1839241
41.81952,-0.1807518,0.86,0.1529101
44.8595,-0.2214896,0.86,0.1863737
46.7395,-0.1638411,0.86,0.1637596
68.83954,-0.1975943,0.86,0.1794008
70.39954,-0.151457,0.86,0.2050077
72.15955,-0.1972383,0.86,0.1561735
73.65955,-0.1727006,0.86,0.1899106
76.37952,-0.2005678,0.86,0.1453375
78.1795,-0.198274,0.86,0.1970886
80.2395,-0.154021,0.86,0.2052252
82.11951,-0.1857469,0.86,0.1550893
84.61951,-0.1502498,0.86,0.1929137
86.47955,-0.1982901,0.86,0.157331
88.11951,-0.1506794,0.86,0.1389049
89.6795,-0.1988977,0.86,0.1917542
91.75952,-0.1694006,0.86,0.153528
93.47955,-0.1827961,0.86,0.2022117
96.69952,-0.1509161,0.86,0.1726584
118.2195,-0.1875714,0.86,0.1975608
120.9595,-0.1873177,0.86,0.1485022
123.7396,-0.1932376,0.86,0.2035722
125.6196,-0.1931541,0.86,0.1367383
127.4395,-0.1554525,0.86,0.179932
129.1395,-0.205201,0.86,0.182941
131.0844,-0.1504052,0.86,0.1845082
134.4395,-0.2110025,0.86,0.1908764
136.0195,-0.2014217,0.86,0.1442635
137.8195,-0.2050856,0.86,0.1872331
139.7795,-0.1574835,0.86,0.2079732
141.8395,-0.1911279,0.86,0.1817708
143.6196,-0.1561503,0.86,0.1987601
145.5595,-0.2019459,0.86,0.1546404
147.2995,-0.1728226,0.86,0.176341
148.8995,-0.2151858,0.86,0.1668601
151.9395,-0.151907,0.86,0.1695979
155.6196,-0.1981084,0.86,0.1713473
158.4996,-0.1600088,0.86,0.1789803
160.7195,-0.2182669,0.86,0.1627486
162.3596,-0.2013919,0.86,0.1978018
164.1196,-0.1618604,0.86,0.1721387
165.0995,-0.1775505,0.86,0.2075734
167.0195,-0.2078322,0.86,0.1829898
169.1995,-0.1508647,0.86,0.164484
171.0995,-0.2003794,0.86,0.1537291
174.0795,-0.1519058,0.86,0.1773295
175.8796,-0.219955,0.86,0.1424118
177.4595,-0.176154,0.86,0.1736628
179.2396,-0.1575673,0.86,0.1419454
181.6595,-0.2057495,0.86,0.1451506
