Time, X, Y, Z
0.003051758,-0.1880065,1.058856,-0.04841022
0.01409912,-0.1879824,1.058674,-0.04825073
0.01953125,-0.1880404,1.058664,-0.04832178
0.02539063,-0.188098,1.058735,-0.04832157
0.03686523,-0.1881515,1.058802,-0.04830134
0.03955078,-0.188115,1.058544,-0.04837847
0.04779053,-0.1880722,1.058419,-0.04834653
0.05889893,-0.1880174,1.058374,-0.04829279
0.05950928,-0.1880023,1.058435,-0.04827109
0.07000732,-0.1879061,1.058519,-0.04804382
0.07952881,-0.1877823,1.058436,-0.04801148
0.08117676,-0.1877621,1.058429,-0.04800281
0.09246826,-0.187785,1.058357,-0.04799986
0.09954834,-0.1880048,1.058448,-0.04789163
0.1047363,-0.1879782,1.058473,-0.04783472
0.1144409,-0.1878805,1.058476,-0.04778033
0.1195068,-0.1877579,1.058476,-0.04796001
0.1256714,-0.1876504,1.058496,-0.04807697
0.1365967,-0.1876942,1.058797,-0.04778311
0.1395264,-0.1877469,1.058641,-0.0478823
0.1477661,-0.1878009,1.058572,-0.04796001
0.1589966,-0.1877089,1.058411,-0.0480521
0.1595459,-0.1876768,1.058499,-0.04797773
0.170105,-0.1875698,1.058563,-0.04789844
0.1795044,-0.1876901,1.05842,-0.04789087
0.1813965,-0.1877028,1.058412,-0.0478849
0.1925659,-0.1877032,1.058366,-0.04805216
0.1995239,-0.1877209,1.058321,-0.04782432
0.2037964,-0.1877281,1.05828,-0.04774863
0.2149658,-0.1877356,1.058341,-0.0478784
0.2195435,-0.1877398,1.0584,-0.04799649
0.2260132,-0.1877737,1.058453,-0.04810914
0.2371826,-0.1878729,1.058479,-0.04807596
0.239502,-0.1878529,1.05864,-0.04806115
0.2483521,-0.1878435,1.058883,-0.0479975
0.2595215,-0.1877356,1.058485,-0.04796383
0.2616577,-0.1877372,1.058462,-0.04796791
0.2704468,-0.187743,1.058378,-0.0479829
0.279541,-0.1877723,1.058475,-0.04802471
0.2811279,-0.1877719,1.058491,-0.04803291
0.2919922,-0.1875755,1.058732,-0.04833923
0.2994995,-0.1875415,1.058822,-0.04841706
0.3031616,-0.1875263,1.058898,-0.04848111
0.31427,-0.1875787,1.058965,-0.04859459
0.319519,-0.1875483,1.058878,-0.04867707
0.3253784,-0.1875429,1.058816,-0.04877348
0.3363647,-0.1872627,1.059008,-0.04928857
0.3395386,-0.187261,1.059068,-0.0495176
0.3475342,-0.1871696,1.059205,-0.05004558
0.3585205,-0.1868419,1.059271,-0.05004825
0.3595581,-0.1868231,1.059288,-0.05018936
0.369812,-0.1865353,1.059369,-0.05068113
0.3795166,-0.1864182,1.059604,-0.05093482
0.3809204,-0.1863965,1.059623,-0.05097924
0.3920288,-0.1863852,1.059903,-0.05155194
0.3995361,-0.1861448,1.060003,-0.05192743
0.4032593,-0.1860307,1.060067,-0.05216433
0.4165039,-0.1855466,1.059768,-0.05262771
0.4195557,-0.1855956,1.059963,-0.05258277
0.4251709,-0.1854821,1.060059,-0.05270293
0.4363403,-0.1852246,1.060031,-0.05304433
0.4395142,-0.1850718,1.06002,-0.05318505
0.4480591,-0.1847634,1.060047,-0.05352619
0.4586182,-0.1847374,1.060139,-0.05399778
0.4595337,-0.1846598,1.060124,-0.05395328
0.4697876,-0.1843649,1.060174,-0.05418845
0.4795532,-0.1842885,1.060235,-0.05422533
0.480896,-0.1842761,1.060244,-0.05423659
0.4918213,-0.1841072,1.060252,-0.0543936
0.4995117,-0.1841385,1.060171,-0.05415744
0.5031128,-0.1841487,1.060149,-0.05405241
0.5140381,-0.1843089,1.060157,-0.05413027
0.5195313,-0.1843303,1.060195,-0.05392198
0.5255127,-0.1843825,1.060248,-0.05375354
0.536438,-0.1846731,1.060207,-0.05367288
0.5395508,-0.1847247,1.060151,-0.05363716
0.5474243,-0.1848846,1.060068,-0.05358632
0.5587769,-0.1848686,1.060009,-0.05342841
0.5595093,-0.1848851,1.060008,-0.05339071
0.5708008,-0.1850505,1.05996,-0.05308905
0.5795288,-0.1850178,1.059802,-0.05302988
0.5806885,-0.1850186,1.059788,-0.05301562
0.5918579,-0.1849997,1.059577,-0.0528073
0.5995483,-0.1852103,1.059594,-0.05260547
0.6032715,-0.1853123,1.05959,-0.05248584
0.6140747,-0.1852172,1.059808,-0.05247727
0.6195068,-0.1852521,1.059818,-0.05249387
0.6251831,-0.1852622,1.05987,-0.05248208
0.6364136,-0.1854549,1.059773,-0.05248633
0.6395264,-0.1853894,1.059828,-0.05254264
0.647644,-0.1853148,1.059935,-0.05267507
0.6586914,-0.1855905,1.059839,-0.05278592
0.6595459,-0.1855441,1.059891,-0.05275759
0.6699219,-0.1854958,1.060009,-0.05267188
0.6795044,-0.1855514,1.060163,-0.0528165
0.6809692,-0.1855539,1.060178,-0.05282903
0.6921387,-0.1855282,1.060246,-0.05302376
0.6995239,-0.1855406,1.060127,-0.05300216
0.7032471,-0.1855433,1.060069,-0.0530117
0.7144165,-0.1854371,1.06002,-0.05314943
0.7195435,-0.1855111,1.060134,-0.0530964
0.7268677,-0.1855908,1.060241,-0.05306524
0.7364502,-0.1854205,1.059926,-0.05316536
0.739502,-0.1853838,1.059898,-0.05326255
0.7476807,-0.1852937,1.05981,-0.05345257
0.758728,-0.1852975,1.059752,-0.05344053
0.7595215,-0.1852803,1.059793,-0.05345768
0.7698975,-0.1852053,1.059874,-0.05358022
0.779541,-0.1851687,1.059793,-0.05350155
0.7810669,-0.1851638,1.059783,-0.05349858
0.7922974,-0.1852811,1.059784,-0.05359709
0.7994995,-0.185355,1.059977,-0.05371627
0.8035278,-0.1854148,1.060064,-0.05380526
0.8150635,-0.1851787,1.059913,-0.05418648
0.819519,-0.1851563,1.05985,-0.05420552
0.8257446,-0.1850983,1.059769,-0.05431989
0.836731,-0.1849174,1.059777,-0.05447613
0.8395386,-0.1848601,1.059826,-0.05453399
0.8479004,-0.1847036,1.059876,-0.05469804
0.8590698,-0.1845216,1.059934,-0.05497673
0.8595581,-0.1845622,1.059922,-0.05500107
0.8703003,-0.1845555,1.059816,-0.05547184
0.8795166,-0.1844767,1.059548,-0.05580233
0.8834839,-0.1844399,1.059378,-0.05598693
0.8922119,-0.1844941,1.05891,-0.05637319
0.8995361,-0.1844297,1.058406,-0.05679475
0.9025879,-0.18439,1.058113,-0.05702676
0.9137573,-0.1838,1.057864,-0.05765381
0.9195557,-0.1833644,1.05761,-0.05808982
0.9249878,-0.1828243,1.057027,-0.05870092
0.9360352,-0.1823153,1.056187,-0.05942982
0.9395142,-0.1820567,1.05592,-0.05973627
0.9471436,-0.1814188,1.055238,-0.06046335
0.958374,-0.1805516,1.054232,-0.06177664
0.9595337,-0.1804428,1.054159,-0.06187439
0.9692993,-0.179427,1.053138,-0.06290655
0.9795532,-0.1781256,1.052173,-0.06440407
0.9804077,-0.1779906,1.052071,-0.06454778
0.9915771,-0.1764502,1.051191,-0.06619416
