Time, X, Y, Z
13.03644,-0.2625501,0.8919422,0.1399629
16.27997,-0.1183271,0.9116512,0.12089
18.89948,-0.1933596,0.8846574,0.1463187
22.41998,-0.1850393,0.8914766,0.1929643
25.38,-0.2187944,0.9022455,0.1767185
28.53998,-0.1868686,0.8914458,0.176156
30.72797,-0.1947688,0.8953267,0.1821148
36.39996,-0.1573425,0.9037277,0.166237
38.70001,-0.1950204,0.899022,0.1849468
41.29999,-0.1920208,0.8916277,0.1665096
43.83997,-0.2057198,0.8989079,0.1855922
46.33997,-0.1555103,0.8969021,0.1570878
57.15997,-0.1909163,0.8970921,0.2131582
59.51996,-0.2061288,0.8981571,0.1941614
62.01996,-0.1618987,0.9086674,0.2010528
64.29999,-0.1635282,0.9028856,0.1812913
66.63995,-0.2282656,0.8898846,0.2056376
69.01996,-0.2013601,0.9084671,0.1890156
92.57996,-0.1444283,0.9175252,0.1169333
94.71997,-0.171441,0.9100441,0.1496162
97.95996,-0.1815119,0.9006882,0.2260299
100.86,-0.1949791,0.9115195,0.1998376
103.52,-0.1491693,0.914059,0.1219656
105.8254,-0.1786161,0.9056516,0.1842415
109.24,-0.1802513,0.8881767,0.1656942
111.42,-0.2243384,0.8950363,0.1774756
113.6,-0.1772778,0.8943537,0.1815439
118.24,-0.1411691,0.9098803,0.1877021
120.36,-0.02638408,0.8930811,0.07299661
120.9,-0.09530434,0.8854374,0.3204086
123.62,-0.1375907,0.8942506,0.201111
128.82,-0.1823941,0.897901,0.1667476
132.32,-0.1069481,0.9013874,0.1578508
134.5,-0.203418,0.8953419,0.1895593
158.08,-0.1701415,0.9084474,0.1965726
159.74,-0.1818537,0.9417726,0.1544877
162.62,-0.1325959,0.9042484,0.1426114
165.54,-0.1477664,0.9033381,0.1787261
168.9,-0.2041111,0.8987284,0.1945025
171.76,-0.1828099,0.914514,0.1316765
174.56,-0.1435698,0.8999726,0.198252
176.94,-0.1706181,0.90563,0.1306639
179.88,-0.1526786,0.902144,0.1967994
182.34,-0.1832852,0.9035401,0.2178285
184.42,-0.1691108,0.8966049,0.1398576
187.06,-0.1481735,0.8949193,0.1580438
190.26,-0.2230281,0.8897512,0.1697152
193.02,-0.2442678,0.9000402,0.2192039
195.38,-0.1594741,0.8979408,0.1515372
219.16,-0.2129979,0.9087431,0.201059
221.34,-0.168589,0.9056003,0.1723923
223.82,-0.1656134,0.8921327,0.1487398
226.2599,-0.1777275,0.8944701,0.2222401
228.4,-0.2121784,0.9014111,0.1987597
231.06,-0.1792435,0.8938249,0.195724
233.32,-0.1932432,0.8904353,0.1785695
236,-0.1560744,0.8925579,0.1625153
238.84,-0.1746563,0.8828399,0.1947852
241.32,-0.1368822,0.8929809,0.2010273
243.8,-0.2017801,0.8875216,0.1998103
246.86,-0.1433575,0.903518,0.1295273
249.72,-0.2308804,0.9180471,0.1825783
252.36,-0.2083935,0.8904147,0.2298702
255.44,-0.1352158,0.8843259,0.1120105
