Time, X, Y, Z
13.03644,-0.1963332,0.86,0.1453859
16.27997,-0.1575423,0.86,0.1561102
18.89948,-0.1912753,0.86,0.1451325
22.41998,-0.1630108,0.86,0.1975297
25.38,-0.2075655,0.86,0.1837599
28.53998,-0.1673141,0.86,0.1657258
30.72797,-0.1839403,0.86,0.2088318
36.39996,-0.1554424,0.86,0.1687162
38.70001,-0.199177,0.86,0.1882773
41.29999,-0.1692152,0.86,0.1552921
43.83997,-0.2021351,0.86,0.200973
46.33997,-0.1739346,0.86,0.1377668
57.15997,-0.1756889,0.86,0.2051404
59.51996,-0.211326,0.86,0.1733649
62.01996,-0.1909899,0.86,0.2072345
64.29999,-0.176918,0.86,0.1397127
66.63995,-0.219446,0.86,0.167701
69.01996,-0.1814802,0.86,0.1873998
92.57996,-0.1621121,0.86,0.1355188
94.71997,-0.1979909,0.86,0.1658212
97.95996,-0.1965988,0.86,0.2043485
100.86,-0.163604,0.86,0.1641865
103.52,-0.2155422,0.86,0.1387239
105.8254,-0.1920777,0.86,0.2028111
109.24,-0.1818231,0.86,0.1356884
111.42,-0.2237535,0.86,0.1606
113.6,-0.1512478,0.86,0.1538454
118.24,-0.1689297,0.86,0.1952534
120.36,-0.1635834,0.86,0.1531934
120.9,-0.2140941,0.86,0.1505086
123.62,-0.1564038,0.86,0.2037762
128.82,-0.2243836,0.86,0.1940559
132.32,-0.1690443,0.86,0.1844202
134.5,-0.2086732,0.86,0.173575
158.08,-0.1853885,0.86,0.2050683
159.74,-0.2092937,0.86,0.1631875
162.62,-0.1703836,0.86,0.1398114
165.54,-0.1500166,0.86,0.1789069
168.9,-0.1999963,0.86,0.1769254
171.76,-0.1545871,0.86,0.1534665
174.56,-0.1723292,0.86,0.1971044
176.94,-0.2203168,0.86,0.1386867
179.88,-0.1567961,0.86,0.2038608
182.34,-0.193921,0.86,0.2019856
184.42,-0.2166583,0.86,0.1607023
187.06,-0.1568855,0.86,0.1433742
190.26,-0.2131106,0.86,0.1412954
193.02,-0.2183219,0.86,0.2085518
195.38,-0.1702365,0.86,0.1547781
219.16,-0.2208724,0.86,0.1917828
221.34,-0.1726218,0.86,0.1868237
223.82,-0.19298,0.86,0.1452862
226.2599,-0.1869051,0.86,0.2053653
228.4,-0.2210145,0.86,0.1665867
231.06,-0.1789859,0.86,0.1690918
233.32,-0.2211827,0.86,0.1433312
236,-0.1741572,0.86,0.1961787
238.84,-0.2090765,0.86,0.1585626
241.32,-0.1554424,0.86,0.1780574
243.8,-0.2213157,0.86,0.1598435
246.86,-0.1660012,0.86,0.1413549
249.72,-0.2178838,0.86,0.1612572
252.36,-0.2092436,0.86,0.2047559
255.44,-0.1637362,0.86,0.1970699
