Time, X, Y, Z
0,0.05480522,1.075553,-0.04176965
6.103516E-05,0.05475795,1.075612,-0.041802
0.01123047,0.0548235,1.075676,-0.04181983
0.0199585,0.05498134,1.075657,-0.04182827
0.02246094,0.05506324,1.075651,-0.04181637
0.03338623,0.05505397,1.075583,-0.0417619
0.03997803,0.05498735,1.075533,-0.04180814
0.04449463,0.05492724,1.0755,-0.04184434
0.05621338,0.05503242,1.075973,-0.0416818
0.05999756,0.05503009,1.076045,-0.04165377
0.06903076,0.0549927,1.075991,-0.0417565
0.07897949,0.05503576,1.076019,-0.04173625
0.07995605,0.05504251,1.07602,-0.04173793
0.090271,0.05504804,1.075961,-0.04179668
0.09997559,0.05511928,1.075834,-0.04171158
0.1016846,0.05513734,1.075808,-0.04168805
0.1129761,0.0552462,1.075725,-0.04175588
0.1199951,0.05530186,1.075768,-0.04184188
0.1243286,0.05527054,1.075816,-0.0419061
0.1357422,0.05501714,1.075888,-0.04179594
0.1399536,0.05494668,1.075913,-0.04176757
0.1472168,0.05493271,1.075985,-0.0418514
0.1588745,0.05480265,1.076036,-0.04195097
0.1599731,0.05479432,1.076038,-0.04195794
0.1702271,0.05477797,1.076089,-0.04188062
0.1799927,0.0549708,1.076054,-0.04184926
0.1817017,0.05500776,1.076031,-0.04182896
0.1932373,0.05510734,1.075734,-0.04187927
0.2000122,0.05505905,1.075701,-0.04189207
0.2044678,0.05499635,1.075707,-0.04189199
0.2156982,0.05489827,1.075556,-0.04179356
0.2199707,0.0548722,1.075477,-0.04184115
0.2280884,0.05477729,1.075314,-0.04197252
0.2380371,0.05460537,1.075195,-0.0420348
0.2399902,0.05461225,1.075171,-0.04208077
0.2491455,0.05465823,1.075021,-0.04230325
0.2600098,0.05471665,1.075037,-0.04252961
0.2602539,0.05471839,1.075038,-0.04253635
0.2713013,0.05477371,1.074849,-0.04283011
0.2799683,0.0549,1.074651,-0.04305048
0.2824707,0.05492689,1.074574,-0.04312538
0.2935791,0.05513218,1.074008,-0.04314294
0.2999878,0.05526915,1.073735,-0.04328173
0.3048096,0.05536015,1.07349,-0.04344587
0.3162231,0.05513009,1.07289,-0.04430304
0.3200073,0.05508154,1.072628,-0.04462427
0.3272705,0.05500892,1.07202,-0.04531565
0.3381958,0.05484366,1.071317,-0.0457592
0.3399658,0.05479709,1.071201,-0.04581831
0.3493652,0.05480743,1.070201,-0.04605693
0.3599854,0.05514135,1.06886,-0.04730485
0.3605957,0.05515703,1.068768,-0.04739092
0.3716431,0.0551155,1.06762,-0.04813974
0.3800049,0.05518778,1.066506,-0.04874989
0.3835449,0.05524611,1.065885,-0.04908998
0.3936768,0.0552263,1.06453,-0.0502959
0.3999634,0.0553012,1.063469,-0.05098742
0.4049072,0.05541574,1.062425,-0.05158238
0.4159546,0.0557627,1.06052,-0.05298191
0.4199829,0.05580775,1.059728,-0.05356914
0.427002,0.05575054,1.058086,-0.05479044
0.4381714,0.05586202,1.055798,-0.05630161
0.4400024,0.05586847,1.055364,-0.0565649
0.4492798,0.05606712,1.05257,-0.05817686
0.4599609,0.05648653,1.049498,-0.06030767
0.4613037,0.05653059,1.049098,-0.06057689
0.4714966,0.05692554,1.046364,-0.06203669
0.4799805,0.05711176,1.043635,-0.06319726
0.482605,0.0571828,1.042451,-0.06365147
0.4938965,0.05712094,1.039176,-0.06511717
0.5,0.05719408,1.036978,-0.06574517
0.5049438,0.05734832,1.034706,-0.06623173
0.5161133,0.05743517,1.031326,-0.06687814
0.5199585,0.05753479,1.029993,-0.06715196
0.5271606,0.05780989,1.027101,-0.06775013
0.539978,0.05831295,1.022191,-0.06823918
0.5402832,0.0583231,1.0221,-0.0682478
0.5493164,0.05884022,1.019221,-0.0687501
0.5599976,0.05959488,1.014948,-0.06915812
0.5599976,0.05967318,1.014547,-0.06919183
0.571167,0.06004786,1.010897,-0.06976444
0.5799561,0.06047092,1.007536,-0.07044062
0.5825806,0.06070433,1.006081,-0.07075442
0.5930786,0.06113283,1.002694,-0.07195196
0.5999756,0.06143936,1.000396,-0.07292372
0.6043701,0.06169195,0.9986432,-0.07374209
0.6155396,0.06233352,0.995212,-0.0752237
0.6199951,0.06259558,0.9937015,-0.07585186
0.6265869,0.06291183,0.9909695,-0.0769123
0.6376953,0.06337336,0.9875387,-0.07790089
0.6399536,0.06349124,0.9867846,-0.07808508
0.6490479,0.06399703,0.9833338,-0.07932049
0.6598511,0.0645955,0.9799977,-0.08080728
0.6599731,0.06460328,0.9799564,-0.08082643
0.6709595,0.06538429,0.9764777,-0.08270004
0.6799927,0.06589866,0.9739754,-0.08423528
