Time, X, Y, Z
0,-0.1441742,0.893169,0.186988
0,-0.1770911,0.9012491,0.1243653
0,-0.1998926,0.9123128,0.1457758
0,-0.1883521,0.8986538,0.1571659
0,-0.1271709,0.9255441,0.129217
0,-0.153524,0.9112437,0.1613719
0,-0.1860401,0.9062777,0.134788
0,-0.1530776,0.9103779,0.1399627
0,-0.1672087,0.9046935,0.1675229
0,-0.1635554,0.8922244,0.1375112
0,-0.1904249,0.8980277,0.147712
0,-0.2278479,0.8923835,0.1276816
0,-0.2227617,0.8949883,0.1654261
0,-0.1791378,0.8945792,0.1957283
0,-0.2275681,0.8935754,0.2194858
0,-0.1383919,0.8852342,0.009013606
0,-0.2345473,0.8984364,0.1776698
0,-0.197598,0.9232714,0.1535329
0,-0.2319592,0.8753161,0.1069001
0,-0.2173217,0.8881489,0.1996962
0,-0.1948942,0.890998,0.1718347
0,-0.2415286,0.8902159,0.1493335
0,-0.1857299,0.8767265,0.1291652
14.26434,-0.1629078,0.8713869,0.2046211
18.78436,-0.2385835,0.8909644,0.1683512
22.82434,-0.2335529,0.899378,0.1367482
27.28436,-0.2315716,0.9020694,0.1960323
31.86438,-0.1963027,0.9028003,0.1285214
35.34436,-0.2225289,0.9065805,0.1779348
39.88434,-0.1907897,0.8974414,0.1463953
42.60437,-0.134057,0.930198,0.07989554
48.74438,-0.201695,0.9089862,0.1415468
52.52435,-0.2140082,0.8944497,0.2029387
56.40436,-0.2234614,0.9027317,0.1925547
60.02435,-0.2572381,0.8915794,0.1485934
63.70435,-0.1849444,0.9147696,0.1724338
68.02435,-0.2436404,0.9039763,0.1744835
71.60437,-0.1705945,0.9095843,0.1575037
96.58435,-0.1956862,0.8749911,0.1990905
99.58435,-0.2292384,0.8886312,0.1917004
103.4244,-0.1921316,0.9090767,0.1460363
106.0444,-0.1771025,0.9212973,0.1174066
110.1443,-0.2114007,0.9009029,0.1372071
115.9244,-0.0504003,0.9090053,0.007728683
122.5244,-0.1633969,0.8944419,0.1979629
125.9443,-0.1924578,0.8998964,0.1713564
129.3444,-0.1758546,0.8984028,0.1757223
132.9244,-0.2181408,0.8949406,0.1505099
136.7244,-0.173546,0.9010845,0.1592862
139.4044,-0.2058961,0.92608,0.1288675
143.2444,-0.2016343,0.8991276,0.1866111
146.2444,-0.2140937,0.8840646,0.1659152
149.2844,-0.1620402,0.8912215,0.2000234
172.8044,-0.2180491,0.8898305,0.1715843
175.9244,-0.1564988,0.8921045,0.2102621
178.8444,-0.1689759,0.8975398,0.1718866
181.5444,-0.2240722,0.8980808,0.1548432
184.3044,-0.1917771,0.8916373,0.1765394
187.2643,-0.1549069,0.8945228,0.1941136
190.2043,-0.1741737,0.8890001,0.1647001
193.2043,-0.2326117,0.8889637,0.1871041
196.0244,-0.1732849,0.8844617,0.190106
199.1644,-0.189009,0.8877397,0.2030757
202.1844,-0.2242722,0.889831,0.1731418
205.2643,-0.1931079,0.8927729,0.1866283
208.2043,-0.1565426,0.8830213,0.1545938
211.4443,-0.2207886,0.8826953,0.1565532
214.6644,-0.1861515,0.8894917,0.1963654
238.5043,-0.1642688,0.8922539,0.1627638
241.5444,-0.1883884,0.8832222,0.2048476
244.6443,-0.1972379,0.8925383,0.1667176
247.8243,-0.2040647,0.8967754,0.1732631
251.7444,-0.1552326,0.9075871,0.1280153
255.1044,-0.1689431,0.8917363,0.1914888
258.0444,-0.2247447,0.8872533,0.1539256
261.1644,-0.1829432,0.8869244,0.1574585
264.5244,-0.1513636,0.8882303,0.1887586
267.8444,-0.1815115,0.8962076,0.1358613
271.1844,-0.1485338,0.8872235,0.1790589
274.2244,-0.2029084,0.8845854,0.1359169
277.3444,-0.1724834,0.8831645,0.1869783
280.7043,-0.196933,0.8917716,0.1489974
283.8843,-0.2185215,0.8862407,0.1656078
