Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.170795,0.86,0.136078
0,-0.2006892,0.86,0.1834953
0,-0.1714783,0.86,0.1455315
0,-0.1873564,0.86,0.1963839
0,-0.1590837,0.86,0.1651879
0,-0.2027214,0.86,0.1487005
0,-0.1652634,0.86,0.136902
0,-0.1525665,0.86,0.1884108
0,-0.1583,0.86,0.148159
0,-0.1954781,0.86,0.174571
0,-0.2181671,0.86,0.1361393
0,-0.2068548,0.86,0.1710567
0,-0.164398,0.86,0.2095514
0,-0.15,0.86,0.2
0,-0.1537635,0.86,0.1994763
0,-0.1957101,0.86,0.204134
0,-0.1586188,0.86,0.1478991
0,-0.1981042,0.86,0.1583753
0,-0.1737573,0.86,0.1983145
0,-0.1565581,0.86,0.1635628
0,-0.2180689,0.86,0.1510752
0,-0.154372,0.86,0.1455079
14.26434,-0.15,0.86,0.2
18.78436,-0.2170478,0.86,0.1890299
22.82434,-0.2137131,0.86,0.139466
27.28436,-0.206323,0.86,0.2091546
31.86438,-0.1894408,0.86,0.1402791
35.34436,-0.2157357,0.86,0.175119
39.88434,-0.1628041,0.86,0.1509224
42.60437,-0.1752846,0.86,0.1895976
48.74438,-0.1959866,0.86,0.1510997
52.52435,-0.173486,0.86,0.1945022
56.40436,-0.2192355,0.86,0.208481
60.02435,-0.223218,0.86,0.1468896
63.70435,-0.1627868,0.86,0.1805349
68.02435,-0.2166575,0.86,0.2034315
71.60437,-0.1501331,0.86,0.1622617
96.58435,-0.1832158,0.86,0.1928653
99.58435,-0.222987,0.86,0.1895477
103.4244,-0.1666852,0.86,0.1507473
106.0444,-0.2138421,0.86,0.187503
110.1443,-0.1826778,0.86,0.1379925
115.9244,-0.1952145,0.86,0.1781554
122.5244,-0.1557517,0.86,0.2050059
125.9443,-0.1936326,0.86,0.1651849
129.3444,-0.152921,0.86,0.1665052
132.9244,-0.2159293,0.86,0.1389525
136.7244,-0.1688898,0.86,0.1627675
139.4044,-0.2090652,0.86,0.151885
143.2444,-0.1839551,0.86,0.186
146.2444,-0.212032,0.86,0.1546565
149.2844,-0.1545627,0.86,0.1964806
172.8044,-0.1924348,0.86,0.170983
175.9244,-0.1554619,0.86,0.2028886
178.8444,-0.1686371,0.86,0.1650603
181.5444,-0.2174945,0.86,0.149875
184.3044,-0.1648321,0.86,0.1589387
187.2643,-0.1531019,0.86,0.1940862
190.2043,-0.1652121,0.86,0.1398565
193.2043,-0.2225241,0.86,0.1935151
196.0244,-0.1562837,0.86,0.1634342
199.1644,-0.1724591,0.86,0.2061959
202.1844,-0.2039786,0.86,0.1541619
205.2643,-0.1709266,0.86,0.1806769
208.2043,-0.1624536,0.86,0.1384036
211.4443,-0.2115927,0.86,0.1478333
214.6644,-0.1764965,0.86,0.201243
238.5043,-0.1515363,0.86,0.1464587
241.5444,-0.1754145,0.86,0.2025356
244.6443,-0.1856306,0.86,0.1617015
247.8243,-0.2179968,0.86,0.1908897
251.7444,-0.1554122,0.86,0.1419953
255.1044,-0.1652028,0.86,0.1918861
258.0444,-0.2179475,0.86,0.1568607
261.1644,-0.1826662,0.86,0.1683063
264.5244,-0.1560324,0.86,0.2011517
267.8444,-0.1787919,0.86,0.1405002
271.1844,-0.152362,0.86,0.1819068
274.2244,-0.1967797,0.86,0.1357034
277.3444,-0.1657741,0.86,0.1915281
280.7043,-0.1858362,0.86,0.1463963
283.8843,-0.2183254,0.86,0.1719671
