Time, X, Y, Z
0.004364014,0.1651369,0.9585128,0.02443424
0.008544922,0.1651275,0.9584804,0.02446197
0.02185059,0.1650132,0.9583814,0.02453688
0.02438354,0.1650105,0.9583584,0.02455342
0.03060913,0.1650349,0.9582983,0.02457897
0.0413208,0.1651316,0.9582434,0.02457249
0.04437256,0.1651517,0.9582428,0.02458934
0.05245972,0.1652459,0.9583558,0.02459139
0.06350708,0.16545,0.9584345,0.02451225
0.06436157,0.1654695,0.9584385,0.02450432
0.07479858,0.1656248,0.9585666,0.02450301
0.0843811,0.1656874,0.9586706,0.02454716
0.08575439,0.1656958,0.9586835,0.02455598
0.09695435,0.1657441,0.9587597,0.02459662
0.1043701,0.1657726,0.9587801,0.02460197
0.1083069,0.1657834,0.9587777,0.02462715
0.1191711,0.1658082,0.9587644,0.02466716
0.1243591,0.1658177,0.958751,0.02466033
0.1303101,0.1658647,0.9587224,0.02467206
0.1413269,0.1659193,0.958676,0.02472983
0.1443787,0.1659563,0.9586518,0.02474345
0.1525574,0.1660414,0.9586344,0.02478407
0.1637573,0.1660319,0.9586754,0.02484569
0.1643677,0.1660349,0.9586777,0.02484757
0.1754456,0.1661306,0.9586941,0.0248407
0.1843567,0.1661527,0.9587458,0.02485526
0.1857605,0.1661538,0.9587555,0.02485953
0.197052,0.1661807,0.9587798,0.02492924
0.2043762,0.1661554,0.958792,0.02496988
0.2080078,0.1661237,0.9588019,0.02498455
0.2190857,0.1660205,0.958799,0.0251597
0.2243652,0.1660296,0.9587697,0.02521734
0.2303162,0.1660281,0.9587383,0.02530472
0.241333,0.1659233,0.958791,0.0254242
0.2443542,0.1659368,0.9587698,0.02540798
0.2525024,0.1659807,0.9586955,0.02540961
0.2635193,0.1659237,0.9586466,0.025418
0.2643738,0.1659151,0.9586401,0.02541915
0.2746887,0.1658128,0.9585373,0.02546087
0.2843628,0.1657917,0.9583656,0.02541783
0.2858582,0.1657596,0.9584231,0.02543257
0.2971497,0.1656385,0.9584298,0.02547464
0.3043823,0.1656817,0.9584944,0.02540241
0.3081055,0.1656995,0.9585254,0.0253527
0.3193665,0.165797,0.9586029,0.02527468
0.3243713,0.1658253,0.9586996,0.02533729
0.3329163,0.1658897,0.9588106,0.02538835
0.3411865,0.1659427,0.9588878,0.02545838
0.3443604,0.1658587,0.958855,0.02548973
0.3520203,0.1657074,0.9588768,0.02564156
0.3630066,0.1656199,0.958987,0.02572362
0.3643799,0.1656047,0.9589991,0.0257135
0.374176,0.1655011,0.9590929,0.02579886
0.3843689,0.1653491,0.9590361,0.02588601
0.3853149,0.1653443,0.959028,0.02588719
0.3963623,0.1654364,0.9588325,0.02585748
0.4043579,0.1654999,0.9587138,0.0258379
0.4075623,0.1655085,0.9587217,0.02584828
0.4184875,0.1655149,0.9586287,0.02583154
0.4243774,0.1655285,0.9586428,0.02575772
0.4296875,0.165557,0.9586463,0.02570868
0.4408264,0.1655733,0.9587003,0.02565901
0.4443665,0.1655922,0.9587026,0.02562252
0.4518433,0.1656155,0.9587182,0.02552377
0.4629822,0.1656565,0.9588091,0.02548794
0.4643555,0.1656743,0.958822,0.02550583
0.4741516,0.1657146,0.9589075,0.02552876
0.484375,0.1657817,0.9589126,0.02562942
0.4876099,0.1658075,0.958945,0.02563708
0.4961548,0.1658728,0.9590259,0.02565464
0.504364,0.1658184,0.9591171,0.02570416
0.5074463,0.1658106,0.9591508,0.02572061
0.5184937,0.1658604,0.9590553,0.02578323
0.5243835,0.1658977,0.9589874,0.02577557
0.5299072,0.1659403,0.9589308,0.02578263
0.5408325,0.1660331,0.9589306,0.02575982
0.5443726,0.1660813,0.9588888,0.02571364
0.5519714,0.1661725,0.9588469,0.0256547
0.5629272,0.1662197,0.9587581,0.02564707
0.5643616,0.1662228,0.9587234,0.02564979
0.5740662,0.1662569,0.9585751,0.02565074
0.5843811,0.1662732,0.9584967,0.02566586
0.5852661,0.1662679,0.9584855,0.02567019
0.596283,0.1662517,0.9582292,0.02579732
0.6043701,0.1661847,0.9582351,0.02581885
0.6074524,0.1661488,0.958197,0.02583262
0.6183777,0.1661126,0.9580916,0.02593099
0.6243591,0.1660287,0.9582452,0.02584846
0.6296692,0.1659747,0.9583296,0.02580249
0.6437683,0.1661839,0.958261,0.02561449
0.6443787,0.1661936,0.9582606,0.0256111
0.6516418,0.1663258,0.9582511,0.02556239
0.6625061,0.1664952,0.9582135,0.02556045
0.6643677,0.166501,0.9582072,0.02557272
0.673584,0.166547,0.9582038,0.02562593
0.6843567,0.1665992,0.9580324,0.02560566
0.684967,0.1666026,0.9580202,0.02560452
0.6958618,0.1666474,0.9579448,0.02574116
0.7043762,0.1666759,0.9578295,0.02586241
0.7069397,0.1666945,0.9577804,0.02590534
0.7181702,0.1666758,0.9576225,0.02607451
