Time, X, Y, Z
20.82458,-0.206444,0.9169503,0.1477483
23.30457,-0.1516991,0.9421539,0.05446777
26.4646,-0.2124874,0.902649,0.1654335
29.24463,-0.1571911,0.9084194,0.1732707
31.88464,-0.1708702,0.8972763,0.135384
34.82458,-0.2140684,0.8985844,0.1326997
37.32458,-0.1531263,0.9000222,0.1865979
40.50464,-0.211094,0.9133389,0.1895384
43.44458,-0.1855987,0.8855599,0.1339893
46.22461,-0.2096435,0.9010031,0.1805201
49.28467,-0.1680635,0.9138543,0.142245
52.18457,-0.1984079,0.9046857,0.1767672
53.9646,-0.09561428,0.8857495,0.01014842
57.20459,-0.1843146,0.8906966,0.1417425
60.12463,-0.1830974,0.8969669,0.1519029
83.64465,-0.1830527,0.897453,0.1843145
86.82458,-0.2090224,0.8961743,0.1551398
90.42456,-0.2288555,0.8960768,0.1880056
93.42456,-0.2042862,0.8937618,0.1548278
96.56458,-0.1575598,0.8968993,0.1376009
100.2446,-0.168432,0.8961756,0.202152
103.5447,-0.2041118,0.8970951,0.1776881
107.0046,-0.1525121,0.8997324,0.200828
110.2847,-0.1816437,0.8922672,0.1501701
113.5046,-0.2186861,0.8922397,0.1402101
116.7847,-0.2065364,0.8973892,0.1995494
119.9646,-0.214312,0.8941287,0.1645347
123.0846,-0.1864562,0.8917502,0.1615016
126.0846,-0.2254682,0.8859904,0.1628153
129.1246,-0.2300678,0.8885335,0.2039433
152.7646,-0.1720731,0.8957751,0.1381312
155.8446,-0.1934606,0.8994446,0.175815
159.0247,-0.2374255,0.9024653,0.1654501
161.8246,-0.1772624,0.8990194,0.1470118
164.8446,-0.2057766,0.9249417,0.2043707
168.7446,-0.1560575,0.8998453,0.1420185
171.4246,-0.1828398,0.9025669,0.1855895
174.2646,-0.217743,0.901278,0.1567869
176.8446,-0.2109291,0.9032132,0.1781263
179.5046,-0.2135442,0.9078579,0.1560487
182.4246,-0.1909358,0.8974892,0.182108
185.1647,-0.1835629,0.8977441,0.1455699
188.0447,-0.2136169,0.9002994,0.1663211
190.8446,-0.1950071,0.8974123,0.1552652
193.9646,-0.1663718,0.9016011,0.1750244
219.3646,-0.221918,0.8996488,0.1991147
222.3046,-0.1719435,0.8971916,0.15695
225.3846,-0.2194442,0.8958127,0.1643567
228.8646,-0.1961726,0.9007281,0.1545876
234.2246,-0.1439181,0.9241571,0.184613
236.9846,-0.1653635,0.9011181,0.1474644
240.4246,-0.2091994,0.9053661,0.1949193
243.2246,-0.1956546,0.8949273,0.1754094
246.1647,-0.2301937,0.9022012,0.1814002
248.8446,-0.1707491,0.9161553,0.1543703
251.9646,-0.233171,0.9070564,0.1625628
255.0446,-0.195369,0.9156278,0.1813928
257.7847,-0.2118334,0.8987195,0.1607047
261.4246,-0.1448068,0.9093229,0.1552691
266.4646,-0.252751,0.8949255,0.1716748
