Time, X, Y, Z
20.82458,-0.1864187,0.86,0.1786067
23.30457,-0.1680595,0.86,0.143121
26.4646,-0.2129388,0.86,0.1645432
29.24463,-0.1557242,0.86,0.1827599
31.88464,-0.1722921,0.86,0.139325
34.82458,-0.2175269,0.86,0.1376521
37.32458,-0.15195,0.86,0.1946099
40.50464,-0.2031735,0.86,0.1984303
43.44458,-0.1809806,0.86,0.145052
46.22461,-0.2117042,0.86,0.1918415
49.28467,-0.1675015,0.86,0.1422203
52.18457,-0.18381,0.86,0.1843487
53.9646,-0.2231499,0.86,0.1943876
57.20459,-0.1850684,0.86,0.1359685
60.12463,-0.195684,0.86,0.1701601
83.64465,-0.1521473,0.86,0.1790136
86.82458,-0.1887483,0.86,0.1519415
90.42456,-0.2053701,0.86,0.202952
93.42456,-0.1980465,0.86,0.1616119
96.56458,-0.158074,0.86,0.1385324
100.2446,-0.1560936,0.86,0.2094094
103.5447,-0.2069123,0.86,0.1889544
107.0046,-0.1564367,0.86,0.2089264
110.2847,-0.1690765,0.86,0.1408405
113.5046,-0.2102679,0.86,0.1401714
116.7847,-0.2028164,0.86,0.2079324
119.9646,-0.2123362,0.86,0.1700931
123.0846,-0.1632011,0.86,0.1603686
126.0846,-0.2006567,0.86,0.1716111
129.1246,-0.2182635,0.86,0.2095572
152.7646,-0.1752919,0.86,0.1370927
155.8446,-0.1572739,0.86,0.188197
159.0247,-0.2236802,0.86,0.1722855
161.8246,-0.176651,0.86,0.1527479
164.8446,-0.1913521,0.86,0.2048503
168.7446,-0.1617921,0.86,0.1400359
171.4246,-0.174852,0.86,0.1991097
174.2646,-0.1844132,0.86,0.1468026
176.8446,-0.203409,0.86,0.1944026
179.5046,-0.2089359,0.86,0.1582263
182.4246,-0.1834212,0.86,0.1861395
185.1647,-0.1741551,0.86,0.144995
188.0447,-0.2128353,0.86,0.1801506
190.8446,-0.1730233,0.86,0.1488717
193.9646,-0.1504894,0.86,0.1824802
219.3646,-0.1946207,0.86,0.2058766
222.3046,-0.1595628,0.86,0.1463874
225.3846,-0.2236675,0.86,0.1799948
228.8646,-0.1812789,0.86,0.1624532
234.2246,-0.1505516,0.86,0.2032458
236.9846,-0.1634495,0.86,0.1534713
240.4246,-0.1503162,0.86,0.1986472
243.2246,-0.1916533,0.86,0.1787071
246.1647,-0.220455,0.86,0.2015064
248.8446,-0.1562021,0.86,0.1586305
251.9646,-0.2068591,0.86,0.1472773
255.0446,-0.1741227,0.86,0.2034337
257.7847,-0.1996142,0.86,0.1605486
261.4246,-0.1520968,0.86,0.1684462
266.4646,-0.223742,0.86,0.169696
