Time, X, Y, Z
0.004638672,-0.1373187,0.9636148,-0.04601604
0.007324219,-0.1373845,0.9636127,-0.04604103
0.01855469,-0.1375368,0.9635909,-0.04607514
0.0246582,-0.1375772,0.9635885,-0.04617362
0.02978516,-0.1376327,0.9635755,-0.04624817
0.04077148,-0.1376666,0.963562,-0.04633139
0.04467773,-0.1376959,0.9635241,-0.04635645
0.05187988,-0.1377486,0.9634705,-0.04643559
0.0645752,-0.1376266,0.963443,-0.04645076
0.06555176,-0.1376152,0.9634434,-0.04644445
0.07397461,-0.1375158,0.9634472,-0.04638898
0.08435059,-0.1374827,0.9635024,-0.046636
0.08459473,-0.1375209,0.9634873,-0.0466229
0.0958252,-0.1375936,0.9635803,-0.04669337
0.1046143,-0.1377047,0.9636418,-0.04674582
0.1065674,-0.1377239,0.9636623,-0.04674502
0.1179199,-0.1378905,0.9637286,-0.04666044
0.1246338,-0.1380672,0.9637059,-0.04655339
0.1290283,-0.1381991,0.9637055,-0.0464904
0.1398926,-0.1382823,0.9638816,-0.04651359
0.1446533,-0.1382505,0.963926,-0.04651493
0.151123,-0.1382495,0.9639713,-0.04654753
0.1625977,-0.1381977,0.9640636,-0.04647464
0.1646729,-0.1381829,0.9640719,-0.04649977
0.1733398,-0.1381764,0.9640879,-0.0465855
0.1844482,-0.1381643,0.9641747,-0.04656914
0.1845703,-0.1381558,0.9641826,-0.04656781
0.1956787,-0.1380763,0.9643782,-0.04654981
0.2045898,-0.1381932,0.964453,-0.04648727
0.206665,-0.1382141,0.9644725,-0.04647841
0.2194824,-0.1383362,0.9644765,-0.04653186
0.2246094,-0.1383556,0.9645116,-0.04642826
0.2287598,-0.1383805,0.9645507,-0.04638129
0.2397461,-0.1383376,0.9646832,-0.04622637
0.2446289,-0.1382731,0.9647042,-0.04621664
0.2510986,-0.13818,0.9647328,-0.04620121
0.2623291,-0.1380841,0.9648314,-0.04604067
0.2646484,-0.1380019,0.9648234,-0.04602331
0.2733154,-0.1377313,0.9648236,-0.04591934
0.2843018,-0.1376629,0.9647169,-0.0458743
0.284668,-0.1376466,0.9647231,-0.045883
0.2956543,-0.1375688,0.9647064,-0.04588443
0.3045654,-0.1376316,0.9646546,-0.04576777
0.3063965,-0.1376403,0.9646467,-0.04574677
0.317627,-0.1376517,0.9645248,-0.04578811
0.324585,-0.1376788,0.9644599,-0.0457872
0.3291016,-0.1377023,0.9644036,-0.04579359
0.3397217,-0.1376235,0.9643131,-0.04588522
0.3446045,-0.1375737,0.9642678,-0.0459439
0.3510742,-0.1374959,0.9642019,-0.04602049
0.3621826,-0.1372975,0.9640399,-0.04612674
0.364624,-0.1372826,0.9640306,-0.04611546
0.3743896,-0.1371825,0.9639587,-0.04615195
0.3841553,-0.1370385,0.9639164,-0.04622912
0.3846436,-0.1370381,0.963917,-0.0462257
0.3955078,-0.1369116,0.9638653,-0.04625943
0.4046631,-0.1367216,0.9638237,-0.04633574
0.4064941,-0.1366824,0.9638139,-0.0463488
0.4174805,-0.1366189,0.96367,-0.04657041
0.4245605,-0.1366017,0.9636191,-0.0466374
0.4293213,-0.1365798,0.9635724,-0.04668529
