Time, X, Y, Z
0.004638672,0.1183781,0.9813243,-0.03114077
0.007324219,0.1183712,0.9812867,-0.03113951
0.01855469,0.1183577,0.9811316,-0.03117709
0.0246582,0.1183234,0.9810538,-0.03117615
0.02978516,0.1183054,0.980963,-0.03118883
0.04077148,0.1183344,0.9808335,-0.03125782
0.04467773,0.1183211,0.980844,-0.03123799
0.05187988,0.1183121,0.9807779,-0.03126082
0.0645752,0.1184487,0.9807782,-0.03131299
0.06555176,0.1184629,0.9807785,-0.03130805
0.07397461,0.1185874,0.9807807,-0.03126483
0.08435059,0.1187462,0.9807422,-0.0312748
0.08459473,0.1187268,0.9807559,-0.03128164
0.0958252,0.1188297,0.980925,-0.03124811
0.1046143,0.1188674,0.9810077,-0.03121778
0.1065674,0.1188791,0.9810328,-0.03120358
0.1179199,0.1189857,0.9810281,-0.03116865
0.1246338,0.118896,0.9809648,-0.03116332
0.1290283,0.1188523,0.9809239,-0.03115854
0.1398926,0.1187189,0.9809995,-0.031203
0.1446533,0.1187434,0.9809606,-0.03122514
0.151123,0.1187414,0.9808969,-0.031285
0.1625977,0.118662,0.9809678,-0.03121863
0.1646729,0.1186559,0.9809844,-0.03126915
0.1733398,0.1185648,0.9810282,-0.0313617
0.1844482,0.1184919,0.9811376,-0.03135513
0.1845703,0.118512,0.9811268,-0.03136118
0.1956787,0.1185305,0.9812949,-0.03134601
0.2045898,0.1184583,0.9814519,-0.03130455
0.206665,0.1184411,0.9814817,-0.03129782
0.2194824,0.118367,0.9814463,-0.03127781
0.2246094,0.1184179,0.9814374,-0.03129445
0.2287598,0.118438,0.9814475,-0.03130573
0.2397461,0.1184222,0.981456,-0.03123759
0.2446289,0.118451,0.9814457,-0.03130192
0.2510986,0.1185014,0.9814254,-0.03137758
0.2623291,0.1184819,0.9815618,-0.03130455
0.2646484,0.1185109,0.9815761,-0.03130764
0.2733154,0.1186283,0.9816319,-0.03129514
0.2843018,0.1186602,0.9816568,-0.03126755
0.284668,0.1186759,0.9816536,-0.03126384
0.2956543,0.1186775,0.9817311,-0.03119828
0.3045654,0.1186029,0.9818753,-0.03102438
0.3063965,0.1185892,0.9819009,-0.03099346
0.317627,0.1186623,0.9819971,-0.03084129
0.324585,0.1187725,0.9820032,-0.03077823
0.3291016,0.1188362,0.9820153,-0.0307242
0.3397217,0.1188996,0.9820515,-0.03078765
0.3446045,0.1189556,0.9820986,-0.03083068
0.3510742,0.1190463,0.9821543,-0.03087594
0.3621826,0.1193177,0.9820949,-0.03100283
0.364624,0.1193945,0.9821025,-0.03101186
0.3743896,0.1196662,0.9821315,-0.03109811
0.3841553,0.1198628,0.982251,-0.03123094
0.3846436,0.1198452,0.9822684,-0.03124738
0.3955078,0.1199693,0.982439,-0.03147012
0.4046631,0.1201252,0.9826094,-0.03164712
0.4064941,0.1201593,0.9826418,-0.03168426
0.4174805,0.1201977,0.9827253,-0.0319545
0.4245605,0.1201548,0.9827967,-0.03207327
0.4293213,0.1201347,0.9828494,-0.03215617
0.4400635,0.1201148,0.9828494,-0.03211515
0.4445801,0.1201174,0.9828387,-0.03212638
0.4515381,0.1201018,0.9828433,-0.03216094
0.4627686,0.1200859,0.9828122,-0.03214213
0.4645996,0.1200841,0.982805,-0.03214526
