Time, X, Y, Z
17.98065,-0.2032514,0.88911,0.2231447
24.2807,-0.1907911,0.8976382,0.1565653
31.68066,-0.207123,0.8883503,0.1345453
36.98065,-0.1868043,0.8964349,0.1561766
43.56067,-0.2543525,0.8908406,0.1251288
47.42065,-0.1329795,0.929352,0.09362447
53.08069,-0.1819834,0.8850732,0.1252249
58.76068,-0.2761227,0.9089525,0.1351155
75.04065,-0.02228581,0.8859422,-0.01179454
79.08069,-0.2043462,0.8816579,0.1668641
84.58069,-0.1590283,0.8842727,0.1785015
91.30066,-0.1827549,0.8856039,0.164758
98.3407,-0.1650609,0.8944802,0.1664397
106.6407,-0.1697349,0.8977702,0.1366299
126.8807,-0.1838089,0.8805491,0.1929784
152.1606,-0.2037675,0.8933295,0.1378888
160.3207,-0.1430582,0.8959385,0.01688993
164.8807,-0.176532,0.9236715,0.1753386
178.6207,-0.211943,0.904653,0.1409096
185.0007,-0.1722657,0.8793774,0.1748571
192.0207,-0.2110968,0.8912234,0.1464356
196.5607,-0.2338802,0.9098955,0.1902065
201.8607,-0.1681254,0.8752945,0.1399985
213.5607,-0.1779336,0.9058657,0.1709131
217.8007,-0.2321704,0.8800103,0.1347794
223.6207,-0.148703,0.8944499,0.1801028
228.1606,-0.2128573,0.8948247,0.1321333
233.2207,-0.2085523,0.8921657,0.1725262
236.5607,-0.2375246,0.9182142,0.1069814
242.8007,-0.2414557,0.9278767,0.1297757
266.6606,-0.2302595,0.9215592,0.1118738
270.3007,-0.2348841,0.9124449,0.143295
274.3407,-0.132037,0.8948202,0.1360887
277.7806,-0.2094862,0.9130958,0.1216087
281.0406,-0.2007873,0.9068611,0.1775733
284.5206,-0.1571197,0.8920018,0.1396206
287.8007,-0.230153,0.8991335,0.1619503
291.5406,-0.2146948,0.9271072,0.1721476
295.4807,-0.204095,0.914543,0.14009
299.1207,-0.1994068,0.9172105,0.1635145
303.1007,-0.15186,0.8962525,0.1306155
307.6606,-0.15943,0.8962371,0.2031008
311.3207,-0.18869,0.9003111,0.1489802
314.6606,-0.237147,0.9111899,0.1685557
318.5006,-0.1636577,0.8972929,0.1203366
320.5807,-0.1386818,0.9187996,-0.003115672
324.7407,-0.2648119,0.9399536,0.1838696
328.4807,-0.1519564,0.916115,0.15552
332.8007,-0.1914642,0.8958489,0.1325061
335.0807,-0.135285,0.8866541,0.01720144
340.3806,-0.2002626,0.9034067,0.1934451
343.6007,-0.1959912,0.9042034,0.1432198
345.9607,-0.1343017,0.9019815,0.02245415
349.8806,-0.2100462,0.890851,0.1609167
353.5607,-0.1820768,0.8931716,0.1876107
357.2007,-0.1829706,0.8888758,0.1241659
360.1207,-0.1967965,0.9084034,0.1416873
364.0807,-0.2232521,0.9075299,0.1713957
367.4006,-0.2054621,0.9075546,0.1306633
371.1807,-0.1580871,0.909044,0.1932029
