Time, X, Y, Z
17.98065,-0.169416,0.86,0.2093198
24.2807,-0.1867478,0.86,0.1645039
31.68066,-0.2141703,0.86,0.1351436
36.98065,-0.1931861,0.86,0.173854
43.56067,-0.2239694,0.86,0.1373281
47.42065,-0.1709732,0.86,0.2074984
53.08069,-0.186625,0.86,0.1473944
58.76068,-0.2021914,0.86,0.1823934
75.04065,-0.1729349,0.86,0.1506627
79.08069,-0.2060201,0.86,0.1688679
84.58069,-0.1515621,0.86,0.1767368
91.30066,-0.1936234,0.86,0.1557769
98.3407,-0.1657425,0.86,0.1806032
106.6407,-0.2038133,0.86,0.1721281
126.8807,-0.173411,0.86,0.1929441
152.1606,-0.2060406,0.86,0.1535464
160.3207,-0.1874644,0.86,0.18802
164.8807,-0.181795,0.86,0.1457815
178.6207,-0.2130726,0.86,0.1666871
185.0007,-0.1686845,0.86,0.1693276
192.0207,-0.1997778,0.86,0.1356064
196.5607,-0.2221339,0.86,0.209272
201.8607,-0.1526362,0.86,0.1393078
213.5607,-0.2015534,0.86,0.1867855
217.8007,-0.2124915,0.86,0.1527618
223.6207,-0.1556692,0.86,0.1785739
228.1606,-0.2022937,0.86,0.1423246
233.2207,-0.1825279,0.86,0.1784019
236.5607,-0.2107522,0.86,0.1365085
242.8007,-0.1955906,0.86,0.1726164
266.6606,-0.2149118,0.86,0.1374856
270.3007,-0.1971547,0.86,0.1851936
274.3407,-0.1538678,0.86,0.1430263
277.7806,-0.2203089,0.86,0.1365126
281.0406,-0.1970802,0.86,0.1962423
284.5206,-0.1551955,0.86,0.1446763
287.8007,-0.2232114,0.86,0.1715457
291.5406,-0.1531511,0.86,0.1924239
295.4807,-0.213494,0.86,0.1533229
299.1207,-0.2248584,0.86,0.1913341
303.1007,-0.1581851,0.86,0.1412401
307.6606,-0.1607266,0.86,0.2041935
311.3207,-0.1798703,0.86,0.1610576
314.6606,-0.2216882,0.86,0.2045796
318.5006,-0.1907333,0.86,0.1375455
320.5807,-0.1550556,0.86,0.1582392
324.7407,-0.2129312,0.86,0.2034792
328.4807,-0.1681618,0.86,0.1653478
332.8007,-0.2049516,0.86,0.147159
335.0807,-0.1823961,0.86,0.1992356
340.3806,-0.2240015,0.86,0.1905576
343.6007,-0.2149773,0.86,0.1470684
345.9607,-0.1694204,0.86,0.16903
349.8806,-0.2198968,0.86,0.1762576
353.5607,-0.1774242,0.86,0.1966216
357.2007,-0.2124589,0.86,0.1452985
360.1207,-0.1706403,0.86,0.140807
364.0807,-0.2244867,0.86,0.1902028
367.4006,-0.2095239,0.86,0.1375468
371.1807,-0.1593186,0.86,0.2021618
