Time, X, Y, Z
0.0006713867,0.1415148,0.9790645,0.01338282
0.007263184,0.141392,0.9791391,0.01330513
0.01837158,0.1411367,0.97912,0.01319346
0.02069092,0.1411694,0.9791286,0.01318114
0.02966309,0.1411648,0.9791264,0.01304503
0.04064941,0.141139,0.9791405,0.01292634
0.04077148,0.1411077,0.9791221,0.01292509
0.05194092,0.1410615,0.9790688,0.01281571
0.06066895,0.1410136,0.9790856,0.01278871
0.06524658,0.1410373,0.9791044,0.01274869
0.07427979,0.1411113,0.9791359,0.01267444
0.08068848,0.1412156,0.9791105,0.01269972
0.08447266,0.1412702,0.9791114,0.01269782
0.09564209,0.1413566,0.9790659,0.01273105
0.100647,0.1414999,0.979036,0.01272863
0.1068726,0.1417562,0.9789876,0.0127237
0.1177979,0.1420332,0.9789506,0.01283875
0.1206665,0.1420136,0.9789261,0.01300113
0.1289673,0.1421108,0.9788443,0.01326928
0.1400146,0.142092,0.9786515,0.01357913
0.140686,0.1421387,0.9786707,0.01359046
0.151062,0.1423238,0.9786461,0.01390347
0.1606445,0.142396,0.9785562,0.01410663
0.1621704,0.1424116,0.9785391,0.01413706
0.1732788,0.1424576,0.9782431,0.01429561
0.1806641,0.1423893,0.9782289,0.0145127
0.1844482,0.1423619,0.978193,0.01464519
0.1957397,0.142483,0.9782456,0.01466492
0.2006836,0.1424245,0.9783447,0.01472239
0.2068481,0.1423948,0.9784198,0.01479803
0.2207031,0.1424264,0.978581,0.0147461
0.2225952,0.1424395,0.9786063,0.01473214
0.2287598,0.1424754,0.9786762,0.01469368
0.2374268,0.1423914,0.9787789,0.01457494
0.2406616,0.1423593,0.978796,0.01455958
0.2488403,0.1422818,0.978937,0.01454073
0.2598267,0.1421754,0.9790771,0.0144894
0.2606812,0.1421493,0.9790959,0.01447636
0.270813,0.1419597,0.9792979,0.01439983
0.2807007,0.141836,0.9793492,0.01435113
0.2819824,0.141817,0.9793574,0.01434723
0.293457,0.1416753,0.9794663,0.0143465
0.3006592,0.1417273,0.9794777,0.01427585
0.3041992,0.1417521,0.9794883,0.01422979
0.3154297,0.1418194,0.9795308,0.01416385
0.3206787,0.1419105,0.9795159,0.01418623
0.3264771,0.1420168,0.979501,0.01419748
0.3375854,0.142039,0.9795734,0.01428202
0.3406982,0.142057,0.9795948,0.01427427
0.3486328,0.1421108,0.9796603,0.01428577
0.3598633,0.1420226,0.9795991,0.014236
0.3606567,0.1420413,0.9795918,0.01422682
0.3718872,0.1422181,0.9795578,0.01406853
0.3806763,0.1423887,0.9794123,0.01392615
0.381897,0.1424065,0.9793967,0.01391031
0.3934326,0.1425004,0.9792522,0.01386353
0.4006958,0.1426199,0.9791701,0.01383144
0.4041748,0.1426901,0.9791219,0.0138125
0.4151611,0.14276,0.9790044,0.01376754
0.4206543,0.1428009,0.9789826,0.01377821
0.4266357,0.1428492,0.9789572,0.01378535
0.437561,0.1430239,0.9788926,0.01371889
0.4406738,0.1430599,0.9788629,0.01369722
0.4486694,0.1431672,0.9787746,0.01363522
0.460144,0.1432742,0.9788597,0.01354413
0.4606934,0.1432773,0.9788667,0.01352844
0.4708252,0.1433531,0.9789296,0.01334094
0.4806519,0.1434663,0.978938,0.0131685
0.4818726,0.1434792,0.9789366,0.01315252
0.492981,0.1436384,0.9787992,0.01311375
0.5006714,0.1436433,0.9788551,0.01294579
0.5039673,0.1436462,0.978883,0.01285763
0.5152588,0.1436034,0.9788359,0.0127853
0.5206909,0.1435733,0.9788854,0.01275614
0.5361938,0.1435959,0.9790484,0.01270981
0.5406494,0.1436092,0.9790416,0.01271887
0.541626,0.1436109,0.9790407,0.01272006
0.5463257,0.1436159,0.9790553,0.01281773
0.5578003,0.143709,0.9790935,0.01278752
0.5606689,0.1437322,0.9791119,0.01277195
0.5690308,0.1437689,0.9792255,0.01274152
0.5800171,0.1437259,0.9793593,0.01265825
0.5806885,0.1437256,0.9793695,0.01265202
0.5914917,0.1437625,0.979551,0.01259767
0.600647,0.1437544,0.9796866,0.01257657
0.6021729,0.1437534,0.9797105,0.01258123
0.6131592,0.1437463,0.9799072,0.01265076
0.6206665,0.1438132,0.9799693,0.01265298
0.6243896,0.1438828,0.9799933,0.01264513
0.635437,0.1439917,0.9800643,0.01265052
0.640686,0.1440656,0.9800753,0.01270534
0.6467285,0.1441998,0.9800605,0.01279929
0.6577148,0.1445113,0.9799501,0.01282965
0.6606445,0.1445987,0.9799437,0.01284075
0.6689453,0.1448615,0.9799403,0.01287219
0.6806641,0.1450746,0.9800192,0.01303168
0.6825562,0.1451135,0.9800233,0.01306112
0.690918,0.1451912,0.9800462,0.0131906
0.7006836,0.1451253,0.9802314,0.01335725
0.7020264,0.1451087,0.9802777,0.01338357
0.7132568,0.1452356,0.9804171,0.01339699
0.7207031,0.145288,0.9805876,0.01337259
0.7246094,0.145297,0.9807163,0.0133401
0.7353516,0.1453682,0.9808339,0.01321256
0.7406616,0.1454488,0.9808773,0.01310085
0.746582,0.145585,0.9809559,0.01290761
0.7577515,0.1457089,0.9810948,0.01254387
0.7606812,0.1457344,0.9811325,0.0124421
0.7687988,0.1458814,0.9812269,0.0123304
0.7798462,0.1462398,0.9813392,0.01221524
0.7807007,0.1462696,0.9813454,0.0122046
0.7909546,0.1468315,0.9813597,0.0120443
0.8006592,0.1473442,0.9812948,0.01195759
0.8019409,0.1473953,0.9812893,0.01195346
0.8131104,0.1479826,0.9811441,0.01192461
0.8206787,0.148382,0.9810069,0.01181756
0.8245239,0.1486154,0.9809345,0.0117366
0.8377686,0.1490539,0.980885,0.01148151
0.8406982,0.1491519,0.9808874,0.01143435
0.8463745,0.1493698,0.980899,0.01133448
0.8577271,0.1496868,0.9809911,0.01105997
0.8606567,0.1497634,0.981021,0.01101269
0.8685303,0.1499069,0.9810838,0.01086448
0.8799438,0.150126,0.9810557,0.01053889
0.8806763,0.1501391,0.981058,0.0105174
0.8912354,0.1502676,0.9809852,0.009985358
0.9006958,0.1504578,0.9808984,0.009581894
0.9020996,0.1504831,0.9808764,0.009527445
0.9130859,0.1506058,0.9806795,0.009139329
0.9206543,0.1507351,0.9805417,0.008916393
0.9241333,0.1508248,0.9804133,0.008798122
0.9352417,0.1511754,0.9800494,0.008599907
0.9406738,0.1513485,0.9798576,0.008479148
0.9464722,0.1515815,0.9796276,0.008226812
0.9576416,0.1520704,0.9793152,0.00788255
0.9606934,0.152217,0.9792655,0.007808343
0.9685669,0.1525116,0.9791861,0.007599488
