Time, X, Y, Z
0,-0.1324259,0.9173243,0.1642974
0,0.1876989,0.9122449,0.1790277
0,-0.2336559,0.9034471,0.2371081
0,0.1682784,0.9061616,0.2036757
0,0.1466024,0.9217446,0.1227597
0,-0.1811634,0.8964235,0.1831231
0,0.07813285,0.9053048,0.01376467
0,-0.1400906,0.9236596,0.1277936
0,0.06580524,0.886821,0.004880712
0,0.08574387,0.8856864,-0.01466512
0,0.09785093,0.8852381,0.0196738
0,0.2158054,0.8959079,0.1596835
0,-0.03597013,0.8851551,-0.03226371
0,-0.1642597,0.8940701,0.09186181
0,0.1759653,0.9021435,0.1369102
0,-0.1768671,0.8996427,0.1845326
0,0.2049115,0.912794,0.1134455
0,0.07719849,0.8851957,0.002700836
0,-0.1628225,0.9290764,0.1350248
0,-0.2011039,0.8804607,0.2283216
0,0.1200752,0.923471,0.05442387
0,-0.1637866,0.8943376,0.1781674
0,-0.2134846,0.894387,0.1935747
0,0.04737221,0.8854377,0.01777484
0,0.2171909,0.920724,0.1736553
0,-0.2075651,0.8889023,0.1547653
0,-0.1573319,0.9001565,0.215254
0,0.2498422,0.8941141,0.2047549
0,-0.1434876,0.9069374,0.2001632
0,-0.09157065,0.9093164,0.07978775
0,-0.05885446,0.8853013,0.03684557
0,-0.07596093,0.8859509,-0.01155092
0,-0.07702499,0.9004124,0.00155082
0,-0.03576243,0.8854103,0.01237987
0,-0.184865,0.9008048,0.186351
0,-0.1015139,0.9092888,0.08316886
0,-0.1448886,0.9120973,0.2041198
0,-0.1959417,0.910391,0.1482816
0,-0.1986558,0.9021876,0.2185182
0,-0.2286435,0.9149692,0.1807562
12.45438,-0.1573056,0.9190272,0.1814456
15.61438,-0.172254,0.9077687,0.1574005
19.79437,-0.1559883,0.9103073,0.1838503
22.77435,-0.2479619,0.8988007,0.1918778
25.25436,-0.2057692,0.9064863,0.2049714
27.45438,-0.2090354,0.8868722,0.1724
29.67438,-0.166241,0.9051263,0.1587903
31.57437,-0.1731331,0.9043934,0.1147393
34.95438,-0.1505804,0.894912,0.1697715
39.99435,-0.2261886,0.9090926,0.1326902
42.85437,-0.1782387,0.8972402,0.1643161
46.75436,-0.1762277,0.9005026,0.1295583
48.93436,-0.2191634,0.9045472,0.1375951
52.65436,-0.1668487,0.907732,0.1816954
55.63437,-0.2178076,0.9083077,0.2069499
78.57437,-0.162334,0.9028372,0.1460808
80.63437,-0.2045962,0.9342642,0.1539382
83.73438,-0.202465,0.9022775,0.1594747
86.69434,-0.1648768,0.9014296,0.2066265
89.05438,-0.1385257,0.9444494,0.04542914
92.21436,-0.2302019,0.8924989,0.2048889
95.71436,-0.2005527,0.9123642,0.1637032
98.49438,-0.1659562,0.9059484,0.1791468
100.8744,-0.2410531,0.8927957,0.1925671
103.6943,-0.1861628,0.9063194,0.1666563
106.3943,-0.2232002,0.9008682,0.1631603
108.9144,-0.1670327,0.8968629,0.2003929
112.6744,-0.2074891,0.9004261,0.1413792
116.4944,-0.1591671,0.9151269,0.1591352
119.0544,-0.2298653,0.9141279,0.1409699
141.9144,-0.1773275,0.9115277,0.1816053
144.0743,-0.216066,0.9282562,0.1069549
146.5344,-0.1845428,0.9098445,0.2056276
147.9944,-0.2241444,0.9218444,0.179591
149.4344,-0.1527467,0.906769,0.2022879
152.1343,-0.2181786,0.9127524,0.1520185
153.7144,-0.1693808,0.9360865,0.1976268
155.2543,-0.2081899,0.912967,0.1583564
156.9944,-0.1390432,0.9156623,0.1384932
158.4744,-0.1481626,0.9184254,0.1166584
162.2144,-0.2005711,0.9184992,0.1350442
164.5344,-0.1673903,0.9097106,0.2052656
166.5944,-0.2324167,0.9155773,0.1699874
168.6144,-0.1797554,0.9255438,0.1612685
170.6943,-0.2079914,0.9139885,0.1744
193.9944,-0.1828501,0.9126801,0.1901803
196.1144,-0.219726,0.8960618,0.2025545
198.7344,-0.213058,0.9208456,0.1588405
201.1144,-0.1563097,0.8859631,0.1900294
203.7344,-0.226802,0.8968993,0.2164124
206.8943,-0.1692931,0.8991895,0.1391653
209.9344,-0.2244011,0.8975224,0.2096106
212.6744,-0.2147996,0.9001555,0.1790807
215.5344,-0.183538,0.9046428,0.1604519
218.5544,-0.192783,0.8999048,0.1809198
221.0743,-0.196,0.922186,0.2085794
223.2344,-0.185108,0.8963938,0.1790964
225.8143,-0.1628357,0.9466718,0.1626215
227.8143,-0.2064982,0.9098027,0.1680741
230.2543,-0.2262038,0.8984814,0.2032116
