Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.2168393,0.86,0.2074059
0,-0.2034719,0.86,0.1661708
0,-0.191913,0.86,0.199676
0,-0.1672512,0.86,0.142352
0,-0.2156936,0.86,0.1902453
0,-0.1604136,0.86,0.1525001
0,-0.1604735,0.86,0.1423245
0,-0.189638,0.86,0.1947556
0,-0.1544298,0.86,0.1755782
0,-0.1992215,0.86,0.1669126
0,-0.1955357,0.86,0.1437386
0,-0.1593717,0.86,0.2068564
0,-0.15,0.86,0.2
0,-0.1718748,0.86,0.1646655
0,-0.2159947,0.86,0.1818595
0,-0.1733807,0.86,0.1670495
0,-0.1531562,0.86,0.136962
0,-0.1910968,0.86,0.1455995
0,-0.1852392,0.86,0.1906171
0,-0.1535362,0.86,0.1673987
0,-0.1636752,0.86,0.2039846
0,-0.1946589,0.86,0.1496668
0,-0.1671819,0.86,0.2018602
0,-0.215788,0.86,0.1793332
12.45438,-0.15,0.86,0.2
15.61438,-0.1599724,0.86,0.1388398
19.79437,-0.1610796,0.86,0.2014003
22.77435,-0.2149771,0.86,0.1644691
25.25436,-0.1877045,0.86,0.1925122
27.45438,-0.1929907,0.86,0.1562639
29.67438,-0.1615208,0.86,0.1379436
31.57437,-0.2019021,0.86,0.1607593
34.95438,-0.1579378,0.86,0.1678546
39.99435,-0.209962,0.86,0.1487223
42.85437,-0.1652866,0.86,0.1487323
46.75436,-0.1918559,0.86,0.2015607
48.93436,-0.2189285,0.86,0.1407375
52.65436,-0.1758155,0.86,0.1812296
55.63437,-0.2104788,0.86,0.1934172
78.57437,-0.1722517,0.86,0.1760088
80.63437,-0.2248981,0.86,0.1782746
83.73438,-0.1918754,0.86,0.1476103
86.69434,-0.16281,0.86,0.2020107
89.05438,-0.1943367,0.86,0.1755576
92.21436,-0.2188425,0.86,0.2031223
95.71436,-0.2068742,0.86,0.1690274
98.49438,-0.162102,0.86,0.1630291
100.8744,-0.2206645,0.86,0.1706512
103.6943,-0.1807384,0.86,0.1664845
106.3943,-0.2246378,0.86,0.1449815
108.9144,-0.1620887,0.86,0.189939
112.6744,-0.2094579,0.86,0.1418356
116.4944,-0.1562059,0.86,0.1642205
119.0544,-0.2127133,0.86,0.1387846
141.9144,-0.162292,0.86,0.1856775
144.0743,-0.2217204,0.86,0.1496888
146.5344,-0.175087,0.86,0.1911943
147.9944,-0.198753,0.86,0.1421881
149.4344,-0.1669128,0.86,0.1964878
152.1343,-0.1959958,0.86,0.1492731
153.7144,-0.1800315,0.86,0.1888836
155.2543,-0.188745,0.86,0.1476258
156.9944,-0.1566835,0.86,0.1648731
158.4744,-0.2193168,0.86,0.2000219
162.2144,-0.2024029,0.86,0.1396599
164.5344,-0.1764335,0.86,0.195601
166.5944,-0.2116875,0.86,0.16459
168.6144,-0.1700293,0.86,0.178964
170.6943,-0.1727148,0.86,0.1350511
193.9944,-0.1746641,0.86,0.1755771
196.1144,-0.2161058,0.86,0.1833427
198.7344,-0.1876435,0.86,0.1582864
201.1144,-0.1561845,0.86,0.1787769
203.7344,-0.2141199,0.86,0.1949486
206.8943,-0.1683362,0.86,0.1350821
209.9344,-0.2025204,0.86,0.1926968
212.6744,-0.1845703,0.86,0.1561405
215.5344,-0.1501058,0.86,0.1419158
218.5544,-0.1810522,0.86,0.1604921
221.0743,-0.188099,0.86,0.1968246
223.2344,-0.1636034,0.86,0.1540325
225.8143,-0.1579056,0.86,0.202777
227.8143,-0.1730371,0.86,0.1570835
230.2543,-0.2187483,0.86,0.1816504
