Time, X, Y, Z
0.006011963,-0.1071054,0.9115978,-0.11727
0.01437378,-0.1071181,0.9116924,-0.1173463
0.01733398,-0.1071315,0.9117436,-0.1173742
0.02868652,-0.107295,0.9119552,-0.1173644
0.03436279,-0.1072938,0.9119671,-0.1174012
0.03994751,-0.1072924,0.9119881,-0.1174457
0.0512085,-0.1072996,0.9120435,-0.1174738
0.05435181,-0.1073221,0.9120604,-0.1174945
0.06253052,-0.1073718,0.9120976,-0.1175587
0.07437134,-0.1073448,0.912062,-0.1175689
0.07583618,-0.1073581,0.91206,-0.1175666
0.08435059,-0.1074331,0.9120221,-0.1175423
0.09436035,-0.1074649,0.9120057,-0.1175129
0.09524536,-0.1074697,0.9120039,-0.1175076
0.1064148,-0.1074932,0.9120429,-0.1175335
0.1143799,-0.107522,0.9120195,-0.1175319
0.1176147,-0.1075361,0.9119962,-0.117528
0.12854,-0.107431,0.911851,-0.1175814
0.1343689,-0.1074033,0.9118087,-0.117623
0.1396179,-0.1073794,0.9117657,-0.1176645
0.1507874,-0.1073871,0.9117298,-0.1176791
0.1543579,-0.1073569,0.9116888,-0.1176788
0.1620178,-0.1072883,0.9115969,-0.1176744
0.1728516,-0.1073234,0.9115647,-0.1176764
0.1743774,-0.1073208,0.9115489,-0.1176713
0.184021,-0.1072754,0.9114209,-0.1176293
0.1943665,-0.1072044,0.9112177,-0.1176686
0.1951904,-0.1071989,0.911203,-0.1176707
0.2063599,-0.1071372,0.9110542,-0.1176569
0.2143555,-0.1070909,0.9109232,-0.1175965
0.2175293,-0.10707,0.910861,-0.1175678
0.2306824,-0.1070882,0.9107832,-0.1175126
0.234375,-0.1071021,0.9107826,-0.1175016
0.239563,-0.1071221,0.9107711,-0.117485
0.250824,-0.1071412,0.9107658,-0.1174229
0.254364,-0.1071524,0.9107662,-0.1174237
0.2618713,-0.1071809,0.9107661,-0.1174274
0.2730103,-0.1073436,0.9107819,-0.1173899
0.274353,-0.1073566,0.9107756,-0.1173882
0.2839355,-0.1074364,0.9107113,-0.1173851
0.2943726,-0.1074976,0.9106984,-0.1173963
0.2951965,-0.1075017,0.9106981,-0.1173948
0.3063965,-0.1074752,0.9107325,-0.1173472
