Time, X, Y, Z
0.006011963,0.1234807,0.9089924,-0.05716637
0.01437378,0.1234691,0.9089355,-0.05712229
0.01733398,0.1234549,0.9089143,-0.05709784
0.02868652,0.1233568,0.9089378,-0.05698568
0.03436279,0.1233746,0.9089028,-0.05698058
0.03994751,0.1233972,0.9088627,-0.05697693
0.0512085,0.1234239,0.9087962,-0.05702585
0.05435181,0.1234236,0.9087787,-0.05705628
0.06253052,0.1234283,0.9087178,-0.05713972
0.07437134,0.1235759,0.9086004,-0.05717278
0.07583618,0.1235765,0.9085866,-0.05717342
0.08435059,0.1235014,0.9085142,-0.05716151
0.09436035,0.1235389,0.9085408,-0.05709824
0.09524536,0.1235462,0.9085456,-0.05708742
0.1064148,0.1235591,0.9086102,-0.05703254
0.1143799,0.1235648,0.9086076,-0.05704241
0.1176147,0.1235656,0.9086006,-0.05703273
0.12854,0.1236618,0.9085636,-0.05711123
0.1343689,0.1236906,0.9085425,-0.05713506
0.1396179,0.1237152,0.9085218,-0.05715577
0.1507874,0.1237406,0.9085178,-0.05713481
0.1543579,0.1237696,0.9085113,-0.05711111
0.1620178,0.1238383,0.9085035,-0.05704984
0.1728516,0.1237672,0.9085718,-0.05697241
0.1743774,0.1237637,0.9085654,-0.05695377
0.184021,0.1237711,0.9085176,-0.05682835
0.1943665,0.1237655,0.9084629,-0.05687891
0.1951904,0.1237652,0.9084591,-0.05688146
0.2063599,0.1237773,0.9083881,-0.05687742
0.2143555,0.1237988,0.9083768,-0.05683081
0.2175293,0.1238074,0.908371,-0.05680816
0.2306824,0.1237418,0.9083124,-0.05675976
0.234375,0.1237395,0.9083441,-0.05675025
0.239563,0.1237223,0.9083796,-0.05673093
0.250824,0.1236764,0.9084032,-0.0566853
0.254364,0.1236687,0.9083894,-0.05667426
0.2618713,0.1236503,0.9083497,-0.05664995
0.2730103,0.1234768,0.9083937,-0.05652954
0.274353,0.1234586,0.908397,-0.05652542
0.2839355,0.1233324,0.9084155,-0.05651844
0.2943726,0.1232273,0.9084557,-0.05652748
0.2951965,0.1232193,0.9084588,-0.05652642
0.3063965,0.1231226,0.9085066,-0.05650727
0.3143616,0.1230154,0.9085658,-0.05642819
0.3172302,0.1229683,0.9085907,-0.05639355
0.3284607,0.1228127,0.9085203,-0.05641314
0.3343506,0.1227574,0.9085193,-0.05647308
0.3406982,0.1226916,0.9085164,-0.05654916
0.3506165,0.1226052,0.9085037,-0.05663115
0.3543701,0.1226022,0.9084582,-0.05667503
0.3618774,0.1226102,0.9083418,-0.0567793
0.3730774,0.1226602,0.9082401,-0.05685718
0.3743591,0.1226649,0.9082299,-0.0568658
0.3861084,0.1227235,0.9081323,-0.05697356
0.3943787,0.1227631,0.9079892,-0.05703047
0.3950806,0.1227667,0.9079839,-0.05703342
0.406189,0.1228287,0.9079188,-0.05704261
0.4143677,0.122836,0.9078422,-0.05710977
0.4174194,0.1228381,0.9078045,-0.05714479
0.4284363,0.1228662,0.9077153,-0.05723174
0.4343567,0.1228298,0.9076723,-0.05726838
0.4397278,0.1227814,0.9076223,-0.05730698
0.4511414,0.1227537,0.9074633,-0.05737559
0.4543762,0.122745,0.9074169,-0.05737595
0.4620361,0.1227259,0.9072885,-0.05737036
0.4736023,0.1226526,0.9072052,-0.05734518
0.4743652,0.1226432,0.9072076,-0.05733965
0.4842834,0.1225162,0.9072423,-0.05726564
0.4943542,0.1225002,0.9071697,-0.05722766
0.4954834,0.1224992,0.9071586,-0.05722463
0.5067444,0.1224935,0.9070638,-0.0572038
0.5143738,0.1225255,0.9069926,-0.0571591
0.5178833,0.1225442,0.9069402,-0.05713522
0.5289612,0.1225987,0.9067231,-0.05716145
0.5343628,0.1226391,0.9065875,-0.05716254
0.5421448,0.1227133,0.906368,-0.05717605
0.5507202,0.1227869,0.9061602,-0.05728598
0.5543518,0.1228168,0.9060879,-0.05731112
0.5619507,0.1228835,0.905948,-0.05735402
0.5732727,0.1229441,0.905815,-0.05732846
0.5743713,0.1229506,0.905798,-0.05732468
0.5841675,0.1230931,0.9054523,-0.05731961
0.5943604,0.1231135,0.9052303,-0.05734675
0.5953064,0.1231151,0.9052074,-0.05734986
0.6063843,0.1231218,0.9048981,-0.05739379
0.6143799,0.1231334,0.9046348,-0.05737418
0.6176453,0.1231382,0.9044912,-0.05736327
