Time, X, Y, Z
13.18335,-0.2288185,0.9034122,0.1527227
15.30334,-0.1705153,0.8995116,0.2085694
17.64331,-0.2316385,0.8947087,0.2091062
20.02332,-0.1775234,0.8989639,0.1993469
24.9834,-0.1754689,0.9269804,0.1746387
26.62341,-0.2159705,0.9102083,0.111158
29.08337,-0.2473662,0.9077256,0.1993523
31.5033,-0.241582,0.9245309,0.1474186
33.44336,-0.1621538,0.8857642,0.2102543
35.34338,-0.2105376,0.8932949,0.1873062
37.42334,-0.1537775,0.8945832,0.1867137
39.70337,-0.1897548,0.8966712,0.2258035
42.4834,-0.1591359,0.8910905,0.1664358
44.84338,-0.1653069,0.895672,0.2021092
46.94336,-0.2204516,0.8955134,0.1713764
48.84338,-0.1819129,0.9005216,0.1789126
66.58337,-0.1621504,0.903855,0.2066706
68.8634,-0.2007661,0.8941754,0.1403872
70.94336,-0.1708942,0.896203,0.2149567
73.28333,-0.1761255,0.8951103,0.1776098
74.42334,-0.1311692,0.9500331,0.06289105
76.78333,-0.1755637,0.8962778,0.1572122
78.74341,-0.1498657,0.8882262,0.1885222
80.68335,-0.220248,0.8946331,0.1801223
83.08337,-0.1567684,0.9035966,0.1513972
85.0033,-0.2261356,0.8842459,0.2149705
86.92334,-0.1779267,0.8851793,0.1449936
88.90332,-0.1983812,0.8899298,0.2110626
90.5033,-0.2265286,0.8959112,0.1898765
92.68335,-0.1475109,0.8885357,0.1312507
95.60339,-0.2027792,0.8891672,0.1631588
97.32336,-0.1366494,0.9267241,0.1269143
98.44336,-0.2158767,0.8966501,0.1625149
100.9033,-0.1777538,0.9047683,0.1260809
102.9233,-0.2218834,0.8915097,0.1919677
104.7434,-0.1645714,0.8839369,0.1792036
106.9033,-0.2339403,0.8955679,0.134661
108.3033,-0.1815693,0.9005194,0.1772346
109.9634,-0.2270556,0.9038715,0.1875289
111.5433,-0.1441041,0.8911128,0.1867628
113.2633,-0.1488945,0.9171619,0.1541056
115.8434,-0.1818434,0.9070634,0.141938
118.0033,-0.1805124,0.9256819,0.1790877
120.6833,-0.1937606,0.9066814,0.1551763
122.5834,-0.1910308,0.9048651,0.1814203
144.6433,-0.1650795,0.9006835,0.224104
146.4033,-0.1775377,0.8926091,0.1558628
148.6234,-0.2321119,0.8921387,0.168207
150.2434,-0.1859742,0.9059612,0.1560513
151.8833,-0.2182993,0.8991475,0.1719669
153.7234,-0.2220214,0.9053005,0.1508777
154.9434,-0.1851805,0.9265997,0.1770348
156.7034,-0.1979286,0.9004745,0.1705812
159.2234,-0.1886616,0.9149469,0.1794644
160.8033,-0.1801586,0.8952184,0.1657514
162.2633,-0.2001058,0.9021772,0.1962529
164.9233,-0.2099593,0.9185013,0.1360569
168.0634,-0.2050051,0.8919678,0.2022459
169.5834,-0.214523,0.8930768,0.1828775
171.0634,-0.2102653,0.8915349,0.1430073
