Time, X, Y, Z
13.18335,-0.2226591,0.86,0.1500687
15.30334,-0.1583001,0.86,0.2034739
17.64331,-0.2134602,0.86,0.205036
20.02332,-0.1849863,0.86,0.1718003
24.9834,-0.1503436,0.86,0.206194
26.62341,-0.1980905,0.86,0.1663713
29.08337,-0.2193848,0.86,0.1994026
31.5033,-0.2077468,0.86,0.1470083
33.44336,-0.1530686,0.86,0.1880341
35.34338,-0.1984148,0.86,0.1783874
37.42334,-0.1558337,0.86,0.1737111
39.70337,-0.1947677,0.86,0.2056698
42.4834,-0.1657741,0.86,0.1613964
44.84338,-0.1660408,0.86,0.1984767
46.94336,-0.204284,0.86,0.1426289
48.84338,-0.1759562,0.86,0.164396
66.58337,-0.1794923,0.86,0.2064235
68.8634,-0.1918446,0.86,0.1363457
70.94336,-0.187723,0.86,0.2068016
73.28333,-0.1506031,0.86,0.1664874
74.42334,-0.2041053,0.86,0.2001303
76.78333,-0.1863828,0.86,0.1445085
78.74341,-0.1532699,0.86,0.1679307
80.68335,-0.2107579,0.86,0.1811758
83.08337,-0.1542665,0.86,0.1381169
85.0033,-0.213081,0.86,0.2027679
86.92334,-0.1808356,0.86,0.1398645
88.90332,-0.2095922,0.86,0.2052202
90.5033,-0.1944491,0.86,0.1666434
92.68335,-0.1614703,0.86,0.1417279
95.60339,-0.2170562,0.86,0.1590773
97.32336,-0.1679499,0.86,0.1825302
98.44336,-0.216765,0.86,0.1644486
100.9033,-0.1810271,0.86,0.1472328
102.9233,-0.2111939,0.86,0.1790748
104.7434,-0.1754686,0.86,0.1742815
106.9033,-0.2221699,0.86,0.1368955
108.3033,-0.1816257,0.86,0.1807498
109.9634,-0.2156264,0.86,0.1959928
111.5433,-0.1615479,0.86,0.1760609
113.2633,-0.2070556,0.86,0.203676
115.8434,-0.1864865,0.86,0.1480125
118.0033,-0.1601481,0.86,0.1750115
120.6833,-0.2238031,0.86,0.1891807
122.5834,-0.1903122,0.86,0.175621
144.6433,-0.1740111,0.86,0.2075145
146.4033,-0.1789582,0.86,0.1479967
148.6234,-0.2249335,0.86,0.182975
150.2434,-0.1820055,0.86,0.1385382
151.8833,-0.2244457,0.86,0.1651317
153.7234,-0.1913576,0.86,0.1446812
154.9434,-0.1664999,0.86,0.1852816
156.7034,-0.202592,0.86,0.1675575
159.2234,-0.1736686,0.86,0.1936571
160.8033,-0.1761656,0.86,0.1459631
162.2633,-0.1993294,0.86,0.188143
164.9233,-0.1902931,0.86,0.1379995
168.0634,-0.1597663,0.86,0.2002148
169.5834,-0.1948129,0.86,0.1892578
171.0634,-0.2010229,0.86,0.1422376
