Time, X, Y, Z
0.003295898,-0.2233931,0.9103097,-0.08893022
0.007446289,-0.2231288,0.9102584,-0.08905992
0.01855469,-0.2224376,0.9102337,-0.08929579
0.02331543,-0.2221334,0.9101927,-0.08937758
0.02954102,-0.2216698,0.9101321,-0.08951865
0.04064941,-0.2208724,0.9101467,-0.08952448
0.04333496,-0.2205854,0.9101993,-0.08951163
0.05200195,-0.2195812,0.9103447,-0.08941314
0.06298828,-0.2185078,0.91038,-0.08947711
0.06335449,-0.2184588,0.9103945,-0.08951962
0.0760498,-0.2168369,0.9105812,-0.08985612
0.08337402,-0.2158627,0.911115,-0.09010671
0.08496094,-0.2156582,0.9111927,-0.09015574
0.09619141,-0.2140716,0.911895,-0.09081745
0.1033936,-0.2129242,0.9125482,-0.09128118
0.1074219,-0.2121549,0.9129767,-0.09159368
0.1185303,-0.210132,0.9137908,-0.09235799
0.1234131,-0.2091894,0.9143785,-0.0930158
0.1296387,-0.2078281,0.9152017,-0.09391643
0.1409912,-0.2061662,0.9163242,-0.09497358
0.1433105,-0.2056867,0.9165469,-0.09525095
0.1519775,-0.2038586,0.9175416,-0.09634398
0.163208,-0.202112,0.9183244,-0.09792349
0.1633301,-0.2021125,0.9183579,-0.0979313
0.1743164,-0.2002902,0.9196423,-0.09962431
0.1833496,-0.1990194,0.9207446,-0.1005865
0.1856689,-0.198677,0.921047,-0.1008667
0.1967773,-0.1975208,0.9221528,-0.1019601
0.2033691,-0.1967357,0.9227336,-0.1026479
0.2077637,-0.1960768,0.9232302,-0.1032396
0.21875,-0.1949854,0.9238387,-0.1043158
0.2233887,-0.1945287,0.9241341,-0.1048256
0.2315674,-0.1936068,0.9247192,-0.1058866
0.2408447,-0.1924867,0.9257945,-0.1068184
0.2434082,-0.1921816,0.9260168,-0.1071236
0.2520752,-0.1909834,0.9269272,-0.108269
0.2631836,-0.1899333,0.9278563,-0.1092777
0.2633057,-0.1899146,0.9278691,-0.1092989
0.2745361,-0.1884778,0.9290105,-0.110636
0.2833252,-0.1876675,0.9297343,-0.1115727
0.2854004,-0.1874511,0.9299243,-0.1118125
0.2965088,-0.1862977,0.9307715,-0.1127125
0.3033447,-0.1855745,0.9313658,-0.1132316
0.3077393,-0.1850102,0.9318211,-0.1136376
0.3189697,-0.1840519,0.9325185,-0.114214
0.3233643,-0.1836776,0.932772,-0.1144303
0.3300781,-0.1830263,0.9332135,-0.1148055
0.3411865,-0.1821901,0.9334872,-0.1153617
0.3433838,-0.1819668,0.9335456,-0.1155106
0.3521729,-0.1809608,0.9337841,-0.1161372
0.3634033,-0.1798824,0.9342977,-0.116645
0.3635254,-0.1798649,0.9343048,-0.1166542
0.3746338,-0.1790109,0.9345977,-0.1170047
0.3833008,-0.1783921,0.9346533,-0.1172484
0.3867188,-0.1780709,0.9346837,-0.1173887
0.3966064,-0.1774044,0.9346238,-0.1175531
0.4033203,-0.1768268,0.9345433,-0.1176099
0.4077148,-0.1763761,0.934487,-0.1176549
0.4188232,-0.1757135,0.9341416,-0.1175961
0.4233398,-0.1753389,0.93399,-0.117664
