Time, X, Y, Z
0.003295898,0.1599581,0.9158873,-0.03269523
0.007446289,0.1599148,0.9159118,-0.03273734
0.01855469,0.1596987,0.9159345,-0.03274235
0.02331543,0.1596515,0.9158505,-0.03272474
0.02954102,0.159568,0.9157419,-0.03271985
0.04064941,0.1596884,0.9156658,-0.03272745
0.04333496,0.1597074,0.9156168,-0.03272042
0.05200195,0.1598514,0.9155099,-0.03269789
0.06298828,0.1599844,0.9152635,-0.03257307
0.06335449,0.1599662,0.9152643,-0.03258729
0.0760498,0.1600645,0.9150652,-0.03262442
0.08337402,0.1601041,0.9147892,-0.03259808
0.08496094,0.1601139,0.9147398,-0.03259829
0.09619141,0.1601376,0.9144875,-0.03265679
0.1033936,0.1601765,0.9143957,-0.03268382
0.1074219,0.1601948,0.9143204,-0.03269771
0.1185303,0.1604332,0.9143976,-0.03264847
0.1234131,0.1605309,0.9143912,-0.03258982
0.1296387,0.1606604,0.9143824,-0.03250268
0.1409912,0.1607839,0.9145315,-0.03235239
0.1433105,0.1607543,0.9145607,-0.03233719
0.1519775,0.1606741,0.9147167,-0.03220439
0.163208,0.1604011,0.9145076,-0.03214967
0.1633301,0.1604049,0.9145086,-0.0321604
0.1743164,0.1601322,0.9144593,-0.03215149
0.1833496,0.1599306,0.9142154,-0.03211993
0.1856689,0.1598592,0.9141541,-0.03210315
0.1967773,0.1595384,0.9137702,-0.03197262
0.2033691,0.1593469,0.9134551,-0.0319078
0.2077637,0.1591814,0.9131969,-0.03185663
0.21875,0.1592123,0.9128139,-0.03200179
0.2233887,0.159151,0.9126734,-0.03211898
0.2315674,0.1590171,0.9123342,-0.03233799
0.2408447,0.159085,0.9122964,-0.03241292
0.2434082,0.1591313,0.9122943,-0.03243071
0.2520752,0.1593002,0.912318,-0.03251138
0.2631836,0.1595819,0.9123452,-0.03243655
0.2633057,0.1595803,0.9123422,-0.03243354
0.2745361,0.1598068,0.9123502,-0.03221202
0.2833252,0.1599343,0.9123938,-0.03205949
0.2854004,0.1599693,0.9124035,-0.03202266
0.2965088,0.1601067,0.9125119,-0.03187221
0.3033447,0.160119,0.912671,-0.03181845
0.3077393,0.1601399,0.9127871,-0.0317724
0.3189697,0.1601668,0.9127461,-0.0317975
0.3233643,0.160173,0.9127649,-0.03182071
0.3300781,0.1601921,0.9127996,-0.03186235
0.3411865,0.1601734,0.9128391,-0.03183496
0.3433838,0.1601807,0.91286,-0.03183052
0.3521729,0.1602521,0.9129364,-0.0318172
0.3634033,0.160199,0.912991,-0.03184879
0.3635254,0.1601981,0.912991,-0.03184894
0.3746338,0.1601274,0.9130154,-0.03182918
0.3833008,0.1601087,0.9129682,-0.03188303
0.3867188,0.160088,0.9129337,-0.03191257
0.3966064,0.1600069,0.9128937,-0.03198761
0.4033203,0.159913,0.9128909,-0.03202945
0.4077148,0.1598417,0.9128914,-0.0320608
0.4188232,0.1597015,0.912846,-0.03207183
0.4233398,0.15965,0.912872,-0.03208712
0.4300537,0.1595237,0.9129025,-0.03211778
0.44104,0.1593944,0.9130279,-0.03211215
0.4433594,0.1593833,0.9130256,-0.03209698
0.4522705,0.1593264,0.9130333,-0.03203517
0.4633789,0.159268,0.9130539,-0.03188935
0.4633789,0.1592686,0.9130535,-0.03189021
0.4747314,0.1590818,0.9132105,-0.03179112
0.4833984,0.1589558,0.9131934,-0.03169769
0.4858398,0.1589067,0.9131836,-0.03166059
0.4967041,0.1587355,0.9131404,-0.03148648
0.5032959,0.1586746,0.9131778,-0.03138959
0.5079346,0.1586263,0.9132136,-0.03131244
0.519043,0.1585255,0.913292,-0.03110462
0.5233154,0.1584886,0.9133788,-0.03104651
0.5305176,0.1584282,0.9135619,-0.03093675
0.543335,0.1583184,0.9135988,-0.03073066
0.5438232,0.1583146,0.9136008,-0.03072268
0.552124,0.1582855,0.9137148,-0.03068396
0.5626221,0.158283,0.9137674,-0.03060049
0.5633545,0.1582834,0.9137712,-0.03059483
0.5737305,0.1584079,0.913798,-0.0305874
0.583374,0.1585018,0.9136844,-0.03058553
0.5847168,0.1585168,0.913666,-0.03058118
0.5959473,0.158652,0.9135768,-0.03070796
0.6033936,0.1588996,0.9136136,-0.03074819
0.6070557,0.1590666,0.9136438,-0.03076935
0.6181641,0.1594521,0.9135125,-0.030819
0.6234131,0.159591,0.9134148,-0.03083667
0.6292725,0.1597435,0.9132829,-0.03086492
0.6402588,0.1600609,0.9131299,-0.0309622
0.6433105,0.160152,0.9130739,-0.03099811
0.6518555,0.1604527,0.9129157,-0.03113121
0.6624756,0.1606832,0.9129162,-0.03127664
0.6633301,0.1607037,0.9129162,-0.03128958
0.6737061,0.1608988,0.9127982,-0.03152084
0.6833496,0.1609789,0.9126784,-0.03169322
0.6849365,0.1609903,0.9126571,-0.03172228
0.6977539,0.1610198,0.9125484,-0.03185058
0.7033691,0.1610941,0.9124936,-0.0319013
0.7067871,0.1611499,0.912452,-0.0319407
0.7180176,0.1611527,0.9123397,-0.03181079
0.7233887,0.1611282,0.9123037,-0.0317103
0.7290039,0.161078,0.9122652,-0.03157377
0.7401123,0.1610844,0.9122317,-0.0313862
0.7434082,0.1610462,0.9122161,-0.03133005
0.7512207,0.1608505,0.912149,-0.03122047
0.7624512,0.1605968,0.9120266,-0.0311625
0.7633057,0.1605756,0.9120163,-0.03115773
0.7736816,0.1603427,0.9118723,-0.03114048
0.7833252,0.1600038,0.911684,-0.0310953
0.784668,0.1599586,0.911659,-0.03108993
0.7957764,0.1597384,0.9116479,-0.03112102
0.8033447,0.1595811,0.9116861,-0.03106925
0.8068848,0.1594909,0.911718,-0.03102809
0.8181152,0.1593661,0.9118137,-0.03091142
0.8233643,0.159306,0.9117899,-0.03086016
0.8293457,0.1592406,0.9117267,-0.03079775
0.8404541,0.1591805,0.9115351,-0.03078079
0.8433838,0.1591549,0.9114903,-0.03076261
0.8526611,0.1591518,0.9115046,-0.03063244
0.862793,0.1590844,0.911392,-0.03054327
0.8634033,0.1590801,0.9113846,-0.03053769
0.8737793,0.1591501,0.9113321,-0.03058594
0.8833008,0.1592561,0.9112993,-0.03062725
0.8846436,0.1592724,0.9112949,-0.03063351
0.8956299,0.1593116,0.911327,-0.03058654
0.9033203,0.1593594,0.9113711,-0.03057197
0.9069824,0.1593894,0.9113985,-0.03056973
0.9180908,0.1594731,0.9114985,-0.03057936
0.9233398,0.1595153,0.9115323,-0.03060287
0.9293213,0.159571,0.9115459,-0.03064212
0.9403076,0.1594829,0.9115815,-0.03070036
0.9433594,0.1594804,0.9115973,-0.03072828
0.9517822,0.1594763,0.9116693,-0.03080893
0.9628906,0.1593721,0.9117403,-0.03085038
0.9633789,0.1593673,0.9117433,-0.03085232
0.9742432,0.1593476,0.9117984,-0.03095216
0.9833984,0.1593195,0.9118217,-0.03101307
0.9853516,0.159317,0.9118249,-0.03103337
0.9967041,0.1592298,0.9117987,-0.03122354
1.003296,0.1591661,0.9118298,-0.03128609
1.009033,0.1591196,0.9118475,-0.03137425
1.018555,0.1591464,0.9117923,-0.03159562
1.023315,0.1591598,0.9118115,-0.03166503
1.029785,0.1591914,0.9118458,-0.03173929
1.040771,0.1592975,0.9118884,-0.03191978
1.043335,0.159323,0.9119024,-0.03196156
1.052002,0.1594195,0.9120126,-0.03198549
1.06311,0.1593345,0.9120344,-0.03194401
1.063354,0.1593322,0.9120349,-0.03194305
1.074463,0.1592988,0.9120375,-0.03185543
1.083374,0.1593461,0.912036,-0.03183582
1.085693,0.1593524,0.9120376,-0.03182507
1.09668,0.159189,0.9120548,-0.03169063
1.103394,0.1591583,0.9120813,-0.03159776
1.107788,0.1591379,0.9121069,-0.03151453
1.119019,0.1589099,0.9121852,-0.03130451
