Time, X, Y, Z
14.54279,-0.2111765,0.9052775,0.128371
18.50281,-0.04952743,0.8852884,0.04221553
20.52283,-0.08379477,0.9043164,0.0294736
23.44281,-0.06171818,0.8933389,0.06345916
26.50281,-0.1204834,0.9033659,0.04786487
33.02283,-0.05375925,0.9122936,0.004016893
36.90283,-0.2330103,0.8970424,0.1593695
39.10278,-0.182528,0.8990149,0.2017844
42.94281,-0.2139546,0.9098967,0.1826746
50.28284,-0.2345559,0.8917574,0.2095035
53.40283,-0.2183379,0.8959762,0.163102
57.10278,-0.1473037,0.9131524,0.1580676
59.04279,-0.07063241,0.9195637,0.1577062
64.76282,-0.08224319,0.9011056,0.1090405
68.56281,-0.1866171,0.9083633,0.10549
91.50281,-0.1216524,0.898796,0.06881467
102.2628,-0.1878512,0.9284375,0.149867
104.7828,-0.08326177,0.8955061,0.07883772
107.8828,-0.1000452,0.9021905,0.08416726
110.8628,-0.1178504,0.9134778,0.09607952
114.3428,-0.1354185,0.9137928,0.1504414
116.6628,-0.1119556,0.9010541,0.1217937
119.3428,-0.1275503,0.9060913,0.1212184
122.0228,-0.1301097,0.9170052,0.1109431
124.0428,-0.1634895,0.925764,0.08523798
127.0228,-0.153367,0.9351968,0.1205822
130.2828,-0.2414485,0.8962077,0.1913892
132.2628,-0.1790529,0.9007494,0.1226058
134.7828,-0.2705019,0.8783245,0.1807075
137.8028,-0.189512,0.9007647,0.1899778
160.4028,-0.2377991,0.8998162,0.1467174
165.1228,-0.1901989,0.9123532,0.1813692
167.7628,-0.1162769,0.9149854,0.06247979
170.2828,-0.1438334,0.9122595,0.09952085
173.6628,-0.1692575,0.9006632,0.1528892
186.1628,-0.273781,0.8912114,0.1778063
188.9628,-0.2366212,0.9046943,0.1543541
192.8628,-0.1848246,0.9052253,0.1884741
196.0628,-0.2368291,0.9055772,0.1326696
200.8228,-0.2179126,0.8950745,0.214473
206.6428,-0.2471925,0.8888698,0.1638296
211.9028,-0.1789899,0.8996138,0.1289355
217.7428,-0.2257261,0.8909652,0.1398133
221.7828,-0.1882413,0.9084119,0.1547463
225.8628,-0.1819973,0.9009547,0.1901123
249.7028,-0.2630863,0.9005538,0.1820372
256.4428,-0.2413301,0.911497,0.1811898
259.1228,-0.2255198,0.8920818,0.1505833
262.9028,-0.2146883,0.9480562,0.1349243
266.1628,-0.2094881,0.8741603,0.1639906
275.1428,-0.2245094,0.8660313,0.189199
277.9628,-0.2621229,0.8950163,0.1741014
283.2628,-0.1829179,0.909777,0.1828851
287.7228,-0.1920258,0.8890746,0.1653382
290.6028,-0.1837368,0.9111225,0.1463681
293.1628,-0.1761472,0.9256964,0.1491022
298.0228,-0.1857416,0.9011313,0.1744685
303.8428,-0.2163364,0.8918144,0.1890967
308.8828,-0.2395905,0.8869079,0.1512084
312.4828,-0.09162569,0.8955375,0.04218933
