Time, X, Y, Z
14.54279,-0.2160838,0.86,0.1441748
18.50281,-0.2058628,0.86,0.1842659
20.52283,-0.1800648,0.86,0.1592475
23.44281,-0.192267,0.86,0.2012649
26.50281,-0.2189571,0.86,0.155786
33.02283,-0.1572537,0.86,0.142385
36.90283,-0.1903388,0.86,0.168946
39.10278,-0.1682565,0.86,0.2007793
42.94281,-0.2105435,0.86,0.1773013
50.28284,-0.1871935,0.86,0.2075846
53.40283,-0.2029372,0.86,0.1512903
57.10278,-0.1544407,0.86,0.1966931
59.04279,-0.1921291,0.86,0.1963781
64.76282,-0.2225138,0.86,0.1610256
68.56281,-0.2099212,0.86,0.2065056
91.50281,-0.166942,0.86,0.1630044
102.2628,-0.2010558,0.86,0.1536399
104.7828,-0.1764456,0.86,0.1836818
107.8828,-0.1810286,0.86,0.1420092
110.8628,-0.1959527,0.86,0.194274
114.3428,-0.1542794,0.86,0.1910914
116.6628,-0.2157375,0.86,0.1836318
119.3428,-0.1611113,0.86,0.1424823
122.0228,-0.2048506,0.86,0.1483141
124.0428,-0.224693,0.86,0.2014894
127.0228,-0.1875023,0.86,0.1597993
130.2828,-0.1771952,0.86,0.2087221
132.2628,-0.1667241,0.86,0.1351383
134.7828,-0.1882763,0.86,0.1662835
137.8028,-0.1678225,0.86,0.1984987
160.4028,-0.2240528,0.86,0.1716592
165.1228,-0.1745986,0.86,0.1844131
167.7628,-0.2060958,0.86,0.1522314
170.2828,-0.1775561,0.86,0.1907526
173.6628,-0.1559485,0.86,0.1530783
186.1628,-0.2177695,0.86,0.1772295
188.9628,-0.1713445,0.86,0.1461419
192.8628,-0.1926958,0.86,0.2014
196.0628,-0.2140424,0.86,0.13586
200.8228,-0.1876208,0.86,0.2081342
206.6428,-0.2231177,0.86,0.1544996
211.9028,-0.1855143,0.86,0.1395972
217.7428,-0.2239523,0.86,0.1546384
221.7828,-0.1771005,0.86,0.1573902
225.8628,-0.1715852,0.86,0.1934417
249.7028,-0.2249602,0.86,0.1714215
256.4428,-0.1866515,0.86,0.18737
259.1228,-0.2068595,0.86,0.1525031
262.9028,-0.1555203,0.86,0.1918027
266.1628,-0.2076279,0.86,0.166961
275.1428,-0.2200162,0.86,0.2054015
277.9628,-0.2244697,0.86,0.1558418
283.2628,-0.1805941,0.86,0.1884712
287.7228,-0.1980937,0.86,0.1440779
290.6028,-0.1593742,0.86,0.1555209
293.1628,-0.224054,0.86,0.1809711
298.0228,-0.160178,0.86,0.1819269
303.8428,-0.1804641,0.86,0.1465304
308.8828,-0.2101678,0.86,0.184469
312.4828,-0.1636977,0.86,0.1857382
