Time, X, Y, Z
0.002807617,-0.1704798,0.8982968,-0.1211518
0.006347656,-0.1704985,0.8982942,-0.1211355
0.01727295,-0.1704538,0.8982571,-0.1210361
0.02282715,-0.1704466,0.898239,-0.1210157
0.02856445,-0.1704413,0.898222,-0.1209904
0.03973389,-0.1705637,0.8982595,-0.1208869
0.04278564,-0.170572,0.8982612,-0.1208906
0.05059814,-0.1705661,0.8982341,-0.1209069
0.06170654,-0.1706097,0.8981999,-0.1209566
0.06280518,-0.1706126,0.8981948,-0.1209572
0.07293701,-0.1705383,0.8980659,-0.1209303
0.08282471,-0.1705615,0.8980038,-0.1209472
0.08422852,-0.1705648,0.8979941,-0.1209508
0.09765625,-0.1705544,0.8979621,-0.1209936
0.1028442,-0.1705723,0.8979567,-0.1209943
0.1062622,-0.1705782,0.8979458,-0.1209971
0.1171875,-0.1705369,0.8979096,-0.1210762
0.1228027,-0.1705479,0.8978913,-0.1210951
0.128418,-0.1705655,0.8978727,-0.1211106
0.1394653,-0.1705271,0.8977546,-0.1211716
0.1428223,-0.1705203,0.8977075,-0.1211874
0.1506348,-0.170513,0.8975825,-0.1212125
0.1617432,-0.1704627,0.8974377,-0.1212796
0.1628418,-0.1704646,0.8974231,-0.1212857
0.1728516,-0.1705334,0.8972672,-0.1213619
0.1828003,-0.1706292,0.897221,-0.1213335
0.1838379,-0.1706401,0.8972155,-0.1213324
0.1949463,-0.1707834,0.8971711,-0.1213568
0.2028198,-0.1707823,0.8971292,-0.1213429
0.2061768,-0.1707758,0.897104,-0.1213361
0.2171631,-0.1707757,0.8970428,-0.1213398
0.2228394,-0.17079,0.8970579,-0.1213327
0.2284546,-0.1708038,0.8970848,-0.1213217
0.2394409,-0.1706936,0.8971766,-0.1212644
0.2427979,-0.1706549,0.8972039,-0.1212369
0.2524414,-0.170552,0.8972907,-0.1211312
0.2615967,-0.1704981,0.897316,-0.1210448
0.2628174,-0.1704875,0.8973185,-0.1210357
0.2727051,-0.1703603,0.8973762,-0.120961
0.2828369,-0.1702197,0.8975157,-0.1209046
0.2836914,-0.170208,0.8975275,-0.1208995
0.2949219,-0.1700455,0.8976384,-0.1207407
0.3027954,-0.1699495,0.8976834,-0.1207093
0.3060913,-0.1698956,0.897701,-0.1206991
0.3173218,-0.1697331,0.8976364,-0.120692
0.3228149,-0.1696776,0.8976586,-0.120695
0.3283081,-0.1696178,0.8976949,-0.1206976
0.3394775,-0.1695777,0.897724,-0.1206279
0.3428345,-0.1695667,0.8977159,-0.1206332
0.3503418,-0.1695419,0.8976827,-0.1206656
0.3615723,-0.1696159,0.8976165,-0.1206097
0.362793,-0.1696217,0.8976079,-0.1206064
0.3728638,-0.1696056,0.8975396,-0.1206526
0.3828125,-0.1695852,0.8975376,-0.120616
0.3837891,-0.1695805,0.8975372,-0.1206149
0.3953247,-0.1694702,0.8975533,-0.1206401
0.402832,-0.1694626,0.8975829,-0.1206312
0.4078369,-0.1694403,0.8976072,-0.1206259
0.4171143,-0.1693809,0.8976463,-0.1206072
0.4227905,-0.1693889,0.8976623,-0.1205617
0.4282837,-0.1694086,0.8976778,-0.1205025
0.4393311,-0.1693796,0.8976921,-0.1205374
0.4428101,-0.1693762,0.8976989,-0.1205466
0.4506226,-0.1693988,0.8977107,-0.1205887
0.461853,-0.1695061,0.8976867,-0.1206092
0.4628296,-0.1695165,0.8976834,-0.1206155
0.4729004,-0.1696458,0.8976464,-0.1207784
0.4827881,-0.1696602,0.8976543,-0.1208483
0.4840698,-0.1696627,0.8976542,-0.1208566
0.4952393,-0.1696496,0.897589,-0.1209163
0.5028076,-0.1696935,0.8975472,-0.1209544
0.5065308,-0.1697306,0.8975177,-0.1209778
0.5176392,-0.1698689,0.8974526,-0.1210594
0.5228271,-0.1699054,0.897439,-0.1210607
0.5286865,-0.1699491,0.8974252,-0.1210557
0.539856,-0.1700117,0.8974509,-0.1210346
0.5427856,-0.1700116,0.8974666,-0.1210267
0.5510254,-0.1699926,0.8975255,-0.1209983
0.5628052,-0.1699853,0.8976767,-0.1209302
0.5649414,-0.1699833,0.8977104,-0.1209126
0.572998,-0.1699366,0.8977763,-0.1208413
0.5828247,-0.1699002,0.8979207,-0.12077
0.583313,-0.1698948,0.8979428,-0.1207599
0.5942993,-0.1697893,0.898082,-0.1207094
0.6028442,-0.1697062,0.8981599,-0.1206903
0.6054077,-0.1696735,0.8981867,-0.1206795
0.6165161,-0.1695345,0.8981397,-0.1207667
0.6228027,-0.169493,0.8980854,-0.1207985
0.6278687,-0.1694682,0.8980283,-0.1208283
0.638916,-0.1694271,0.8979883,-0.1209131
0.6428223,-0.1694118,0.8979831,-0.1209137
0.6500244,-0.1693895,0.8979921,-0.1209049
