Time, X, Y, Z
0.002807617,0.125009,0.9071747,-0.06897934
0.006347656,0.1249079,0.9070288,-0.06897944
0.01727295,0.1246376,0.9067717,-0.06907071
0.02282715,0.1244347,0.9066027,-0.06908372
0.02856445,0.1241888,0.9064047,-0.06909819
0.03973389,0.1236611,0.9063016,-0.06913608
0.04278564,0.123561,0.9062433,-0.06917855
0.05059814,0.1232703,0.9060634,-0.06932215
0.06170654,0.1230372,0.9058443,-0.06939049
0.06280518,0.1229999,0.9058328,-0.06940392
0.07293701,0.1227644,0.905623,-0.06954241
0.08282471,0.1224332,0.9054818,-0.06969947
0.08422852,0.122383,0.9054593,-0.0697246
0.09765625,0.1220098,0.9052014,-0.06991866
0.1028442,0.1217848,0.9050747,-0.07005498
0.1062622,0.1216114,0.9049696,-0.07015495
0.1171875,0.1212714,0.9048145,-0.07041569
0.1228027,0.1210776,0.9046966,-0.07062803
0.128418,0.120838,0.9045643,-0.07085681
0.1394653,0.1205164,0.9043289,-0.07130635
0.1428223,0.1204383,0.9042978,-0.0714134
0.1506348,0.1202211,0.9042294,-0.07167284
0.1617432,0.1200704,0.9042345,-0.07210499
0.1628418,0.1200551,0.9042306,-0.07213171
0.1728516,0.1198423,0.9041187,-0.07242768
0.1828003,0.1195916,0.9040517,-0.07254049
0.1838379,0.1195655,0.9040444,-0.07255395
0.1949463,0.1192302,0.9039536,-0.07269832
0.2028198,0.1189886,0.9039189,-0.07285763
0.2061768,0.1188575,0.9039005,-0.07295057
0.2171631,0.1184148,0.903751,-0.07324855
0.2228394,0.1181062,0.9037695,-0.07340772
0.2284546,0.1177363,0.9038022,-0.07359612
0.2394409,0.1172039,0.9038361,-0.07386483
0.2427979,0.1170408,0.9038692,-0.07396235
0.2524414,0.1165023,0.9039888,-0.07426253
0.2615967,0.1160989,0.9038604,-0.07446793
0.2628174,0.1160438,0.9038547,-0.07449286
0.2727051,0.1155845,0.9038588,-0.07472648
0.2828369,0.1151535,0.9037497,-0.07496467
0.2836914,0.1151164,0.9037417,-0.07498503
0.2949219,0.114796,0.9033826,-0.07520407
0.3027954,0.1144676,0.9029768,-0.07545339
0.3060913,0.1142797,0.902738,-0.075601
0.3173218,0.1138913,0.9019479,-0.07617876
0.3228149,0.1137095,0.9016868,-0.07650204
0.3283081,0.1134968,0.9014031,-0.07688801
0.3394775,0.1130402,0.9009964,-0.07752858
0.3428345,0.112825,0.9008403,-0.07777719
0.3503418,0.1122168,0.9004222,-0.07844761
0.3615723,0.1114657,0.9000807,-0.07892871
0.362793,0.1113744,0.9000336,-0.07898012
0.3728638,0.1105798,0.8995417,-0.07941011
0.3828125,0.1100141,0.8992348,-0.07980159
0.3837891,0.1099566,0.899202,-0.07984275
0.3953247,0.1095268,0.8990405,-0.08005291
0.402832,0.109219,0.8989015,-0.08021846
0.4078369,0.1089919,0.8987849,-0.08036183
0.4171143,0.1085965,0.8984937,-0.08066639
0.4227905,0.1082743,0.8982946,-0.08088183
0.4282837,0.1078894,0.89806,-0.08113575
0.4393311,0.107261,0.8976482,-0.08156785
0.4428101,0.1070799,0.8975154,-0.08167073
0.4506226,0.1066444,0.8971674,-0.08191149
0.461853,0.1061709,0.8969281,-0.08203506
0.4628296,0.1061243,0.8969014,-0.08205096
0.4729004,0.1055931,0.8963677,-0.0825409
0.4827881,0.1053242,0.8959697,-0.08294511
0.4840698,0.1052877,0.8959141,-0.08299908
0.4952393,0.105115,0.8954319,-0.08330096
0.5028076,0.1049603,0.8951595,-0.08345683
0.5065308,0.1048565,0.8949933,-0.08354922
0.5176392,0.1046084,0.8945805,-0.08374217
0.5228271,0.1044947,0.8944179,-0.0838412
0.5286865,0.1043441,0.8942083,-0.08397475
0.539856,0.1039496,0.8941123,-0.08414173
0.5427856,0.103863,0.8940837,-0.08421791
0.5510254,0.1036154,0.8939931,-0.08448705
0.5628052,0.1030192,0.8935922,-0.08493347
0.5649414,0.1029159,0.8935334,-0.08501136
0.572998,0.1026348,0.8932452,-0.08544052
0.5828247,0.1024102,0.8927738,-0.08576174
0.583313,0.102382,0.8927014,-0.08580413
0.5942993,0.1022409,0.892162,-0.08616538
0.6028442,0.1021493,0.8917859,-0.08656719
0.6054077,0.1021155,0.8916382,-0.08674778
0.6165161,0.1021826,0.8911393,-0.08725181
0.6228027,0.1021699,0.8907554,-0.08745506
0.6278687,0.1021325,0.8903475,-0.0876009
0.638916,0.1018955,0.8897951,-0.08789188
0.6428223,0.1017983,0.8896363,-0.08796158
0.6500244,0.1015851,0.8894038,-0.08805169
0.661499,0.1011653,0.8891079,-0.08811854
0.6628418,0.1011088,0.8890682,-0.08812711
0.6721191,0.1006463,0.8889262,-0.0880889
0.6828003,0.1001988,0.8888059,-0.08821829
0.6830444,0.1001858,0.8888029,-0.08822228
0.6942749,0.09978476,0.8888726,-0.08814062
0.7028198,0.09954129,0.8889127,-0.0880771
0.7055054,0.09944302,0.8889328,-0.08804737
0.7191162,0.09909104,0.8891915,-0.08787291
