Time, X, Y, Z
0,-0.1180447,0.9065872,0.02955754
0,-0.164072,0.9296497,0.1624411
0,-0.207988,0.899681,0.1516621
0,-0.2041505,0.9191824,0.1750707
0,-0.09489486,0.9431331,0.04277826
0,-0.2274897,0.9093578,0.1453998
0,-0.1394544,0.9102247,0.09464204
0,-0.1830293,0.9139913,0.1936878
0,-0.2184963,0.9104385,0.1284059
0,-0.1867935,0.9041378,0.163163
0,-0.2140825,0.9010614,0.1981496
0,-0.2183541,0.912733,0.1498743
0,-0.2506164,0.9164199,0.2130323
0,0.1757039,0.8866156,0.1460844
0,-0.1617897,0.9199118,0.1417552
0,-0.2172332,0.8814018,0.1552595
0,-0.1964746,0.9042023,0.2051124
0,-0.1857658,0.9402636,0.1175675
0,-0.2223204,0.8949161,0.2127709
0,-0.2568286,0.8992742,0.1358825
0,0.2194182,0.8930922,0.1863641
0,0.226177,0.8936114,0.2064687
0,0.1950308,0.913815,0.1343116
0,0.2393848,0.8994092,0.2215651
0,0.1849804,0.9162991,0.1780855
0,0.215808,0.8937771,0.1388808
0,0.2188945,0.9264587,0.1711226
0,0.2082557,0.9086019,0.1967518
0,-0.1705637,0.8852011,0.1744836
0,-0.1449368,0.8950669,0.1534092
0,-0.1864523,0.9011157,0.2104614
0,-0.2247677,0.9080892,0.1817051
0,-0.2132414,0.9089413,0.1887684
0,-0.2347451,0.9075654,0.2337708
0,-0.1833484,0.912818,0.1781786
0,-0.2303593,0.9081557,0.2083385
0,-0.2033872,0.9157961,0.1833929
0,-0.2462877,0.9045033,0.2178362
0,-0.2224341,0.9120095,0.1732328
0,-0.2026509,0.9031941,0.1518491
0,-0.2003381,0.8980556,0.2165119
0,-0.21242,0.9106715,0.2012345
0,-0.2137771,0.9128771,0.1893099
0,-0.2158432,0.916617,0.156182
12.86618,-0.1778744,0.9020179,0.1931484
15.02621,-0.2211674,0.9068319,0.1515143
17.10617,-0.2347256,0.9112127,0.1895925
19.06619,-0.1711501,0.9122953,0.1500703
21.24619,-0.240433,0.9003649,0.1425502
22.90622,-0.1688485,0.9061294,0.1789231
24.70621,-0.1954037,0.8984993,0.1491308
26.48618,-0.2622677,0.9011285,0.1500772
28.28622,-0.1726094,0.9232028,0.2027616
30.7662,-0.2122724,0.8908008,0.1535676
32.56619,-0.2183725,0.9176867,0.1720739
35.72623,-0.2008359,0.9057984,0.1459002
37.58621,-0.2407492,0.9013349,0.1506164
39.24619,-0.2094024,0.9095516,0.1725073
41.48618,-0.2289879,0.8972067,0.1737771
63.56619,-0.1992902,0.9093086,0.1608945
65.3262,-0.2415248,0.8998716,0.1430944
67.22623,-0.1812291,0.8926806,0.1675546
69.14621,-0.2348425,0.8932261,0.1507128
71.30618,-0.1915203,0.8966802,0.1850287
73.46622,-0.1918811,0.9024796,0.1567777
75.2662,-0.2466285,0.8946754,0.1523002
77.22623,-0.1791465,0.9007765,0.1747279
78.98618,-0.2175897,0.8973172,0.179948
80.80618,-0.2091058,0.8920593,0.1495888
83.14621,-0.247481,0.9026467,0.203256
85.24619,-0.2023071,0.8703849,0.1726805
87.10617,-0.2193506,0.8965096,0.2013544
89.04617,-0.1929054,0.8874819,0.2080828
91.4462,-0.2522525,0.8908622,0.1955849
113.2262,-0.2042078,0.8974138,0.2000091
114.6462,-0.2420195,0.907456,0.150323
117.6862,-0.2282951,0.8909563,0.2002505
120.2262,-0.266708,0.8858481,0.1730179
122.6462,-0.1749535,0.8892652,0.1556838
124.6662,-0.2352527,0.8961128,0.1718839
126.6262,-0.2052764,0.900304,0.1628643
128.5862,-0.2122667,0.8960273,0.2008885
132.1262,-0.2601128,0.9053395,0.1488301
133.9262,-0.2047362,0.9073685,0.1419398
136.0062,-0.1655847,0.8952298,0.1331811
137.9262,-0.2253852,0.9045557,0.1607978
140.0062,-0.1675076,0.8928708,0.1713154
142.1262,-0.2150809,0.9087442,0.1666231
144.1662,-0.1692852,0.9056897,0.1670766
166.4462,-0.233484,0.8978304,0.162976
168.2262,-0.185239,0.9067956,0.1437515
170.2862,-0.1899119,0.8996073,0.1722219
172.4062,-0.223396,0.8837838,0.1451311
174.3262,-0.1651975,0.895035,0.1557092
176.4062,-0.2218385,0.8889301,0.1632182
178.5262,-0.24325,0.8867133,0.1551727
180.6062,-0.1993559,0.8866652,0.1526194
182.9262,-0.2014754,0.8909827,0.187122
184.8662,-0.1850276,0.8959717,0.13778
186.8462,-0.2229149,0.9046341,0.1425364
189.0062,-0.2346857,0.9062134,0.1437095
191.1662,-0.2237349,0.9074657,0.1857591
193.4662,-0.1880727,0.907142,0.1560812
195.3662,-0.2140134,0.8988569,0.152016
