Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.1965743,0.86,0.208772
0,-0.1884228,0.86,0.1571898
0,-0.1963438,0.86,0.1997156
0,-0.1528929,0.86,0.1942024
0,-0.2220239,0.86,0.1506526
0,-0.222229,0.86,0.1905778
0,-0.1832977,0.86,0.2093211
0,-0.1987133,0.86,0.1350786
0,-0.1557011,0.86,0.1699593
0,-0.1843115,0.86,0.1964977
0,-0.1944501,0.86,0.1505606
0,-0.1997151,0.86,0.2050045
0,-0.1886735,0.86,0.2044368
0,-0.1721174,0.86,0.1367412
0,-0.2130871,0.86,0.1959375
0,-0.1944322,0.86,0.1499318
0,-0.1930747,0.86,0.1864718
0,-0.2208059,0.86,0.1431816
0,-0.15,0.86,0.2
0,-0.1514902,0.86,0.147278
0,-0.19427,0.86,0.1909386
0,-0.222683,0.86,0.1526486
0,-0.1883603,0.86,0.17183
0,-0.2144204,0.86,0.1985758
0,-0.1683608,0.86,0.1498594
0,-0.2066393,0.86,0.2092479
0,-0.1693193,0.86,0.1596176
0,-0.1954992,0.86,0.191313
0,-0.1561671,0.86,0.1776385
0,-0.1955334,0.86,0.1430489
0,-0.1738098,0.86,0.2067037
0,-0.2097959,0.86,0.2004803
0,-0.2233465,0.86,0.1449166
0,-0.1743156,0.86,0.1837582
12.86618,-0.15,0.86,0.2
15.02621,-0.1879941,0.86,0.1463292
17.10617,-0.2219478,0.86,0.2066964
19.06619,-0.1589217,0.86,0.1463434
21.24619,-0.2166113,0.86,0.1492399
22.90622,-0.1582825,0.86,0.1968743
24.70621,-0.1731608,0.86,0.1549444
26.48618,-0.2249459,0.86,0.1570808
28.28622,-0.1609907,0.86,0.1940462
30.7662,-0.1857027,0.86,0.1355487
32.56619,-0.216741,0.86,0.1903319
35.72623,-0.1684742,0.86,0.2095481
37.58621,-0.2209279,0.86,0.1462944
39.24619,-0.1862218,0.86,0.1613915
41.48618,-0.2201673,0.86,0.1965107
63.56619,-0.1827377,0.86,0.1694921
65.3262,-0.2171898,0.86,0.1371189
67.22623,-0.1673242,0.86,0.1705856
69.14621,-0.2162959,0.86,0.1744662
71.30618,-0.1685267,0.86,0.1922561
73.46622,-0.1572841,0.86,0.1538914
75.2662,-0.2238391,0.86,0.1499965
77.22623,-0.1528192,0.86,0.1699065
78.98618,-0.1980595,0.86,0.1943795
80.80618,-0.1960611,0.86,0.1544582
83.14621,-0.2195424,0.86,0.1971834
85.24619,-0.1742153,0.86,0.1385641
87.10617,-0.212943,0.86,0.2049494
89.04617,-0.1656874,0.86,0.2083551
91.4462,-0.2078023,0.86,0.1928625
113.2262,-0.1640041,0.86,0.201155
114.6462,-0.2190952,0.86,0.1642213
117.6862,-0.1742613,0.86,0.1913399
120.2262,-0.2209018,0.86,0.1762743
122.6462,-0.178021,0.86,0.1356527
124.6662,-0.2114107,0.86,0.1940134
126.6262,-0.1680991,0.86,0.1626945
128.5862,-0.1918764,0.86,0.2035861
132.1262,-0.2166732,0.86,0.1404072
133.9262,-0.1973273,0.86,0.1813473
136.0062,-0.1554629,0.86,0.1424748
137.9262,-0.2116778,0.86,0.1794958
140.0062,-0.1593649,0.86,0.189235
142.1262,-0.1989768,0.86,0.1753552
144.1662,-0.151385,0.86,0.1891421
166.4462,-0.2162919,0.86,0.1602995
168.2262,-0.1584899,0.86,0.1442607
170.2862,-0.1690428,0.86,0.1797777
172.4062,-0.1931916,0.86,0.1370309
174.3262,-0.1520553,0.86,0.1819584
176.4062,-0.1959993,0.86,0.1764664
178.5262,-0.2159616,0.86,0.145623
180.6062,-0.1616706,0.86,0.1483873
182.9262,-0.1609866,0.86,0.1921939
184.8662,-0.1599759,0.86,0.1405998
186.8462,-0.1966822,0.86,0.1836473
189.0062,-0.2029996,0.86,0.1472588
191.1662,-0.1871012,0.86,0.2090639
193.4662,-0.1647969,0.86,0.1628788
195.3662,-0.200624,0.86,0.1885321
