Time, X, Y, Z
0.006195068,-0.127817,0.8820698,0.09065689
0.01025391,-0.1278604,0.8819661,0.09065479
0.01870728,-0.1279463,0.8817699,0.09065488
0.0262146,-0.1280029,0.8815926,0.0906577
0.02890015,-0.1280441,0.8815092,0.09066367
0.0401001,-0.1282749,0.8813512,0.09055066
0.04620361,-0.1282783,0.8813428,0.09061792
0.05096436,-0.1283177,0.8813077,0.09065318
0.06210327,-0.1283578,0.8813251,0.09055769
0.06619263,-0.1283192,0.8814629,0.09054978
0.07324219,-0.1283015,0.8816283,0.09053096
0.08435059,-0.1284279,0.8814877,0.09051384
0.08621216,-0.1283247,0.8815042,0.09052396
0.0954895,-0.1281714,0.8815331,0.09059227
0.1061707,-0.1279371,0.881676,0.09057213
0.1065369,-0.1279321,0.8816774,0.09056988
0.1177063,-0.1278356,0.8817686,0.09060943
0.1261902,-0.1275676,0.8820705,0.09058836
0.1286926,-0.1274796,0.8821738,0.0905847
0.1399841,-0.1274944,0.8822559,0.09051865
0.1462097,-0.1273963,0.8822995,0.09059927
0.1510315,-0.127324,0.8823454,0.09063643
0.1654358,-0.1273948,0.8824226,0.09067951
0.1662292,-0.1273977,0.8824235,0.09067622
0.1731873,-0.1274225,0.8824341,0.09064639
0.1835632,-0.1275201,0.8823543,0.09053481
0.1861877,-0.1275315,0.8823684,0.09044038
0.1948547,-0.1276233,0.8823636,0.0901594
0.2058411,-0.1276775,0.8824838,0.08992258
0.2062073,-0.1277071,0.8824891,0.0898971
0.2169495,-0.1279648,0.8826473,0.08965908
0.2262268,-0.1279257,0.8826191,0.08941695
0.2279968,-0.1279356,0.8826217,0.0893738
0.2392273,-0.1280296,0.882572,0.08927207
0.2461853,-0.1278979,0.8825487,0.08924171
0.2502136,-0.1278366,0.8825363,0.08921386
0.261261,-0.1279152,0.882463,0.08932298
0.2662048,-0.1278256,0.882513,0.08930315
0.2723694,-0.1277166,0.8825541,0.08929129
0.2835388,-0.1276052,0.8826318,0.08909902
0.2862244,-0.1275964,0.8826615,0.08905013
0.2946472,-0.1275319,0.8827492,0.08892775
0.3056946,-0.1274476,0.882645,0.08877912
0.3061829,-0.1274548,0.8826632,0.08877495
0.3182678,-0.1275031,0.8826842,0.08861688
0.3262024,-0.1274713,0.8826333,0.08844742
0.3277893,-0.1274694,0.8826301,0.08842145
0.3390198,-0.1272938,0.88274,0.0882667
0.3462219,-0.1270908,0.8828782,0.08825301
0.3503723,-0.1269473,0.8829522,0.0882313
0.3612976,-0.1271046,0.8829727,0.08829349
0.3661804,-0.1272689,0.8828608,0.08853221
0.372406,-0.1274364,0.8827131,0.08878085
0.3835754,-0.1278483,0.8826783,0.08915651
0.3862,-0.12791,0.8826582,0.08919549
0.3946838,-0.1282045,0.8825806,0.08939025
0.4057922,-0.1283905,0.8823742,0.0898696
0.4062195,-0.1284049,0.8823698,0.08994424
0.4169006,-0.1287079,0.8822948,0.09088653
0.426178,-0.1291606,0.8824669,0.0922133
0.427887,-0.129232,0.8825037,0.09244531
0.4390564,-0.1298433,0.8831548,0.09396616
0.4461975,-0.1299107,0.8839951,0.09507886
0.4501648,-0.1299722,0.8845438,0.0958488
0.4614563,-0.1300024,0.8858116,0.09721816
0.466217,-0.1300824,0.8863434,0.09755769
0.4740906,-0.1301848,0.8873364,0.09836622
0.4833069,-0.1293469,0.888315,0.09780221
0.4861755,-0.1289874,0.8888066,0.09741096
0.4945374,-0.1280138,0.8902243,0.09639685
0.5057678,-0.1266157,0.8923867,0.09458697
0.5061951,-0.126496,0.8924872,0.09463207
0.5167542,-0.1245823,0.8945839,0.09323905
0.5262146,-0.1231152,0.8960406,0.09307291
0.5279236,-0.1228455,0.896327,0.09298764
0.5392761,-0.1213689,0.8979474,0.09136742
0.5461731,-0.1196266,0.9001452,0.08947213
0.5505066,-0.1183237,0.901757,0.08807123
0.561676,-0.1154331,0.9060097,0.08358213
0.5661926,-0.1136899,0.9081096,0.08032939
0.5732117,-0.110815,0.9116968,0.07519908
0.584198,-0.1085035,0.9137893,0.0684258
0.5862122,-0.1076831,0.9148504,0.06655756
0.5954895,-0.10421,0.9190943,0.05826515
0.6061707,-0.101629,0.9219435,0.04817703
0.6070251,-0.1014086,0.9222006,0.04739583
0.6178894,-0.09884238,0.9278427,0.04016559
0.6261902,-0.09750777,0.9307387,0.03635515
0.6304626,-0.09654917,0.9327165,0.03365447
0.6402893,-0.09524789,0.9367487,0.02953419
0.6462097,-0.0942187,0.9392589,0.02646552
0.6517639,-0.09308685,0.9420429,0.02311817
0.6626282,-0.09019773,0.9468604,0.01883043
0.6662292,-0.08972017,0.9487636,0.01650284
0.6739197,-0.08811495,0.9530426,0.01139192
0.684967,-0.08583193,0.9577948,0.005130902
0.6861877,-0.0854918,0.9582238,0.005070448
0.6959534,-0.0829333,0.9628569,0.0006366223
0.7062073,-0.08165829,0.9651138,-0.003676906
0.7071228,-0.08153023,0.9653392,-0.004038349
0.7182922,-0.08050066,0.9681208,-0.008779928
0.7262268,-0.07873451,0.9701433,-0.01156747
0.7293396,-0.07791086,0.9711943,-0.01310004
0.740448,-0.07514986,0.9729787,-0.0176941
0.7461853,-0.07436897,0.9734608,-0.02036297
0.7514954,-0.07337199,0.9741099,-0.02324603
0.7626648,-0.07102158,0.9748896,-0.02894306
0.7662048,-0.07025485,0.9752409,-0.0306609
0.7740784,-0.06838882,0.9760356,-0.03511846
0.7862244,-0.06656425,0.9758585,-0.04069966
0.7961731,-0.06509428,0.9754532,-0.04479429
0.8061829,-0.06303024,0.9754803,-0.04922515
0.813446,-0.06146288,0.9756182,-0.05199717
0.8260803,-0.05879294,0.9750692,-0.05639002
0.8262024,-0.05876464,0.9750614,-0.05643576
0.8370056,-0.05607737,0.9736422,-0.06043297
0.8462219,-0.05396253,0.972379,-0.06361935
0.8483582,-0.05341393,0.9718379,-0.06463253
0.8594055,-0.0517911,0.9693961,-0.06834163
0.8661804,-0.05108812,0.9676248,-0.07018755
0.8704529,-0.05067629,0.9660774,-0.0715235
0.8815613,-0.0494578,0.9636043,-0.07390667
0.8862,-0.04887702,0.9625226,-0.07502252
0.8925476,-0.04803324,0.9608459,-0.07683623
0.903717,-0.04621625,0.9584043,-0.07887724
0.9062195,-0.04573099,0.9577775,-0.07939053
0.9147644,-0.04453092,0.9547006,-0.08136342
0.9259338,-0.04358812,0.9519246,-0.08366504
0.926178,-0.04356636,0.9518591,-0.08372176
0.938446,-0.04229783,0.9480176,-0.08602939
0.9461975,-0.0416219,0.9457507,-0.08690824
0.9481506,-0.04146527,0.945232,-0.08711353
0.959198,-0.04095093,0.9426306,-0.08850902
0.966217,-0.04062594,0.9409708,-0.08936568
0.9704285,-0.0403632,0.9397036,-0.08998737
0.9815369,-0.03962966,0.9378444,-0.09138537
0.9861755,-0.03939302,0.936949,-0.09198347
