Time, X, Y, Z
11.86212,-0.2111033,0.8963588,0.1476722
13.50214,-0.1770581,0.9077429,0.1652654
15.02216,-0.2148576,0.8854128,0.1679863
16.54211,-0.1938506,0.8965166,0.1590059
18.10211,-0.2336149,0.8946567,0.146798
19.70215,-0.09830433,0.935497,0.0644391
21.52216,-0.2261018,0.8991029,0.144179
23.10211,-0.2299425,0.8948835,0.1755591
24.60211,-0.1555087,0.8979929,0.1557079
25.68213,-0.05274971,0.9099141,0.05727794
27.22217,-0.18584,0.8892084,0.1888342
28.76215,-0.2379506,0.891122,0.1894526
30.32214,-0.21661,0.8902021,0.2130573
31.78217,-0.1634536,0.8960077,0.163127
33.40216,-0.242596,0.879649,0.1512535
55.18219,-0.2030799,0.8828186,0.2051337
56.50214,-0.2206364,0.9014982,0.1729042
57.90216,-0.1782468,0.9076629,0.154952
59.42218,-0.1999349,0.8949355,0.1960061
60.82208,-0.1779667,0.8952311,0.1661204
62.86212,-0.1565949,0.9335595,0.08343328
64.68219,-0.2066451,0.8850003,0.218875
66.04218,-0.2144086,0.8965856,0.1372036
67.50214,-0.1628379,0.8858402,0.1930622
68.92218,-0.1845073,0.8830737,0.1513716
70.30219,-0.2014852,0.8934251,0.1948054
71.76215,-0.25168,0.8931718,0.1607891
73.22211,-0.2226979,0.8800003,0.1841228
74.64215,-0.2434384,0.8917439,0.1421949
76.08209,-0.2094637,0.8984838,0.194104
98.08209,-0.233677,0.8765058,0.1926001
99.4621,-0.1852928,0.8825244,0.1591269
100.9222,-0.2069195,0.8856083,0.1850334
102.4821,-0.2009678,0.8788128,0.240647
104.0821,-0.2371361,0.8865631,0.1822182
105.5222,-0.1913383,0.8872035,0.157223
107.0821,-0.2404096,0.879844,0.2022298
108.7822,-0.2195765,0.8819747,0.2018031
110.3621,-0.2446473,0.8891878,0.1910298
111.8421,-0.2568778,0.8760298,0.1641519
113.4222,-0.1785913,0.8813967,0.2165944
114.9421,-0.2748778,0.8704101,0.1893327
116.2822,-0.1961563,0.8912218,0.1526413
117.7221,-0.1801695,0.8833433,0.1880059
119.1622,-0.2533468,0.8896787,0.1781099
141.3022,-0.1632205,0.8805636,0.1792607
142.5821,-0.1974005,0.8800014,0.1828707
144.8022,-0.23559,0.9052323,0.1448955
146.4222,-0.207357,0.8638569,0.2162256
147.7822,-0.1759634,0.8582535,0.1345217
149.2021,-0.2358644,0.890761,0.2112154
150.6422,-0.2410585,0.8827781,0.1837426
151.9621,-0.1686482,0.89539,0.1452237
153.3621,-0.2050511,0.8946435,0.1889546
155.4821,-0.225039,0.8977797,0.1349832
156.8821,-0.1736148,0.8990956,0.1987983
158.4821,-0.2798416,0.8790944,0.2055552
159.9222,-0.1935646,0.8767713,0.1979652
162.2221,-0.1992601,0.8917619,0.1909425
163.8621,-0.2545738,0.8789687,0.1552536
