Time, X, Y, Z
11.86212,-0.2094779,0.86,0.1583902
13.50214,-0.168325,0.86,0.1785062
15.02216,-0.2053409,0.86,0.1715474
16.54211,-0.1763965,0.86,0.1441574
18.10211,-0.2137399,0.86,0.1512608
19.70215,-0.1737944,0.86,0.167759
21.52216,-0.1967486,0.86,0.1356978
23.10211,-0.2168023,0.86,0.1740852
24.60211,-0.1606945,0.86,0.1628239
25.68213,-0.1744716,0.86,0.2047365
27.22217,-0.1659435,0.86,0.164666
28.76215,-0.2062327,0.86,0.1692288
30.32214,-0.1875345,0.86,0.20452
31.78217,-0.1502815,0.86,0.1606317
33.40216,-0.2060316,0.86,0.1506153
55.18219,-0.1507379,0.86,0.193736
56.50214,-0.2054652,0.86,0.182309
57.90216,-0.1635754,0.86,0.1635014
59.42218,-0.1690448,0.86,0.2004318
60.82208,-0.1550204,0.86,0.1556332
62.86212,-0.2192744,0.86,0.1511662
64.68219,-0.1696918,0.86,0.1987175
66.04218,-0.2027741,0.86,0.1389444
67.50214,-0.1504641,0.86,0.188806
68.92218,-0.1546604,0.86,0.1500816
70.30219,-0.1863187,0.86,0.1868946
71.76215,-0.2236792,0.86,0.1494621
73.22211,-0.1827251,0.86,0.1778073
74.64215,-0.2097024,0.86,0.1423248
76.08209,-0.1886225,0.86,0.1820252
98.08209,-0.2246859,0.86,0.186463
99.4621,-0.1703147,0.86,0.141714
100.9222,-0.1876751,0.86,0.1819066
102.4821,-0.1624811,0.86,0.2090027
104.0821,-0.1968103,0.86,0.1738639
105.5222,-0.1614831,0.86,0.1380638
107.0821,-0.2210195,0.86,0.2058342
108.7822,-0.1601135,0.86,0.1826168
110.3621,-0.2132839,0.86,0.1826964
111.8421,-0.2140679,0.86,0.1395829
113.4222,-0.163887,0.86,0.1860057
114.9421,-0.2208028,0.86,0.180912
116.2822,-0.176363,0.86,0.1473923
117.7221,-0.1576713,0.86,0.1778772
119.1622,-0.2084574,0.86,0.1639953
141.3022,-0.1580787,0.86,0.147164
142.5821,-0.2032179,0.86,0.1779478
144.8022,-0.2245966,0.86,0.1466355
146.4222,-0.1853927,0.86,0.2062367
147.7822,-0.1805299,0.86,0.1469383
149.2021,-0.2002131,0.86,0.2073345
150.6422,-0.1937286,0.86,0.1595403
151.9621,-0.1554499,0.86,0.1435944
153.3621,-0.1955271,0.86,0.1958586
155.4821,-0.2114155,0.86,0.1391366
156.8821,-0.1574463,0.86,0.1890763
158.4821,-0.2217432,0.86,0.1883217
159.9222,-0.1817072,0.86,0.187164
162.2221,-0.185849,0.86,0.1426553
163.8621,-0.2247782,0.86,0.1474712
