Time, X, Y, Z
0.00213623,-0.1075067,0.8721196,0.08673109
0.006225586,-0.1075166,0.8721704,0.08677259
0.01733398,-0.1076231,0.8723388,0.08678469
0.02215576,-0.1076479,0.8723555,0.08681341
0.02844238,-0.1076896,0.8723383,0.08688319
0.03948975,-0.1078502,0.8722842,0.08696282
0.04211426,-0.1078779,0.8722608,0.08698298
0.05072021,-0.1079527,0.8721148,0.08706944
0.06170654,-0.1081597,0.8719485,0.08722217
0.06213379,-0.1081688,0.8719412,0.08722913
0.07275391,-0.1082804,0.871727,0.08736207
0.08215332,-0.108267,0.8716172,0.08748944
0.08398438,-0.108259,0.871599,0.0875116
0.09490967,-0.1081817,0.8715523,0.08756666
0.1021118,-0.1081098,0.8714555,0.08760715
0.1060181,-0.1080814,0.8713595,0.0876414
0.1171875,-0.1080176,0.871195,0.08774714
0.1221313,-0.1080026,0.8711475,0.08777562
0.1282959,-0.1080309,0.8709562,0.08777453
0.1421509,-0.1080082,0.8707523,0.08784552
0.1425171,-0.1080285,0.870867,0.0878056
0.1572876,-0.1081344,0.8704396,0.08786616
0.161377,-0.1081452,0.870311,0.08785184
0.1621094,-0.1081487,0.8702888,0.087851
0.1688232,-0.1082391,0.8700446,0.08792159
0.1799927,-0.1083614,0.8700342,0.08810204
0.1821289,-0.1083824,0.8700875,0.08812766
0.190979,-0.1085041,0.870138,0.0882735
0.2021484,-0.1085249,0.8702909,0.08853985
0.2022095,-0.1085251,0.8702912,0.08854026
0.2131958,-0.1085153,0.8704534,0.08866435
0.222168,-0.1084475,0.8704895,0.08865152
0.2243652,-0.1084276,0.8704981,0.08865717
0.2355957,-0.1083811,0.870453,0.088645
0.2421265,-0.1084086,0.8704361,0.08856457
0.2468262,-0.1084089,0.8704377,0.08852407
0.2576904,-0.1083836,0.8703581,0.08849663
0.262146,-0.1083158,0.8703111,0.08845893
0.2689209,-0.1082062,0.8702288,0.08840092
0.2797241,-0.1081445,0.8702402,0.08847032
0.2821655,-0.1081501,0.8702389,0.08847113
0.2910156,-0.1081075,0.8701499,0.08844632
0.302124,-0.1080739,0.8700167,0.08824766
0.3024292,-0.1080678,0.870011,0.08824106
0.31604,-0.108006,0.8701118,0.08800811
0.3221436,-0.108078,0.8700972,0.08775663
0.3242188,-0.1081175,0.8700803,0.0876191
0.3355103,-0.108486,0.8703262,0.08751304
0.3421631,-0.1089713,0.8700824,0.08750169
0.3468628,-0.1093163,0.8699366,0.08743149
0.357666,-0.1112714,0.8694731,0.08820824
0.3621216,-0.1125496,0.8703368,0.08831972
0.3688354,-0.1144329,0.8713297,0.08870316
0.3799438,-0.1171066,0.8729489,0.08874789
0.3821411,-0.1174809,0.8735271,0.08884829
0.3909912,-0.1196733,0.875718,0.0892712
0.4020996,-0.1217679,0.8775189,0.09011595
0.4021606,-0.1217397,0.8777791,0.08999884
0.4133911,-0.1242959,0.8812922,0.0902859
0.4221191,-0.1250203,0.8846118,0.09021029
0.4243774,-0.1252914,0.8853739,0.09021413
0.4354248,-0.124431,0.889683,0.08816664
0.4421387,-0.1251811,0.8921262,0.08887751
0.4465332,-0.1256243,0.894308,0.08910386
0.4575806,-0.1249102,0.8998367,0.0862221
0.4621582,-0.1241667,0.9024619,0.08461322
0.4711304,-0.1227309,0.9079489,0.08146957
0.4797363,-0.1214897,0.9120502,0.07901776
0.4821167,-0.1206591,0.9145824,0.07722484
0.4910889,-0.1180241,0.9225047,0.07172947
0.5021362,-0.1160618,0.9311693,0.06351736
0.5021362,-0.1160529,0.9312038,0.06348667
0.5133667,-0.1148181,0.9379924,0.05701549
0.5221558,-0.1132347,0.9453831,0.05098511
0.5245972,-0.1126294,0.9481161,0.04869591
0.5361938,-0.1101468,0.9536195,0.0387978
0.5421143,-0.1092864,0.9561839,0.03685597
0.5473022,-0.1082008,0.9591678,0.03369093
0.55896,-0.1060439,0.9647112,0.02860792
0.5621338,-0.1050374,0.966912,0.02671368
0.5701294,-0.102707,0.9723133,0.02182661
0.581543,-0.1019445,0.9768774,0.01832068
0.5821533,-0.1018425,0.9764594,0.01796852
0.5928345,-0.1002197,0.9799947,0.01286991
0.6021118,-0.09822613,0.9824921,0.008817613
0.604187,-0.09785174,0.9830607,0.007937163
0.6156006,-0.09549439,0.9856364,0.004208878
0.6221313,-0.09466567,0.9856948,-8.493662E-06
0.6290894,-0.09365349,0.9861577,-0.003853574
0.6380005,-0.09268228,0.9865803,-0.007611349
0.6421509,-0.0914126,0.9869716,-0.009328261
0.6497803,-0.08965357,0.9877137,-0.01321904
0.6611328,-0.08805812,0.9887647,-0.02103536
0.6621094,-0.08825134,0.9887258,-0.02240358
0.6724854,-0.08737305,0.9884486,-0.03157535
0.6821289,-0.08658142,0.9879293,-0.03910936
