Time, X, Y, Z
0.00213623,0.138644,0.8693593,0.09292029
0.006225586,0.1386978,0.8694046,0.09295568
0.01733398,0.1387515,0.8695644,0.09304151
0.02215576,0.1388205,0.8695595,0.09306143
0.02844238,0.1389505,0.8694811,0.09306782
0.03948975,0.139011,0.8695157,0.09321308
0.04211426,0.1390401,0.8695216,0.09323819
0.05072021,0.1390764,0.8695279,0.09336285
0.06170654,0.139003,0.8695036,0.09359147
0.06213379,0.1389999,0.8695025,0.09360123
0.07275391,0.138939,0.8695986,0.09374358
0.08215332,0.1389038,0.8697002,0.0938883
0.08398438,0.1388979,0.869719,0.09391424
0.09490967,0.1389002,0.8697656,0.09397797
0.1021118,0.1389789,0.8698124,0.0940499
0.1060181,0.1390479,0.8698459,0.09412391
0.1171875,0.139117,0.8699124,0.0942414
0.1221313,0.1391264,0.8699452,0.09426117
0.1282959,0.1391106,0.8698846,0.09413947
0.1421509,0.1391578,0.8697512,0.09401278
0.1425171,0.1391235,0.8698255,0.09408477
0.1572876,0.1387694,0.8697731,0.09422415
0.161377,0.138804,0.8697805,0.09413745
0.1621094,0.1387996,0.8697811,0.09413068
0.1688232,0.1386995,0.8697522,0.09413484
0.1799927,0.1386141,0.8695093,0.09395039
0.1821289,0.1386131,0.8695025,0.09388323
0.190979,0.1385383,0.8694115,0.09370723
0.2021484,0.138379,0.8694892,0.09346934
0.2022095,0.1383785,0.869489,0.09346813
0.2131958,0.1382888,0.8694593,0.09341851
0.222168,0.1383447,0.8694121,0.09330453
0.2243652,0.1383541,0.8693857,0.09326106
0.2355957,0.1382716,0.8691014,0.09303619
0.2421265,0.1382341,0.869053,0.09295499
0.2468262,0.1382067,0.8689961,0.09287304
0.2576904,0.1382183,0.8688986,0.092978
0.262146,0.1383348,0.8688119,0.09301129
0.2689209,0.1384883,0.868687,0.0930437
0.2797241,0.1385722,0.8686947,0.09309985
0.2821655,0.1386059,0.8686697,0.09316339
0.2910156,0.1387355,0.8685842,0.09328496
0.302124,0.1385649,0.86865,0.09361473
0.3024292,0.1385678,0.8686497,0.09361817
0.31604,0.1389112,0.8686038,0.09354246
0.3221436,0.1389839,0.8685158,0.0934689
0.3242188,0.1390186,0.8684644,0.09342659
0.3355103,0.138994,0.8681556,0.09326686
0.3421631,0.1390094,0.8680908,0.09317668
0.3468628,0.1390232,0.8679888,0.09307703
0.357666,0.1389895,0.8676527,0.09297688
0.3621216,0.1389621,0.8678298,0.09311068
0.3688354,0.1388974,0.8681386,0.09337518
0.3799438,0.1387164,0.8688184,0.09401426
0.3821411,0.138695,0.8690634,0.09417248
0.3909912,0.1385027,0.8701881,0.09500642
0.4020996,0.1383816,0.8712909,0.09591611
0.4021606,0.1383429,0.8712491,0.09583628
0.4133911,0.1378219,0.8723109,0.09654406
0.4221191,0.1376773,0.8726692,0.09695822
0.4243774,0.1376169,0.8727806,0.09707513
0.4354248,0.1374539,0.8729105,0.09741272
0.4421387,0.1375006,0.872961,0.09753065
0.4465332,0.1374936,0.8730105,0.09766121
0.4575806,0.1373439,0.8725474,0.09764908
0.4621582,0.1372203,0.8721803,0.09765346
0.4711304,0.1369497,0.8714064,0.09772372
0.4797363,0.136729,0.8706833,0.09777388
0.4821167,0.1367195,0.8704915,0.09792174
0.4910889,0.1365835,0.8694358,0.09818216
0.5021362,0.136378,0.8688483,0.0982556
0.5021362,0.1363773,0.8688452,0.09825587
0.5133667,0.1362866,0.8682708,0.09880872
0.5221558,0.136273,0.8676867,0.09895648
0.5245972,0.1362822,0.8674648,0.09902416
0.5361938,0.1362312,0.8669975,0.09928018
0.5421143,0.1363475,0.8668999,0.09939696
0.5473022,0.1364511,0.8667135,0.09950384
0.55896,0.1365765,0.8664228,0.09952459
0.5621338,0.1366622,0.8664217,0.09962571
0.5701294,0.1368647,0.8662525,0.09975569
0.581543,0.1371027,0.8661242,0.09966265
0.5821533,0.1370828,0.86619,0.09964506
0.5928345,0.1373045,0.8659539,0.09934226
0.6021118,0.1376027,0.865528,0.0990724
0.604187,0.1376394,0.8654271,0.09901977
0.6156006,0.1378926,0.8651024,0.09856389
0.6221313,0.1379496,0.864816,0.09804744
0.6290894,0.1378211,0.864557,0.09741433
0.6380005,0.1376629,0.8642546,0.0967662
0.6421509,0.1371451,0.864232,0.09635928
0.6497803,0.1364024,0.8640689,0.09560519
0.6611328,0.1359163,0.8645154,0.09491032
0.6621094,0.1357694,0.8644719,0.09491394
0.6724854,0.1347198,0.8639433,0.09421624
0.6821289,0.1342137,0.8637375,0.09392777
0.6837158,0.1341718,0.8638659,0.09409481
0.6951904,0.1338586,0.8640686,0.09412977
0.7021484,0.1337365,0.8643052,0.09410207
0.7062378,0.1336725,0.8645836,0.0939974
0.7174072,0.1336004,0.8648695,0.09357917
0.722168,0.133566,0.8647786,0.09323287
0.7285156,0.1336174,0.8646585,0.09259214
0.7396851,0.1337132,0.8642168,0.09159948
0.7421265,0.1334274,0.864042,0.09157434
0.7507324,0.1329109,0.8637629,0.09067714
0.7619019,0.1320744,0.8634449,0.08956417
0.762146,0.1320468,0.8634359,0.08953828
0.7730103,0.1308906,0.8634619,0.08873779
0.7821655,0.1301406,0.864013,0.08869471
0.786438,0.1297833,0.8645424,0.08883581
0.7950439,0.1291523,0.8656038,0.08914311
0.802124,0.1287532,0.865334,0.08936968
0.8060303,0.128521,0.8656294,0.08958289
0.8172607,0.1280997,0.8668702,0.09044823
0.8221436,0.1289775,0.8674072,0.09038264
0.8285522,0.1296746,0.8674054,0.09038678
0.8399048,0.1309538,0.8680883,0.09078513
0.8421631,0.1306731,0.8675942,0.09083501
0.8505249,0.1309216,0.8672715,0.09104155
0.8620605,0.1311953,0.8668903,0.09104392
0.8621216,0.1311965,0.8668884,0.09104344
0.8727417,0.131495,0.8665679,0.09109221
0.8821411,0.1317838,0.8663372,0.09126596
0.8839722,0.1319006,0.8664906,0.09151384
0.8949585,0.1322876,0.866654,0.09210388
0.9021606,0.1325442,0.866878,0.09248884
0.9060669,0.1325165,0.8669307,0.09268942
0.9173584,0.1323894,0.867068,0.09319133
0.9221191,0.13222,0.8670278,0.09321266
0.9285278,0.1320692,0.8671674,0.09334007
0.9421387,0.1316973,0.8674866,0.09352413
0.9421387,0.1316973,0.8674866,0.09352413
0.9505005,0.1311636,0.8678467,0.09362777
0.9612427,0.130743,0.8681964,0.09368645
0.9621582,0.1307711,0.8682489,0.09380488
0.972229,0.1303381,0.8687993,0.09419948
0.9821167,0.1298155,0.8690997,0.09457976
0.9835205,0.1297538,0.8691666,0.09464589
0.9944458,0.1298436,0.8694213,0.09521028
1.002136,0.1296873,0.8696653,0.09555666
1.005554,0.1295563,0.8698771,0.09584585
1.016785,0.1291025,0.8702627,0.09618191
1.022156,0.1291626,0.8704399,0.09651619
1.028076,0.1291235,0.8707582,0.09702328
1.039001,0.1289277,0.8710841,0.09754723
1.042114,0.1287854,0.8710902,0.09755035
1.050049,0.1282204,0.8712864,0.0979636
1.061096,0.1280886,0.8715652,0.09818998
1.062134,0.1280194,0.8715569,0.09841627
1.072388,0.1271574,0.8719509,0.09919322
1.082153,0.1265574,0.8723574,0.0995383
1.083557,0.1265009,0.8723944,0.09956554
1.097168,0.126154,0.87318,0.09993696
1.102112,0.1262591,0.8732966,0.1001843
1.105469,0.1263383,0.8734109,0.1004315
1.116699,0.1260406,0.8741167,0.09992401
1.122131,0.126504,0.8743083,0.1000643
1.127686,0.126941,0.8745841,0.1000988
1.138916,0.1265326,0.8743054,0.09893587
1.142151,0.1261299,0.874401,0.09892838
1.149963,0.1255666,0.8744347,0.09850299
1.161072,0.1254876,0.8753803,0.09806485
1.162109,0.1254173,0.8753816,0.09816177
1.17218,0.1250547,0.8758513,0.09788854
1.182129,0.124387,0.8763273,0.09774768
1.18335,0.1243638,0.8763378,0.09771673
1.194336,0.1237512,0.876529,0.09793198
1.202148,0.1243564,0.8771267,0.09795681
1.205566,0.1245324,0.8773766,0.09794672
1.216614,0.1238555,0.8772984,0.09764549
1.222168,0.1240024,0.8772852,0.09713627
1.227722,0.1241056,0.8772066,0.09659985
1.238831,0.1241098,0.8771369,0.09651332
1.242126,0.1242403,0.8772126,0.09655732
1.251648,0.1245155,0.8771509,0.09637615
1.261169,0.1241171,0.8765734,0.09625173
1.262146,0.1241684,0.8767384,0.0963112
1.272278,0.1242847,0.8767896,0.09628333
1.282166,0.1245615,0.8767198,0.09648903
1.283264,0.1245882,0.876719,0.09650174
1.294312,0.1249017,0.8773168,0.09664226
1.302124,0.1250446,0.8774659,0.09652482
1.305603,0.1252265,0.8776195,0.09650679
1.316833,0.1250407,0.877841,0.09661378
1.322144,0.1250902,0.8783511,0.0966292
1.328003,0.1252548,0.878935,0.09665969
1.339111,0.1253864,0.8790944,0.09665723
1.342163,0.125274,0.8789847,0.09665307
1.350098,0.1252784,0.8789505,0.09664208
1.361389,0.125532,0.8792319,0.09642982
1.362122,0.1255903,0.8793111,0.09650522
1.372314,0.1262615,0.8797829,0.09654634
1.382141,0.1267102,0.8799064,0.09646648
1.383484,0.1268159,0.8799417,0.09645432
1.394653,0.1271933,0.8799593,0.09630616
1.402161,0.1273313,0.8797513,0.09649208
1.406921,0.1275891,0.8796245,0.09656547
1.416626,0.1278538,0.8793019,0.09675673
1.422119,0.128109,0.879302,0.09697551
1.427856,0.1284678,0.879274,0.09722036
1.438904,0.1288344,0.8793472,0.0974911
1.442139,0.1289635,0.8792851,0.09756994
1.450012,0.1295307,0.8790638,0.0977935
1.461182,0.1301971,0.8792826,0.09831083
1.462158,0.130147,0.8793368,0.09825255
1.472534,0.1306906,0.8796662,0.09827465
1.482117,0.1307228,0.8796179,0.09807743
1.483643,0.1307577,0.8796181,0.09804933
1.494934,0.1308879,0.8794179,0.09809577
1.502136,0.131203,0.8792133,0.09817058
1.506409,0.1314242,0.879088,0.09822789
1.517273,0.1318064,0.8790443,0.09815627
1.522156,0.132037,0.8791656,0.09820706
1.528809,0.1323663,0.8792798,0.09827508
1.539795,0.1325518,0.8794275,0.09801155
1.542114,0.1326397,0.8794758,0.09789973
1.551392,0.132921,0.8796257,0.09761171
1.562134,0.132842,0.8796256,0.0975624
1.565247,0.1328805,0.8795792,0.09756769
1.573242,0.1329585,0.8794848,0.09757864
1.582153,0.1329327,0.8792612,0.09774768
1.583008,0.1329181,0.8792143,0.09778407
1.594177,0.1327143,0.8787107,0.09790088
1.602112,0.1327068,0.8784946,0.09790795
1.605225,0.1327717,0.8783531,0.09795371
1.616394,0.1328125,0.8781464,0.09799756
1.622131,0.1328712,0.8780173,0.09799135
1.627502,0.132934,0.8778559,0.09798035
1.638672,0.1332907,0.8776514,0.09795439
1.642151,0.1334658,0.8776573,0.09801421
1.650391,0.1339267,0.8776755,0.09816648
1.66095,0.1338336,0.8776334,0.09809893
1.662109,0.1338306,0.8776078,0.09807985
1.671875,0.1338276,0.8774563,0.09796733
1.682129,0.1338948,0.8770009,0.09806536
1.682922,0.1338962,0.8769662,0.0980648
1.694092,0.1339239,0.8764717,0.09782957
1.702148,0.1341062,0.8761947,0.09794162
1.705383,0.1342012,0.8760343,0.09798609
1.719482,0.1343568,0.8756625,0.09788744
1.722168,0.1343762,0.875617,0.09798951
1.727356,0.134435,0.8754621,0.09807971
1.738525,0.1343299,0.8752836,0.09821589
1.742126,0.1342664,0.8752356,0.09826753
1.749573,0.1340695,0.8751276,0.09845404
1.760559,0.1344393,0.8750659,0.09857672
