Time, X, Y, Z
12.19946,-0.1298098,0.9151334,0.1494999
13.99945,-0.1988445,0.9014658,0.1915573
15.89948,-0.2306765,0.8917277,0.1764535
17.95947,-0.2232406,0.8897031,0.2209039
19.77942,-0.2115097,0.9052167,0.2135789
21.59943,-0.2172021,0.904752,0.1968774
23.43945,-0.2228727,0.8989752,0.1948686
25.19946,-0.2276237,0.9150338,0.1838025
26.87946,-0.2143082,0.8984881,0.1724608
28.53943,-0.1960304,0.9362084,0.1726935
34.95947,-0.2562408,0.9208104,0.1501605
37.95947,-0.1130173,0.9333788,0.09808043
41.63947,-0.1750322,0.9324239,0.1494348
43.31946,-0.1940688,0.9259207,0.139678
45.01947,-0.1867313,0.9464583,0.1709234
45.51947,-0.1932455,0.9211926,0.1459864
76.91943,-0.1981537,0.9148682,0.1439761
85.49945,-0.18625,0.908751,0.1589108
87.93945,-0.1473969,0.89442,0.1898261
89.85944,-0.1708857,0.9023792,0.2053097
92.25946,-0.2322528,0.8997589,0.2070425
94.17944,-0.2217344,0.8979594,0.2010287
97.71942,-0.2118398,0.9151116,0.1955721
101.3594,-0.2225136,0.908466,0.1782749
103.6594,-0.2513114,0.8988149,0.1399902
107.1395,-0.1156759,0.9208366,0.1479669
109.3277,-0.1758103,0.9118423,0.1631376
112.6395,-0.2218852,0.9008056,0.1869079
116.3795,-0.2363292,0.8899297,0.2303229
119.5195,-0.21387,0.9373477,0.1493895
121.9395,-0.1960312,0.906509,0.1992428
124.5314,-0.1930144,0.9074161,0.1877969
127.5795,-0.1917264,0.8829458,0.2053358
129.7394,-0.2091611,0.8874512,0.1958244
132.1194,-0.1272923,0.9159911,0.1132009
134.0394,-0.1993899,0.9060926,0.2028726
137.7994,-0.04396794,0.9430063,0.06864396
139.4995,-0.1853632,0.9131116,0.1681458
142.1395,-0.2065936,0.8705218,0.1380102
144.3994,-0.2028116,0.8872316,0.2175827
148.4794,-0.2283609,0.8976229,0.1311586
151.1194,-0.189512,0.9069152,0.1827815
153.5195,-0.1668638,0.8771757,0.1475545
156.1995,-0.2013444,0.8961616,0.1609832
158.2394,-0.2273721,0.905904,0.1675384
160.2394,-0.1949922,0.8929492,0.2063109
162.5795,-0.1964608,0.9119056,0.201303
185.0994,-0.1612462,0.9244689,0.1331436
187.1395,-0.2174185,0.9015561,0.1426872
189.2394,-0.2057371,0.8996162,0.1885814
191.1794,-0.2041702,0.890868,0.2137086
193.0394,-0.20833,0.8626691,0.1712067
195.2994,-0.2277717,0.8884491,0.1862468
197.7595,-0.1674324,0.9221192,0.1438383
200.4794,-0.2605596,0.8859503,0.197545
202.2394,-0.2507041,0.9573572,0.1487478
205.4794,-0.1825636,0.8924173,0.1410117
207.8394,-0.2018218,0.908261,0.1841909
221.0195,-0.1849797,0.8945005,0.161938
222.9794,-0.2251362,0.9031736,0.1783466
224.8195,-0.2121388,0.8925487,0.1990152
226.7794,-0.1959777,0.8722733,0.1694929
