Time, X, Y, Z
12.19946,-0.1577699,0.86,0.1663897
13.99945,-0.2246173,0.86,0.182854
15.89948,-0.1697833,0.86,0.1514287
17.95947,-0.2031298,0.86,0.1814181
19.77942,-0.154654,0.86,0.1840455
21.59943,-0.1636882,0.86,0.1442659
23.43945,-0.2039276,0.86,0.163141
25.19946,-0.1987632,0.86,0.1996161
26.87946,-0.1860194,0.86,0.1573102
28.53943,-0.1792524,0.86,0.2022287
34.95947,-0.2082707,0.86,0.1778699
37.95947,-0.1836213,0.86,0.138673
41.63947,-0.1516057,0.86,0.1824139
43.31946,-0.1882644,0.86,0.157721
45.01947,-0.1625176,0.86,0.2068517
45.51947,-0.17465,0.86,0.1499486
76.91943,-0.2100634,0.86,0.1517775
85.49945,-0.1763154,0.86,0.163906
87.93945,-0.1501143,0.86,0.2069429
89.85944,-0.1791905,0.86,0.1809772
92.25946,-0.2162621,0.86,0.2000005
94.17944,-0.1686188,0.86,0.193682
97.71942,-0.209121,0.86,0.1960924
101.3594,-0.1669775,0.86,0.1759483
103.6594,-0.2057328,0.86,0.1495157
107.1395,-0.1509692,0.86,0.1869441
109.3277,-0.2090253,0.86,0.1799505
112.6395,-0.1952017,0.86,0.1416427
116.3795,-0.1932212,0.86,0.2022375
119.5195,-0.1750829,0.86,0.151582
121.9395,-0.1510544,0.86,0.195912
124.5314,-0.2021714,0.86,0.2062207
127.5795,-0.1873962,0.86,0.1661274
129.7394,-0.1556542,0.86,0.1856078
132.1194,-0.1684855,0.86,0.1519112
134.0394,-0.2027839,0.86,0.1806887
137.7994,-0.1590189,0.86,0.1635332
139.4995,-0.1937333,0.86,0.1813843
142.1395,-0.207576,0.86,0.1364743
144.3994,-0.1935589,0.86,0.2018746
148.4794,-0.1814033,0.86,0.1489436
151.1194,-0.1726449,0.86,0.1913886
153.5195,-0.1596391,0.86,0.1414801
156.1995,-0.2017541,0.86,0.1687882
158.2394,-0.2033265,0.86,0.2042572
160.2394,-0.1515524,0.86,0.1992235
162.5795,-0.1961097,0.86,0.1818783
185.0994,-0.2092416,0.86,0.1440554
187.1395,-0.1743557,0.86,0.1377463
189.2394,-0.1746361,0.86,0.1953597
191.1794,-0.2179105,0.86,0.1848794
193.0394,-0.1725089,0.86,0.1612237
195.2994,-0.2174457,0.86,0.1872695
197.7595,-0.1958537,0.86,0.1526912
200.4794,-0.2228926,0.86,0.1840547
202.2394,-0.1808294,0.86,0.1985776
205.4794,-0.1793,0.86,0.1521251
207.8394,-0.1588345,0.86,0.1830082
221.0195,-0.2189954,0.86,0.1426931
222.9794,-0.2220387,0.86,0.2059767
224.8195,-0.2219796,0.86,0.159367
226.7794,-0.1731794,0.86,0.1402466
