Time, X, Y, Z
0.006713867,-0.1314978,0.8770427,0.06223944
0.01812744,-0.1314501,0.8769858,0.06217803
0.01947021,-0.1314394,0.8769869,0.06215775
0.0291748,-0.1313186,0.8769988,0.06208584
0.03942871,-0.1312259,0.877094,0.06202123
0.04052734,-0.131215,0.8770929,0.06200325
0.05181885,-0.1311123,0.8770686,0.06180668
0.05944824,-0.1311051,0.8770788,0.06177807
0.06262207,-0.1311233,0.8770819,0.06181708
0.07385254,-0.1311508,0.8770676,0.06186268
0.07946777,-0.1311236,0.876913,0.06174508
0.08789063,-0.1310632,0.8766521,0.06165859
0.09594727,-0.1309281,0.8765458,0.06160969
0.09942627,-0.1308693,0.8765157,0.06159239
0.1066284,-0.1308383,0.8764439,0.06157143
0.1177368,-0.1308192,0.8762926,0.06150512
0.1194458,-0.13087,0.8762548,0.06152609
0.1288452,-0.1308635,0.8761171,0.06143954
0.1394653,-0.1310436,0.8759481,0.06135182
0.1397705,-0.1309854,0.875954,0.06136313
0.151062,-0.1310165,0.8757493,0.06137985
0.1594238,-0.1309442,0.8758177,0.06159735
0.1621094,-0.1309805,0.8758324,0.06164053
0.1731567,-0.1309478,0.8758581,0.06174895
0.1794434,-0.1309614,0.8758813,0.06185244
0.1841431,-0.1309139,0.8758398,0.06192791
0.1954346,-0.1308942,0.8758024,0.06204635
0.1994629,-0.130914,0.8758631,0.06214848
0.2064819,-0.1309682,0.8758816,0.06225805
0.2177124,-0.1310361,0.8758411,0.06227851
0.2194214,-0.1310506,0.8757695,0.06224
0.2287598,-0.1311018,0.8756884,0.0623107
0.2394409,-0.1313416,0.8754147,0.06239966
0.2429199,-0.131394,0.8753186,0.06243429
0.2509766,-0.131501,0.875122,0.06250501
0.2594604,-0.1316568,0.8749316,0.06264409
0.2619629,-0.1317075,0.8748515,0.06268579
0.2733154,-0.1317126,0.8746953,0.06266439
0.2794189,-0.1317836,0.8747065,0.06260948
0.2841187,-0.1318357,0.8746938,0.06263664
0.2952271,-0.1320867,0.8745189,0.06255409
0.2994385,-0.1320809,0.8745274,0.06259826
0.3064575,-0.132145,0.8745173,0.06265005
0.3175049,-0.1323047,0.8746376,0.0628348
0.319458,-0.132347,0.8746308,0.06281132
0.3287354,-0.1325418,0.874665,0.06285197
0.3394165,-0.1325837,0.8746536,0.06282219
0.3397217,-0.1325873,0.874655,0.06282414
0.3510132,-0.1324617,0.8749039,0.06293836
0.359436,-0.1324185,0.8749793,0.06302437
0.3621216,-0.1323963,0.8750211,0.06305474
0.3730469,-0.1323404,0.8749756,0.06298956
0.3794556,-0.1322529,0.8750311,0.06294087
0.3842163,-0.1321771,0.8750735,0.06291673
0.3982544,-0.1320785,0.8751574,0.06273356
0.3994751,-0.1320674,0.8751523,0.06270888
0.406189,-0.1319993,0.8751222,0.06255499
0.4172974,-0.1319847,0.8751554,0.06243789
0.4194336,-0.1319778,0.8751062,0.06239691
0.4285278,-0.1319355,0.8750253,0.06225458
0.4394531,-0.1319846,0.8749856,0.06209239
0.4397583,-0.1319843,0.8749843,0.0620904
0.4506836,-0.1319573,0.8747935,0.06198944
0.4594727,-0.1318904,0.8747387,0.06210452
0.4619141,-0.131871,0.8747153,0.06212619
0.4728394,-0.1319247,0.8746055,0.06220353
0.4794312,-0.131831,0.8745205,0.06217508
0.4840088,-0.1317602,0.8744366,0.06218049
0.4951172,-0.1317952,0.8743232,0.06226268
0.4994507,-0.1318791,0.8743615,0.06231233
0.5062866,-0.1319485,0.8743771,0.06240708
0.517395,-0.1322685,0.8743581,0.06245984
0.5194702,-0.1323223,0.8743622,0.06248777
0.5285034,-0.1325509,0.874335,0.06255668
0.5394287,-0.1323189,0.8743085,0.06247991
0.539917,-0.1323118,0.874312,0.0624761
0.5535278,-0.1321937,0.8743992,0.06249279
0.5594482,-0.1321598,0.8743312,0.06253785
0.5615234,-0.1321423,0.8742968,0.06256114
0.572876,-0.1320989,0.8743341,0.06262247
0.5794678,-0.1320925,0.8744475,0.06259134
0.5839844,-0.1321046,0.8745097,0.06257507
0.5953369,-0.1320714,0.8745613,0.06252137
0.5994263,-0.1321567,0.8746322,0.06247643
0.6062622,-0.1322751,0.8747464,0.06241502
0.6173706,-0.1321826,0.8748351,0.06229991
0.6194458,-0.1321861,0.8748922,0.06224233
0.628418,-0.1321553,0.8751006,0.06205884
0.6394043,-0.1321334,0.8752378,0.06192839
0.6394653,-0.1321038,0.8752645,0.06194699
0.6507568,-0.1319103,0.8755406,0.06188144
0.6594238,-0.1317233,0.8756226,0.06182179
0.6617432,-0.1316789,0.8756486,0.06180584
0.6729736,-0.1314969,0.8755777,0.06163517
0.6794434,-0.1314097,0.8756354,0.06159838
0.6838989,-0.1313185,0.8756781,0.06155547
0.6951904,-0.1311892,0.8756121,0.06126589
0.6994629,-0.1311911,0.8755922,0.06124607
0.7089233,-0.1311549,0.8756783,0.06118682
0.717041,-0.1310968,0.8757678,0.06117596
0.7194214,-0.1310718,0.8757828,0.06117672
0.7282715,-0.1309951,0.8758594,0.06111646
0.7394409,-0.1309373,0.875945,0.06102507
0.739502,-0.1309366,0.8759459,0.06102428
0.7507935,-0.1313352,0.8759755,0.06086263
0.7594604,-0.1316794,0.8759388,0.06065243
0.7617188,-0.1318081,0.8759379,0.06058256
0.7730103,-0.1321143,0.8759637,0.06056269
0.7794189,-0.1323283,0.8761326,0.06058493
0.7839966,-0.1325267,0.8763117,0.06061825
0.7950439,-0.1329516,0.8770063,0.06091683
0.7994385,-0.1330396,0.8772537,0.06108078
0.8063354,-0.1332439,0.8778645,0.06144923
0.8175049,-0.1332638,0.8785495,0.06227583
0.819458,-0.1332752,0.8785588,0.06240872
0.8286743,-0.1333396,0.8792174,0.06329116
0.8394165,-0.1330507,0.8805366,0.06384036
0.8395996,-0.1330496,0.8805544,0.06385054
0.850769,-0.133144,0.8816571,0.06406885
