Time, X, Y, Z
0,0.06628789,0.9155222,0.1032067
0,0.1767762,0.9395264,0.1616675
0,-0.04045132,0.9313859,0.01928427
0,-0.20946,0.8866974,0.1837651
0,-0.1680136,0.8870036,0.159229
0,-0.1236854,0.9360892,0.07909688
0,-0.1867702,0.8866949,0.1832165
0,-0.2301403,0.8933139,0.1748759
0,-0.1531335,0.8864678,0.1728122
0,-0.2094895,0.897701,0.1280864
0,-0.2116015,0.8672795,0.1504596
0,0.02219477,0.8890211,0.08381708
0,-0.2030981,0.8659605,0.1534352
0,0.05856284,0.9073456,0.08504921
0,-0.01323048,0.904745,0.0408082
0,-0.1761824,0.8867923,0.1546516
0,-0.2291359,0.8863826,0.1627241
0,0.05080769,0.8989517,0.06676914
0,0.05665524,0.9419494,0.04118755
0,-0.01761057,0.908509,0.1112444
0,0.1693322,0.8840523,0.1918075
0,0.2381446,0.8857164,0.1682272
0,0.2070298,0.8814509,0.1609464
0,0.1912668,0.950704,0.2210762
0,-0.2652662,0.8862757,0.1588
0,-0.2092145,0.9162378,0.1654166
0,-0.1580341,0.8774206,0.2180336
0,-0.1581531,0.8981372,0.1451779
0,-0.1745231,0.8872969,0.2029352
0,-0.1623969,0.8796599,0.159707
0,-0.1696851,0.9012067,0.1473897
0,0.1413023,0.9064736,0.1872421
0,0.1913246,0.9009578,0.09973519
0,0.2409482,0.9015188,-0.003117138
0,0.2123747,0.877837,0.1486903
0,0.1809864,0.8943022,0.2052692
0,0.2179198,0.8881654,0.1992665
0,-0.1594636,0.9333596,0.1767542
0,-0.1884172,0.8827476,0.1876768
0,-0.1502247,0.9203948,0.1450423
0,-0.1909848,0.9342532,0.1609161
0,-0.06162823,0.9165207,0.04473297
0,-0.2004413,0.8804709,0.1812575
0,-0.1684001,0.9008017,0.1855676
0,-0.1670648,0.9105058,0.1852295
0,-0.207672,0.8961175,0.1734047
0,-0.225468,0.9088152,0.1853334
0,-0.1746961,0.9113774,0.178788
0,-0.2398431,0.9186158,0.2140056
0,-0.2212418,0.8976117,0.1679765
0,-0.174817,0.89855,0.1720337
0,-0.1941341,0.8932747,0.1696331
0,-0.2056017,0.9089746,0.2025858
12.25299,-0.1909257,0.8874356,0.191021
14.47296,-0.1742995,0.8797718,0.1415741
16.513,-0.2028143,0.9216931,0.1865532
18.83301,-0.2090275,0.9242901,0.1533098
21.37299,-0.1775117,0.8850511,0.167513
23.79297,-0.2108221,0.8944509,0.203033
25.953,-0.1601206,0.9291461,0.1579821
28.21301,-0.1869864,0.9183845,0.200205
30.35297,-0.2042321,0.9103343,0.1512638
32.53296,-0.2088436,0.8897874,0.1831874
35.013,-0.1998357,0.8956069,0.210623
37.43298,-0.208546,0.8860226,0.1621631
39.55298,-0.1757044,0.9299541,0.2275235
45.43298,-0.1829025,0.9054989,0.199302
47.09296,-0.1723518,0.9133064,0.09269235
69.81299,-0.2121071,0.9096794,0.1638937
72.453,-0.1526015,0.9277211,0.1600874
74.85297,-0.1847014,0.9070985,0.1947756
77.19299,-0.1480168,0.9162113,0.1933506
79.71301,-0.1895282,0.9029765,0.1717659
82.073,-0.1158243,0.9062006,0.1471288
84.513,-0.1896269,0.9046894,0.159935
86.013,-0.1611302,0.9197739,0.1335414
88.29297,-0.2184204,0.9069861,0.1412144
90.21301,-0.1500131,0.9276832,0.1420262
92.11298,-0.1884755,0.9744916,0.1688213
94.23297,-0.1408404,0.9156687,0.2132331
96.47296,-0.2067626,0.88629,0.1591796
98.53296,-0.2196621,0.8998612,0.1830146
100.833,-0.1695747,0.9150076,0.1943531
123.073,-0.1734023,0.852676,0.2123189
125.473,-0.2270533,0.8864079,0.1748851
127.753,-0.1886848,0.9061603,0.2333858
130.5346,-0.2528245,0.9133078,0.175115
132.933,-0.2651835,0.8801451,0.1739768
135.213,-0.2234999,0.9113215,0.2324081
137.493,-0.2631347,0.8913507,0.1494376
139.553,-0.2089786,0.8931088,0.2030778
143.293,-0.1904605,0.8849882,0.1791616
145.733,-0.199138,0.8863769,0.1874166
147.953,-0.2232137,0.8913929,0.1783421
150.313,-0.1945924,0.9234325,0.1240896
152.533,-0.2196702,0.9221596,0.1354569
155.293,-0.2059932,0.9149657,0.2128268
157.833,-0.2455319,0.8868921,0.2164237
159.753,-0.2513318,0.9127492,0.1742477
182.433,-0.172194,0.8598698,0.1669875
183.893,-0.1887799,0.9316931,0.09505801
198.613,-0.1533103,0.9222816,0.2089434
204.313,-0.2402337,0.8840369,0.150325
207.893,-0.1484172,0.8813322,0.1818718
210.773,-0.1610857,0.850764,0.1443045
213.133,-0.1944204,0.8842975,0.1774897
215.213,-0.1743051,0.8804664,0.1497114
217.733,-0.1435622,0.9192918,0.1828703
219.973,-0.226691,0.8760464,0.1806977
222.553,-0.2098875,0.8841293,0.190007
225.313,-0.1648707,0.8912221,0.1261419
227.693,-0.2226534,0.8664331,0.2009293
230.213,-0.165948,0.8883483,0.1735792
232.573,-0.1866422,0.8881803,0.1472809
234.993,-0.2024159,0.8984727,0.1799204
