Time, X, Y, Z
0,-0.150635,0.86,0.1585676
0,-0.1978147,0.86,0.1818144
0,-0.1707629,0.86,0.15869
0,-0.2089071,0.86,0.150725
0,-0.1905346,0.86,0.2022301
0,-0.2068624,0.86,0.1680966
0,-0.1581638,0.86,0.1586672
0,-0.2003329,0.86,0.1887893
0,-0.2193354,0.86,0.1414069
0,-0.2036865,0.86,0.1507743
0,-0.2103877,0.86,0.1702105
0,-0.1648892,0.86,0.1679155
0,-0.2048117,0.86,0.1524589
0,-0.2121565,0.86,0.1747898
0,-0.2197604,0.86,0.1444831
0,-0.2189189,0.86,0.1812909
0,-0.1511389,0.86,0.2063664
0,-0.1536932,0.86,0.1356734
0,-0.1740533,0.86,0.2015669
0,-0.1524793,0.86,0.1428045
0,-0.1951319,0.86,0.1836403
0,-0.1757502,0.86,0.1621906
0,-0.1768961,0.86,0.1984227
0,-0.1799055,0.86,0.1452405
0,-0.164578,0.86,0.1935864
0,-0.1659995,0.86,0.1400532
0,-0.203434,0.86,0.1815788
0,-0.15,0.86,0.2
0,-0.1626378,0.86,0.1973333
0,-0.194529,0.86,0.1466161
0,-0.2167452,0.86,0.1810717
0,-0.1742879,0.86,0.1620232
0,-0.2174563,0.86,0.202928
0,-0.2124058,0.86,0.1603437
0,-0.1724707,0.86,0.1720703
0,-0.2121223,0.86,0.1583697
0,-0.2043415,0.86,0.2037435
12.25299,-0.15,0.86,0.2
14.47296,-0.1604838,0.86,0.1367595
16.513,-0.2073539,0.86,0.1886339
18.83301,-0.2197734,0.86,0.1511321
21.37299,-0.1626367,0.86,0.1410961
23.79297,-0.2005074,0.86,0.2004131
25.953,-0.1824975,0.86,0.1428915
28.21301,-0.2218846,0.86,0.1923283
30.35297,-0.2248724,0.86,0.1451882
32.53296,-0.1533738,0.86,0.1852876
35.013,-0.1866761,0.86,0.1734104
37.43298,-0.1978303,0.86,0.1394547
39.55298,-0.207014,0.86,0.1883151
45.43298,-0.1597384,0.86,0.2009635
47.09296,-0.2088986,0.86,0.1358073
69.81299,-0.2192998,0.86,0.1707945
72.453,-0.1649299,0.86,0.1575832
74.85297,-0.203054,0.86,0.1740358
77.19299,-0.1647156,0.86,0.1684603
79.71301,-0.2165663,0.86,0.1753678
82.073,-0.16096,0.86,0.1371798
84.513,-0.1961311,0.86,0.172423
86.013,-0.2143075,0.86,0.2077238
88.29297,-0.2231621,0.86,0.1531155
90.21301,-0.1673784,0.86,0.1649322
92.11298,-0.2163506,0.86,0.1951579
94.23297,-0.1638521,0.86,0.1975045
96.47296,-0.2023092,0.86,0.1619427
98.53296,-0.1690866,0.86,0.1994344
100.833,-0.2079883,0.86,0.1979876
123.073,-0.1543078,0.86,0.2049274
125.473,-0.180315,0.86,0.1378964
127.753,-0.1563029,0.86,0.2078605
130.5346,-0.2186129,0.86,0.2047759
132.933,-0.1941951,0.86,0.1661801
135.213,-0.2008681,0.86,0.2047742
137.493,-0.2197605,0.86,0.1351964
139.553,-0.1681678,0.86,0.1764173
143.293,-0.2045479,0.86,0.1661512
145.733,-0.1633182,0.86,0.1690638
147.953,-0.191095,0.86,0.1914256
150.313,-0.1628124,0.86,0.1374705
152.533,-0.2224074,0.86,0.1658931
155.293,-0.1613673,0.86,0.2074334
157.833,-0.2221475,0.86,0.1968075
159.753,-0.2077483,0.86,0.1484725
182.433,-0.154448,0.86,0.1574471
183.893,-0.2019041,0.86,0.1695934
198.613,-0.1562489,0.86,0.1713761
204.313,-0.2241887,0.86,0.1487124
207.893,-0.1596984,0.86,0.1818956
210.773,-0.164135,0.86,0.1448937
213.133,-0.2049406,0.86,0.1686368
215.213,-0.1574927,0.86,0.136006
217.733,-0.1705417,0.86,0.178384
219.973,-0.2100337,0.86,0.1845954
222.553,-0.1727511,0.86,0.1932754
225.313,-0.1587731,0.86,0.1358118
227.693,-0.193493,0.86,0.1760677
230.213,-0.1501239,0.86,0.1772539
232.573,-0.1810541,0.86,0.1523856
234.993,-0.1973854,0.86,0.2053165
