Time, X, Y, Z
0.00994873,-0.1239131,1.03517,-0.02802745
0.01300049,-0.1238935,1.035128,-0.02804136
0.01794434,-0.1238255,1.03504,-0.02809921
0.02911377,-0.1236616,1.034954,-0.02820762
0.03295898,-0.1235673,1.034971,-0.02826352
0.04046631,-0.1233632,1.035018,-0.02837752
0.05157471,-0.1230904,1.03507,-0.02854314
0.05297852,-0.1230443,1.035078,-0.02857593
0.06268311,-0.1226951,1.035143,-0.02884449
0.07299805,-0.1224515,1.03516,-0.02894421
0.07391357,-0.1224275,1.035167,-0.02895707
0.08483887,-0.1221353,1.035301,-0.02914412
0.09295654,-0.1218637,1.03538,-0.02930197
0.09588623,-0.1217377,1.035417,-0.02937667
0.1069946,-0.1213757,1.035388,-0.02951711
0.1129761,-0.1211612,1.035338,-0.02959758
0.118103,-0.1209459,1.035286,-0.02968115
0.1292725,-0.1206233,1.035178,-0.02975515
0.1329956,-0.1205457,1.035126,-0.02974378
0.1403198,-0.1203899,1.035008,-0.02970132
0.1517334,-0.1201503,1.034892,-0.02953996
0.1530151,-0.120123,1.034873,-0.02951486
0.1653442,-0.1198357,1.034652,-0.02923092
0.1729736,-0.1196682,1.034513,-0.02908038
0.1735229,-0.1196591,1.034506,-0.02907224
0.1847534,-0.1194395,1.034244,-0.02890725
0.1929932,-0.1192388,1.034065,-0.02881788
0.1958618,-0.1191455,1.033983,-0.0287789
0.2070923,-0.1189089,1.033766,-0.02873097
0.2130127,-0.1188003,1.033649,-0.0286961
0.2183838,-0.118684,1.033522,-0.02866682
0.229248,-0.118489,1.033321,-0.02870393
0.2329712,-0.1184251,1.033269,-0.02868444
0.2402954,-0.1182859,1.033163,-0.02862932
0.2514038,-0.1180912,1.033082,-0.02865344
0.2529907,-0.1180587,1.033072,-0.02865644
0.2625732,-0.117831,1.033026,-0.02868669
0.2730103,-0.1176888,1.033073,-0.02868266
0.2736206,-0.1176795,1.033075,-0.02868322
0.284668,-0.1175766,1.033054,-0.02874285
0.2929688,-0.1175171,1.03298,-0.0288415
0.2958984,-0.1174899,1.032945,-0.02889337
0.3071899,-0.1173896,1.032922,-0.02912205
0.3129883,-0.117313,1.032881,-0.02926731
0.3203735,-0.1172234,1.032823,-0.02948514
0.3289795,-0.1172127,1.032761,-0.02962272
0.3330078,-0.1171957,1.032698,-0.02973713
0.340332,-0.117163,1.032555,-0.02999125
0.3514404,-0.1172345,1.032486,-0.03031427
0.3529663,-0.117245,1.032475,-0.03036197
0.3624268,-0.1172305,1.032302,-0.03072345
0.3729858,-0.117293,1.032284,-0.03094652
0.3738403,-0.1172946,1.032281,-0.0309661
0.3847046,-0.1171635,1.032166,-0.03134416
0.3930054,-0.1168662,1.032045,-0.03167589
0.395813,-0.1167219,1.031986,-0.0318303
0.4069824,-0.1163034,1.031696,-0.03226557
0.4129639,-0.1159588,1.031462,-0.03267111
0.4180908,-0.1156028,1.031227,-0.03310207
0.4291992,-0.1148188,1.030863,-0.03412756
0.4329834,-0.1145484,1.030771,-0.03452334
0.4402466,-0.1139835,1.030652,-0.03539728
0.451416,-0.1134213,1.030423,-0.03682393
0.4530029,-0.1133351,1.030365,-0.03706492
0.4626465,-0.1128713,1.029831,-0.0391838
0.4729614,-0.1125036,1.029525,-0.04116389
0.4758911,-0.1124211,1.029379,-0.04174288
0.4847412,-0.1123285,1.028945,-0.04311931
0.492981,-0.1121837,1.028299,-0.04471743
0.4958496,-0.1121201,1.027998,-0.04547659
0.506958,-0.1120992,1.027458,-0.04747325
0.5130005,-0.1120581,1.026796,-0.04879504
0.5181274,-0.112007,1.025778,-0.05028057
0.52948,-0.1119151,1.024588,-0.05241144
0.532959,-0.1119206,1.024115,-0.05317533
0.5407715,-0.1119159,1.022884,-0.05510986
0.5516968,-0.1116247,1.021725,-0.05754325
0.5529785,-0.1115806,1.021606,-0.05785045
0.5626831,-0.1109362,1.020623,-0.06055374
0.572998,-0.1104613,1.019528,-0.06312993
0.5739136,-0.1104206,1.019436,-0.06336303
0.5848389,-0.1097903,1.018291,-0.06615743
0.5929565,-0.1091791,1.017151,-0.06846917
0.5962524,-0.108844,1.016506,-0.06970103
0.6071167,-0.1076071,1.01486,-0.07264163
0.6129761,-0.1067446,1.013865,-0.07453598
0.6183472,-0.1057077,1.01273,-0.07676545
0.6317749,-0.1042021,1.009811,-0.07995227
0.6329956,-0.1040025,1.009374,-0.08037022
0.6402588,-0.1027475,1.006686,-0.08302847
0.6514282,-0.1008565,1.003749,-0.08581905
0.6530151,-0.1005567,1.003318,-0.0862269
0.6626587,-0.09851192,0.9999667,-0.08915921
0.6729736,-0.09701847,0.9960315,-0.09228012
0.6737671,-0.09691157,0.9957552,-0.09249875
0.6846924,-0.09552887,0.9923042,-0.09520665
0.6929932,-0.0941136,0.9891732,-0.09748882
0.6959839,-0.09337398,0.9876372,-0.09857945
0.7072144,-0.09122991,0.9839748,-0.1007416
0.7130127,-0.09000272,0.9818175,-0.1020039
0.7182617,-0.0886251,0.9794009,-0.1034698
0.7294312,-0.08665563,0.9752274,-0.1058544
0.7329712,-0.0860287,0.9737769,-0.1066879
0.7405396,-0.08457436,0.9702815,-0.1087385
0.7519531,-0.08270329,0.9666306,-0.110672
