Time, X, Y, Z
0.00994873,0.1348317,1.038346,0.03725404
0.01300049,0.1348711,1.038334,0.03720695
0.01794434,0.1349489,1.038228,0.03709966
0.02911377,0.1351035,1.038217,0.03690596
0.03295898,0.1351027,1.038236,0.03687868
0.04046631,0.1351047,1.038292,0.03682424
0.05157471,0.135232,1.038223,0.03674465
0.05297852,0.1352558,1.038225,0.0367516
0.06268311,0.135435,1.038239,0.03675848
0.07299805,0.1353,1.03827,0.03685437
0.07391357,0.1352908,1.038276,0.03686106
0.08483887,0.1353057,1.038239,0.03686146
0.09295654,0.1353129,1.038235,0.03689614
0.09588623,0.1353141,1.038233,0.03691369
0.1069946,0.1353206,1.03819,0.03703201
0.1129761,0.1353148,1.038139,0.03710097
0.118103,0.1353076,1.038084,0.03716734
0.1292725,0.1352279,1.038108,0.03727058
0.1329956,0.135239,1.038099,0.03733289
0.1403198,0.1352854,1.038071,0.03747763
0.1517334,0.1354795,1.038093,0.0375322
0.1530151,0.1354866,1.038106,0.03755763
0.1653442,0.1355322,1.038274,0.0378693
0.1729736,0.1357073,1.038231,0.03797278
0.1735229,0.1357144,1.03823,0.03797919
0.1847534,0.1358616,1.038141,0.03803203
0.1929932,0.1359823,1.038111,0.03805196
0.1958618,0.1360378,1.038099,0.03805989
0.2070923,0.1361199,1.038096,0.03800115
0.2130127,0.1361663,1.03813,0.03802724
0.2183838,0.1362203,1.038165,0.03805187
0.229248,0.136348,1.038188,0.03795427
0.2329712,0.1364014,1.038198,0.0379291
0.2402954,0.1365239,1.038215,0.03787592
0.2514038,0.1365881,1.038278,0.03770709
0.2529907,0.1366053,1.038288,0.03768358
0.2625732,0.1367644,1.038329,0.03755315
0.2730103,0.1367509,1.038436,0.03749466
0.2736206,0.1367529,1.03844,0.03748927
0.284668,0.136795,1.038456,0.03736451
0.2929688,0.1368079,1.038414,0.03722933
0.2958984,0.1368136,1.03839,0.03716081
0.3071899,0.1368245,1.038261,0.03691663
0.3129883,0.1368356,1.03819,0.03679267
0.3203735,0.1368262,1.038074,0.03661524
0.3289795,0.1367958,1.03805,0.03645274
0.3330078,0.1367805,1.038019,0.03638129
0.340332,0.1367443,1.037961,0.03625438
0.3514404,0.1367484,1.037894,0.03618291
0.3529663,0.1367487,1.037885,0.03617227
0.3624268,0.136794,1.037812,0.03603354
0.3729858,0.1367903,1.037915,0.03615174
0.3738403,0.1367936,1.037915,0.03615779
0.3847046,0.1367787,1.037975,0.03621832
0.3930054,0.1369466,1.037991,0.03623156
0.395813,0.1370311,1.037992,0.0362356
0.4069824,0.1372288,1.03795,0.03612037
0.4129639,0.1373571,1.037883,0.03607249
0.4180908,0.1374791,1.037812,0.03603381
0.4291992,0.1375173,1.037753,0.0359387
0.4329834,0.1375509,1.037726,0.03587198
0.4402466,0.1376553,1.037675,0.0356884
0.451416,0.1378748,1.037449,0.03554797
0.4530029,0.137914,1.037385,0.03552224
0.4626465,0.1382467,1.036772,0.03537984
0.4729614,0.1387169,1.036153,0.03507607
0.4758911,0.1388253,1.035924,0.03498983
0.4847412,0.1392139,1.035388,0.03478068
0.492981,0.1394807,1.034766,0.03463885
0.4958496,0.1395861,1.034493,0.03458796
0.506958,0.1395269,1.034387,0.03477368
0.5130005,0.1396011,1.033975,0.03487223
0.5181274,0.1397253,1.033169,0.03490622
0.52948,0.1399289,1.032397,0.03489614
0.532959,0.1398708,1.032131,0.03483924
0.5407715,0.1395208,1.031685,0.03466924
0.5516968,0.1385501,1.031911,0.03415644
0.5529785,0.1384259,1.031972,0.0340938
0.5626831,0.1368029,1.033005,0.03395876
0.572998,0.1357453,1.032912,0.03349933
0.5739136,0.1356494,1.032908,0.03346002
0.5848389,0.1344073,1.033197,0.03305551
0.5929565,0.1337079,1.033324,0.03296715
0.5962524,0.1334017,1.033349,0.03294204
0.6071167,0.1329109,1.033314,0.03244659
0.6129761,0.1324427,1.033526,0.03231093
0.6183472,0.1318256,1.033868,0.0322313
0.6317749,0.131091,1.03434,0.03146316
0.6329956,0.1309901,1.034369,0.03135589
0.6402588,0.130348,1.034625,0.03067726
0.6514282,0.1301931,1.034678,0.03037238
0.6530151,0.1301791,1.034717,0.03035268
0.6626587,0.1301709,1.034825,0.03061223
0.6729736,0.1299368,1.034655,0.03090352
0.6737671,0.1299236,1.034655,0.03092678
0.6846924,0.1297423,1.035134,0.03126982
0.6929932,0.1295025,1.035566,0.03129578
0.6959839,0.1293792,1.035789,0.03126204
0.7072144,0.1294209,1.035829,0.0311729
0.7130127,0.1293356,1.035732,0.03112999
0.7182617,0.1291972,1.03557,0.03104821
0.7294312,0.1290293,1.035742,0.03088421
0.7329712,0.1289534,1.035797,0.03080946
0.7405396,0.1288009,1.035707,0.03055902
0.7519531,0.1286997,1.035789,0.03023955
0.7529907,0.128685,1.035804,0.03021036
0.7627563,0.1284153,1.035997,0.02995458
0.7730103,0.1282269,1.036054,0.02974299
0.7738037,0.1282149,1.036062,0.02973115
0.7872925,0.1279809,1.036136,0.02953711
0.7929688,0.1278462,1.036124,0.02940866
0.7956543,0.1277623,1.036117,0.02932915
0.8068237,0.1274084,1.036106,0.02909887
0.8129883,0.127138,1.036094,0.02900529
0.8181763,0.1268173,1.036094,0.02894653
0.8292236,0.1264827,1.036233,0.02897787
0.8330078,0.1263842,1.036259,0.02897885
0.840332,0.1261984,1.036271,0.0288692
0.8517456,0.1260242,1.036313,0.02896124
0.8529663,0.1260022,1.036319,0.02898127
0.8626099,0.1258417,1.036411,0.02921842
0.8729858,0.1258931,1.036545,0.02948913
0.8739014,0.1258915,1.036562,0.02952473
0.8846436,0.125969,1.036633,0.02977593
0.8930054,0.1260769,1.036773,0.02996629
0.8959351,0.1261229,1.036877,0.03006069
0.9069824,0.1261075,1.037123,0.03033315
0.9129639,0.1261103,1.037235,0.03054738
0.9180298,0.1261931,1.037261,0.03076714
0.9292603,0.126393,1.037346,0.03118394
0.9329834,0.1264916,1.037357,0.03129551
0.9421387,0.1266716,1.037407,0.03140965
0.9511719,0.1269282,1.037286,0.03154072
0.9530029,0.1269873,1.037256,0.03157714
0.9625854,0.1274683,1.037115,0.03174874
0.9729614,0.1276402,1.037183,0.03173763
0.9735718,0.1276538,1.037191,0.03173518
0.9847412,0.1277985,1.037474,0.031596
0.992981,0.1278796,1.03758,0.03122485
0.9960327,0.1279365,1.037679,0.03086561
1.006958,0.1281414,1.037629,0.03034621
1.013,0.1283092,1.037562,0.03015827
1.018127,0.1285387,1.037431,0.03020722
1.029175,0.1286251,1.037466,0.03034306
1.032959,0.128676,1.037469,0.03041977
1.040527,0.1287705,1.037485,0.03050423
1.051575,0.1286813,1.037695,0.03042975
1.052979,0.1286562,1.037728,0.03041923
1.062622,0.1282368,1.038182,0.03037688
1.072998,0.1280483,1.0385,0.03045323
1.073853,0.1280419,1.038512,0.03045735
1.0849,0.1281138,1.038672,0.03051379
1.092957,0.1281248,1.038756,0.03054827
1.097534,0.1281905,1.038823,0.03060505
1.106873,0.1283782,1.038934,0.03080314
1.112976,0.1285689,1.039017,0.03102556
1.118103,0.128958,1.039076,0.03145814
1.129089,0.1293461,1.039057,0.03154579
1.132996,0.1295358,1.039048,0.03159514
1.140259,0.1299973,1.038911,0.03179386
1.151611,0.1303215,1.038794,0.03184885
1.153015,0.1303697,1.038756,0.0318433
1.162781,0.1305951,1.038314,0.03173605
1.172974,0.1305483,1.038243,0.03186619
1.173767,0.130539,1.038241,0.03187852
1.184998,0.1304661,1.03816,0.03202178
1.192993,0.1304736,1.038072,0.03213032
1.196167,0.1304541,1.037985,0.03224453
1.207153,0.1302874,1.037992,0.03244807
1.213013,0.1302301,1.03802,0.03260589
1.218201,0.1302294,1.038073,0.03292412
1.22937,0.13028,1.038083,0.03328785
1.232971,0.1303051,1.03808,0.03344437
1.240662,0.1304833,1.03796,0.03405648
1.252991,0.1306234,1.037832,0.03470916
1.256897,0.1306801,1.037806,0.03488484
1.263733,0.1307273,1.037797,0.03504476
1.27063,0.1308279,1.037838,0.03539002
1.27301,0.1308507,1.037834,0.03549498
1.281616,0.1311223,1.037751,0.0359984
1.292847,0.1312572,1.037713,0.03633118
1.292969,0.1311881,1.037711,0.03625578
1.304199,0.1311391,1.037911,0.03673568
1.312988,0.1313888,1.037917,0.03703648
1.314941,0.1314008,1.037825,0.03688416
1.326416,0.131539,1.037745,0.03695019
1.333008,0.1316226,1.037683,0.03694181
1.337341,0.1316569,1.037606,0.03712219
1.348267,0.1316434,1.037581,0.03733511
1.352966,0.131581,1.037557,0.03738391
1.359558,0.1314411,1.037542,0.03763399
1.370544,0.1313832,1.03756,0.03777146
1.372986,0.1313058,1.037583,0.03792664
1.381653,0.1309545,1.037607,0.03838663
1.392944,0.1306871,1.037609,0.03865537
1.393005,0.1307305,1.037594,0.03864285
1.405762,0.1303305,1.037621,0.03911415
1.412964,0.1301541,1.037684,0.03929684
1.414795,0.1300802,1.037783,0.03930733
1.42627,0.1297891,1.037982,0.03950784
1.432983,0.1298305,1.037741,0.03962114
1.437317,0.1298353,1.037516,0.03965028
1.448242,0.1297939,1.037482,0.03977954
1.453003,0.1298984,1.037484,0.03986126
1.459412,0.1300698,1.037262,0.03988221
1.47052,0.1302109,1.037019,0.03987603
1.472961,0.1301473,1.037079,0.03989267
1.481628,0.1301385,1.037009,0.03996173
1.492737,0.1301262,1.036939,0.0400483
1.492981,0.1300926,1.037013,0.04006964
1.503906,0.1298307,1.037235,0.0403199
1.513,0.1296723,1.037345,0.04042712
1.515015,0.1298062,1.037315,0.04047307
1.526001,0.1298798,1.037293,0.04056413
1.532959,0.1299283,1.037336,0.04066351
1.53717,0.1299583,1.037355,0.04083152
1.548279,0.1299458,1.03733,0.04101637
1.552979,0.1298855,1.037407,0.04109198
1.561157,0.1298026,1.037661,0.04119784
1.570313,0.1297605,1.037849,0.04121232
1.572998,0.1297937,1.037876,0.04117738
1.581543,0.1299054,1.037974,0.0410476
1.592651,0.1300331,1.037964,0.04087012
1.592957,0.1300067,1.037994,0.04087785
1.60376,0.130185,1.038298,0.04101777
1.612976,0.1305498,1.038381,0.04111359
1.615051,0.1305818,1.038418,0.04115918
1.626404,0.1308206,1.038518,0.04134463
1.632996,0.130836,1.038648,0.04132253
1.637817,0.1308664,1.038784,0.04142335
1.648926,0.1308552,1.038921,0.04158542
1.653015,0.1309002,1.038886,0.04151803
1.6604,0.1311262,1.038809,0.04141948
1.671814,0.131361,1.038749,0.04133803
1.672974,0.1314595,1.03871,0.04143614
1.68335,0.1319381,1.038494,0.04155794
1.692993,0.1321878,1.03843,0.04159468
1.694153,0.1324028,1.038336,0.04160812
1.705811,0.132849,1.038208,0.0416318
1.713013,0.1329608,1.038298,0.04155576
1.718994,0.1332862,1.038245,0.04162595
1.727844,0.1335139,1.038232,0.04167193
1.732971,0.1335646,1.038259,0.04166155
1.739563,0.1337195,1.038263,0.0415767
1.750977,0.1338006,1.038259,0.04146627
1.752991,0.1337893,1.038235,0.04144584
1.762085,0.1338265,1.03826,0.04158372
1.77301,0.133757,1.038211,0.04176961
1.773315,0.1336213,1.038311,0.04174241
1.784607,0.1334673,1.03834,0.04181871
1.792969,0.1334839,1.038309,0.04190867
1.795776,0.1334976,1.038252,0.04196908
1.807068,0.1335182,1.038243,0.04204912
1.812988,0.1333608,1.038317,0.04210252
1.817993,0.1334775,1.038172,0.04211536
1.829041,0.1335758,1.038096,0.04213476
1.833008,0.133628,1.03808,0.04212573
1.840393,0.13374,1.037961,0.04223806
1.851624,0.133796,1.037889,0.04233655
1.852966,0.1338047,1.037888,0.04231796
1.862488,0.1337976,1.037833,0.04244512
1.872986,0.1337874,1.037721,0.04250024
1.87854,0.1338242,1.037649,0.04251555
1.885193,0.1338532,1.037591,0.04252812
1.892761,0.1339702,1.037507,0.04246679
1.893005,0.1339488,1.037522,0.04246871
1.904236,0.1338771,1.037407,0.04230827
1.912964,0.1340726,1.03727,0.04237521
1.915161,0.1341075,1.037251,0.04238273
1.926086,0.1342917,1.037058,0.0423556
1.932983,0.1343851,1.036918,0.0422278
1.937378,0.1345116,1.036779,0.0421038
1.948303,0.1346195,1.036764,0.04205595
1.953003,0.1346755,1.03671,0.0420458
1.959473,0.1347921,1.036619,0.04201874
1.970642,0.1349004,1.036608,0.04193842
1.972961,0.1349016,1.036586,0.04186362
1.981812,0.1349385,1.036458,0.04153156
1.992859,0.1347784,1.036554,0.04136872
1.992981,0.1347903,1.036541,0.04137193
2.003906,0.1347461,1.036468,0.04122472
2.013,0.1347284,1.03644,0.04116279
2.015137,0.1346709,1.036424,0.04098435
2.032959,0.134729,1.036403,0.04078701
2.037903,0.1347059,1.036406,0.04082301
2.052979,0.1349225,1.036297,0.04067749
2.057983,0.1349763,1.036272,0.04063247
2.070435,0.1350839,1.036224,0.04046126
2.072998,0.1350318,1.036263,0.04041708
2.081848,0.1348174,1.036402,0.04025739
