Time, X, Y, Z
13.3396,-0.2652593,0.8914197,0.1591799
14.00427,-0.2378424,0.9010447,0.1652438
14.00427,-0.2074246,0.9096286,0.1436823
21.73962,-0.2432044,0.9411024,0.2577431
26.07959,-0.09451243,0.8981134,0.04917645
29.29968,-0.1005661,0.9005013,0.08186261
30.95959,-0.1866256,0.9461508,0.1610109
33.01965,-0.1780216,0.9480326,0.1879204
37.12744,-0.1519911,0.9207236,0.04290874
45.0116,-0.1446505,0.9167459,0.09792797
51.77966,-0.1211601,0.919818,0.1583768
53.99963,-0.2057204,0.9238167,0.1451419
56.09961,-0.1801526,0.9096187,0.1426093
59.95959,-0.2126376,0.9101277,0.1766206
62.59961,-0.2523051,0.8964254,0.1605176
65.29968,-0.2053932,0.8950809,0.1444339
68.01965,-0.2556848,0.8860154,0.1844352
70.57959,-0.2063859,0.9088169,0.1888323
73.11963,-0.2234911,0.891213,0.1619986
75.77966,-0.1754889,0.89329,0.1719846
92.99963,-0.2230196,0.8860809,0.1293349
95.53967,-0.2619602,0.9227463,0.2024819
98.29968,-0.2080879,0.8893977,0.1542755
100.9996,-0.2203555,0.9292898,0.1983313
104.4596,-0.2013713,0.894623,0.1356167
106.7396,-0.2096913,0.916335,0.2172331
109.3396,-0.2173333,0.8874175,0.1532047
111.2797,-0.1713928,0.9386955,0.155821
113.9197,-0.2172399,0.8819801,0.155433
116.4796,-0.1645288,0.8745967,0.1600919
118.9596,-0.252582,0.9062051,0.2269133
121.3396,-0.1773285,0.8960903,0.1391945
123.6196,-0.2044563,0.9337047,0.188873
126.1797,-0.2334218,0.8746133,0.1904908
128.9397,-0.2298434,0.9108363,0.1751218
131.0397,-0.1773102,0.9042668,0.1729992
133.2997,-0.246755,0.8950105,0.1796649
135.4397,-0.1672799,0.9053324,0.1782539
137.6597,-0.2416353,0.8753754,0.1541623
140.3796,-0.1514574,0.8513338,0.141169
142.2596,-0.1954108,0.9412778,0.1577472
145.1797,-0.1440306,0.8910831,0.1700697
147.6597,-0.2273784,0.8730208,0.1867434
163.6597,-0.1482687,0.8984656,0.1740252
165.4996,-0.2503483,0.8946428,0.1684346
167.6996,-0.1717674,0.8663785,0.2094261
170.0397,-0.2059939,0.9117003,0.1789207
172.8596,-0.185612,0.8605985,0.200543
175.3396,-0.2089753,0.8744111,0.188699
196.8596,-0.1505385,0.8942972,0.207171
199.8796,-0.2244923,0.9145067,0.1340013
201.5597,-0.2014133,0.9045268,0.1736429
205.5197,-0.2289661,0.8954802,0.157011
207.4197,-0.2762101,0.9324448,0.1959472
209.6996,-0.2331882,0.9060353,0.1331918
212.3396,-0.1566803,0.8764142,0.191692
215.3196,-0.2352142,0.8829165,0.1741985
217.1797,-0.1711016,0.9215663,0.213483
219.4996,-0.2196034,0.9049023,0.2106978
222.4596,-0.1734568,0.8858472,0.1269315
224.4397,-0.272164,0.9106186,0.16271
226.9596,-0.2057033,0.8828918,0.1581072
229.0796,-0.2276966,0.9098594,0.2097406
231.1196,-0.1968624,0.8942047,0.1710224
