Time, X, Y, Z
13.3396,-0.2193201,0.86,0.1552306
14.00427,-0.1755149,0.86,0.1864097
14.00427,-0.1701884,0.86,0.1419842
21.73962,-0.1904866,0.86,0.2030879
26.07959,-0.1508538,0.86,0.2001403
29.29968,-0.1902507,0.86,0.1792648
30.95959,-0.1637854,0.86,0.1492362
33.01965,-0.1724834,0.86,0.1956143
37.12744,-0.1641817,0.86,0.1432694
45.0116,-0.1960931,0.86,0.1978002
51.77966,-0.1556084,0.86,0.1984629
53.99963,-0.1915863,0.86,0.136609
56.09961,-0.1636431,0.86,0.1615317
59.95959,-0.2155929,0.86,0.1677228
62.59961,-0.1889043,0.86,0.2030814
65.29968,-0.1873014,0.86,0.1411216
68.01965,-0.2162957,0.86,0.1637184
70.57959,-0.1608266,0.86,0.1548943
73.11963,-0.1940075,0.86,0.1752187
75.77966,-0.1518616,0.86,0.1737712
92.99963,-0.2130212,0.86,0.1399184
95.53967,-0.2149204,0.86,0.176464
98.29968,-0.1649384,0.86,0.1863208
100.9996,-0.217402,0.86,0.1856047
104.4596,-0.1833209,0.86,0.1370124
106.7396,-0.1953848,0.86,0.2081344
109.3396,-0.1998902,0.86,0.1583814
111.2797,-0.215428,0.86,0.2060105
113.9197,-0.1974243,0.86,0.1605493
116.4796,-0.1595099,0.86,0.152188
118.9596,-0.2068764,0.86,0.1950669
121.3396,-0.1842021,0.86,0.1399097
123.6196,-0.2146683,0.86,0.2003239
126.1797,-0.1755181,0.86,0.1723185
128.9397,-0.2066419,0.86,0.1463299
131.0397,-0.1554741,0.86,0.174535
133.2997,-0.2212269,0.86,0.1921676
135.4397,-0.153561,0.86,0.195232
137.6597,-0.2159944,0.86,0.153188
140.3796,-0.1530524,0.86,0.1452339
142.2596,-0.1930513,0.86,0.1821722
145.1797,-0.1518496,0.86,0.1763519
147.6597,-0.2123741,0.86,0.1955245
163.6597,-0.154316,0.86,0.1635083
165.4996,-0.2114837,0.86,0.1765985
167.6996,-0.1657192,0.86,0.2093666
170.0397,-0.2071867,0.86,0.1661587
172.8596,-0.1507859,0.86,0.1884561
175.3396,-0.2184779,0.86,0.2001514
196.8596,-0.1512863,0.86,0.2057474
199.8796,-0.2231996,0.86,0.1361768
201.5597,-0.1739249,0.86,0.1675751
205.5197,-0.2087212,0.86,0.1853867
207.4197,-0.173695,0.86,0.1716664
209.6996,-0.210272,0.86,0.1410165
212.3396,-0.1665675,0.86,0.1786981
215.3196,-0.2159039,0.86,0.175496
217.1797,-0.1545332,0.86,0.1808186
219.4996,-0.20333,0.86,0.1964492
222.4596,-0.1723269,0.86,0.1468145
224.4397,-0.2200998,0.86,0.1534446
226.9596,-0.1663516,0.86,0.1679851
229.0796,-0.2083111,0.86,0.1919657
231.1196,-0.1654183,0.86,0.1840181
