Time, X, Y, Z
0.006591797,-0.09001534,0.9269377,-0.1208282
0.0177002,-0.09045005,0.9270812,-0.1207838
0.01965332,-0.09053399,0.9271087,-0.1207701
0.02893066,-0.09089878,0.9272472,-0.1207714
0.03967285,-0.09111424,0.9273534,-0.1207422
0.0402832,-0.09111503,0.9273543,-0.1207419
0.05163574,-0.09116991,0.9274788,-0.1206421
0.05969238,-0.09110034,0.9275342,-0.1206359
0.06542969,-0.09103422,0.9275419,-0.1205415
0.07348633,-0.09104739,0.9275427,-0.1202902
0.07958984,-0.09103887,0.9275098,-0.1201567
0.08435059,-0.0911583,0.9274253,-0.1200556
0.09558105,-0.09117343,0.9272945,-0.1197893
0.09960938,-0.09119998,0.9272525,-0.1196968
0.1065674,-0.09143615,0.9271641,-0.1195962
0.1175537,-0.09153549,0.9271957,-0.1193767
0.1196289,-0.09150784,0.9272293,-0.1193241
0.1287842,-0.09132151,0.9273309,-0.1191052
0.1396484,-0.09120233,0.9273461,-0.1188274
0.1400146,-0.09119318,0.9273506,-0.1188091
0.151001,-0.09112421,0.9274462,-0.1184873
0.159668,-0.09113114,0.9275073,-0.1183451
0.1622314,-0.09110691,0.9275302,-0.1183114
0.1732178,-0.09106417,0.9275623,-0.1182687
0.1796875,-0.09108306,0.9275854,-0.1182517
0.1843262,-0.09113369,0.9275897,-0.1182319
0.1953125,-0.09122126,0.9276029,-0.1181519
0.199585,-0.09121037,0.9276073,-0.1181432
0.206665,-0.09118596,0.9276423,-0.1182323
0.2196045,-0.09127,0.9276263,-0.1183268
0.2208252,-0.0912853,0.9276196,-0.1183334
0.2287598,-0.09139202,0.9275725,-0.1183786
0.2390137,-0.0915726,0.9274847,-0.1183509
0.239624,-0.09157281,0.9274282,-0.1182925
0.2501221,-0.09179626,0.9272704,-0.1181234
0.2596436,-0.09190261,0.9270934,-0.1181001
0.2611084,-0.09196104,0.9270266,-0.1180682
0.2720947,-0.09220779,0.9268889,-0.1179951
0.2796631,-0.0924909,0.926681,-0.1179321
0.2832031,-0.09256019,0.9265047,-0.1179307
0.2943115,-0.09272423,0.9261438,-0.1179272
0.2996826,-0.09279928,0.9258323,-0.1178941
0.3054199,-0.09285997,0.9252841,-0.1180416
0.3165283,-0.09294721,0.9246121,-0.1182837
0.3197021,-0.09298936,0.9244015,-0.1182689
0.3276367,-0.0930689,0.9237177,-0.1182812
0.3388672,-0.093086,0.9230972,-0.1182395
0.3395996,-0.093045,0.9231153,-0.1182739
0.3499756,-0.09298931,0.9225318,-0.1182327
0.3596191,-0.09288505,0.9221048,-0.1182619
0.3612061,-0.0927742,0.9221749,-0.1183295
0.3758545,-0.09263843,0.921791,-0.1186121
0.3796387,-0.09261642,0.9216573,-0.1187011
0.3833008,-0.09266627,0.9215907,-0.1188805
0.394043,-0.09272136,0.921458,-0.1191163
0.3996582,-0.09224521,0.9217458,-0.1192746
0.4053955,-0.09202135,0.9219881,-0.1193402
0.4162598,-0.0917556,0.9222609,-0.1193967
0.4196777,-0.09177606,0.9221767,-0.1194517
0.4273682,-0.0917653,0.9220309,-0.1194578
0.4384766,-0.09180596,0.9217724,-0.1193469
0.4396973,-0.09190714,0.9217236,-0.1193118
0.4498291,-0.09221245,0.9213126,-0.1191596
0.4595947,-0.09270934,0.9210554,-0.1183996
0.4606934,-0.09275003,0.9210206,-0.1183337
0.4718018,-0.09316504,0.9207969,-0.1166685
0.4796143,-0.09381497,0.9208047,-0.1145185
0.4830322,-0.09452223,0.9209414,-0.1131915
0.4938965,-0.09558497,0.9211676,-0.1111107
0.4996338,-0.09677896,0.9219269,-0.1093532
0.505127,-0.09852855,0.9222347,-0.1072597
0.5162354,-0.1008057,0.9224596,-0.1047141
0.5196533,-0.1013594,0.9229468,-0.1038259
0.5285645,-0.1039082,0.9239154,-0.1005857
0.5384521,-0.1057634,0.9245984,-0.0982289
0.5396729,-0.1063024,0.9249485,-0.09768572
0.5499268,-0.1105428,0.9268075,-0.09334826
