Time, X, Y, Z
15.83997,-0.2263974,0.8986385,0.1466644
23.06,-0.1718767,0.8969916,0.1502791
29.26001,-0.1619467,0.8994401,0.221315
34.07996,-0.2344915,0.8968934,0.1568949
38.89996,-0.1626416,0.9116805,0.1531057
42.17999,-0.2333203,0.8986183,0.1994286
47.51996,-0.2348154,0.8815842,0.2238519
55.41998,-0.2024637,0.8995102,0.1481809
59.63995,-0.1951803,0.9087222,0.1740622
67.83997,-0.1334342,0.9240944,0.1302146
74.62,-0.1919351,0.908626,0.1774024
81.53998,-0.1458085,0.9077039,0.1706387
86.82001,-0.2166903,0.898098,0.1780309
92.94,-0.160953,0.8937864,0.1559458
97.5,-0.2375338,0.8958858,0.1817847
118.96,-0.1773095,0.8968485,0.1348839
120.7343,-0.1406766,0.9202882,0.158686
124.0117,-0.1836865,0.9194081,0.1822068
128.42,-0.1862128,0.9014452,0.1753075
131.7611,-0.1595679,0.90341,0.1077007
135.0827,-0.1721129,0.9125772,0.1219351
139.6,-0.1752035,0.897028,0.1684588
142.4,-0.1908069,0.8941144,0.157256
145.9223,-0.1606819,0.9002327,0.1459227
149.6,-0.1860147,0.9151368,0.1653177
153.02,-0.1559259,0.9211046,0.1921667
155.885,-0.212954,0.8824196,0.2089754
160.9199,-0.1670852,0.9095332,0.2066774
164.6,-0.2128054,0.9369018,0.1147
169.2445,-0.1463128,0.895673,0.1586382
172.2668,-0.2130452,0.9131298,0.1405322
176.7842,-0.2254464,0.9048701,0.09278364
185.36,-0.1703425,0.911525,0.1610023
188.6703,-0.188635,0.9191481,0.1195533
193,-0.2496093,0.9050828,0.1957835
195.1224,-0.2105354,0.9092276,0.1051343
200.74,-0.2178064,0.9050012,0.167804
205,-0.2000355,0.9057943,0.2260162
208.62,-0.1760637,0.8927679,0.1898901
210.8199,-0.1885421,0.9100384,0.1245931
214.86,-0.2229009,0.9125653,0.1728528
217.3199,-0.2195995,0.8963143,0.1745757
222.8518,-0.2083625,0.917698,0.1246905
246.2999,-0.1556662,0.9061173,0.1624819
250.6799,-0.1341391,0.9113778,0.008919168
257.4399,-0.177963,0.8950627,0.1933912
266.2542,-0.07746393,0.9286377,0.05250645
272.38,-0.2102175,0.9016799,0.1864372
276.8667,-0.05654016,0.8971729,0.03142733
280.74,-0.06961969,0.9151757,0.08648209
285.52,-0.2200179,0.8824127,0.1580018
290.28,-0.1786766,0.9034405,0.183202
294.88,-0.1954493,0.8895643,0.185939
298.7999,-0.1973515,0.9010937,0.1551927
302.88,-0.1871028,0.8868816,0.1937914
305.4399,-0.09202668,0.9240505,0.06367799
309.6,-0.1955504,0.9071887,0.1805057
313.66,-0.2198955,0.8929486,0.1925187
317,-0.1859387,0.9000327,0.1758289
320.96,-0.1968115,0.9186054,0.1956415
327.6799,-0.2446668,0.8881209,0.1971263
353.4,-0.1855653,0.8890569,0.1788305
382.8912,-0.03673474,0.8899777,0.09985964
385.64,-0.06873371,0.905979,0.06609746
413.3685,-0.1712086,0.9090532,0.1717327
421.4847,-0.09911644,0.8858145,-0.01074296
437.5885,-0.1945389,0.9130349,0.1374486
440.7753,-0.08125418,0.9360775,0.1175922
445.0071,-0.1703195,0.9192603,0.1696712
447.8853,-0.1581892,0.915581,0.1251933
453.6376,-0.2050192,0.895144,0.1076081
463.74,-0.1624462,0.9072642,0.02039726
468.64,-0.1677931,0.8922834,0.1563819
472.1169,-0.2234615,0.9196793,0.1213219
477.5,-0.1796257,0.8820612,0.1572843
481.1599,-0.2089416,0.8958259,0.148284
485.411,-0.1657718,0.8828827,0.1013205
490.0642,-0.2127538,0.8843631,0.1513572
494.1,-0.1780425,0.9054639,0.1664107
497.6279,-0.2224771,0.8919728,0.1679014
501.96,-0.1598397,0.9181846,0.1878626
507.3235,-0.1973513,0.9196538,0.1431914
512.36,-0.1262139,0.9013053,0.1759789
515.4307,-0.2064126,0.8634377,0.1947583
524.6599,-0.2164354,0.9030929,0.1528195
528.0599,-0.2124972,0.8809421,0.1825453
534.62,-0.2285839,0.8991943,0.2061845
537.72,-0.1704348,0.9119462,0.1867788
539.7205,-0.1921502,0.9000466,0.1578249
543.4199,-0.219986,0.8712197,0.1653895
546.4399,-0.235625,0.8676921,0.2486572
552.7799,-0.2333362,0.9055894,0.1931777
