Time, X, Y, Z
15.83997,-0.2241338,0.86,0.1434676
23.06,-0.1620515,0.86,0.1554352
29.26001,-0.1532963,0.86,0.2000314
34.07996,-0.2225761,0.86,0.1660936
38.89996,-0.1627605,0.86,0.1436384
42.17999,-0.210742,0.86,0.1939881
47.51996,-0.1718628,0.86,0.2005423
55.41998,-0.2068146,0.86,0.1424868
59.63995,-0.2116709,0.86,0.1959625
67.83997,-0.1508535,0.86,0.1540863
74.62,-0.1942502,0.86,0.1786822
81.53998,-0.1578661,0.86,0.1883455
86.82001,-0.2025612,0.86,0.1626901
92.94,-0.1641378,0.86,0.150705
97.5,-0.2214467,0.86,0.1775206
118.96,-0.1790437,0.86,0.1375964
120.7343,-0.2079293,0.86,0.2099738
124.0117,-0.156608,0.86,0.2009324
128.42,-0.1889941,0.86,0.1642349
131.7611,-0.1501922,0.86,0.1595955
135.0827,-0.2167242,0.86,0.1488894
139.6,-0.1896432,0.86,0.1772401
142.4,-0.1649175,0.86,0.1372582
145.9223,-0.1865824,0.86,0.2088397
149.6,-0.1786272,0.86,0.1618762
153.02,-0.1535392,0.86,0.2014279
155.885,-0.2095498,0.86,0.1833256
160.9199,-0.1718583,0.86,0.1879412
164.6,-0.2124501,0.86,0.1565116
169.2445,-0.1618189,0.86,0.1929812
172.2668,-0.2130855,0.86,0.2047119
176.7842,-0.1989041,0.86,0.1625437
185.36,-0.1528378,0.86,0.1528146
188.6703,-0.2106082,0.86,0.1457225
193,-0.2189677,0.86,0.2044881
195.1224,-0.1816892,0.86,0.1797839
200.74,-0.1937025,0.86,0.1462634
205,-0.187395,0.86,0.1991709
208.62,-0.1515716,0.86,0.1439346
210.8199,-0.2156078,0.86,0.1588491
214.86,-0.1575924,0.86,0.1936039
217.3199,-0.2128948,0.86,0.1821711
222.8518,-0.1906307,0.86,0.1409807
246.2999,-0.1705539,0.86,0.1903492
250.6799,-0.2244312,0.86,0.1531679
257.4399,-0.1854988,0.86,0.1716084
266.2542,-0.155323,0.86,0.1420398
272.38,-0.2162302,0.86,0.1801622
276.8667,-0.2189761,0.86,0.1401194
280.74,-0.1932604,0.86,0.1669171
285.52,-0.2224124,0.86,0.1882592
290.28,-0.1730482,0.86,0.1497688
294.88,-0.1923995,0.86,0.1947574
298.7999,-0.1991866,0.86,0.1368494
302.88,-0.1780596,0.86,0.1935538
305.4399,-0.2096654,0.86,0.1659166
309.6,-0.1853762,0.86,0.1357437
313.66,-0.2163678,0.86,0.2099341
317,-0.2138158,0.86,0.1676672
320.96,-0.1634233,0.86,0.1638288
327.6799,-0.189637,0.86,0.2091848
353.4,-0.1595766,0.86,0.1744987
382.8912,-0.177577,0.86,0.2058193
385.64,-0.192204,0.86,0.168156
413.3685,-0.1811042,0.86,0.2063109
421.4847,-0.1797711,0.86,0.1690199
437.5885,-0.2126451,0.86,0.2097777
440.7753,-0.1600433,0.86,0.139888
445.0071,-0.1707853,0.86,0.18959
447.8853,-0.2184203,0.86,0.2026761
453.6376,-0.2077056,0.86,0.147027
463.74,-0.2105965,0.86,0.1939442
468.64,-0.1706133,0.86,0.1702435
472.1169,-0.2086077,0.86,0.1723193
477.5,-0.1820565,0.86,0.141078
481.1599,-0.2192025,0.86,0.1713434
485.411,-0.1531175,0.86,0.1734654
490.0642,-0.189541,0.86,0.1851894
494.1,-0.1656107,0.86,0.1572876
497.6279,-0.2177103,0.86,0.1716816
501.96,-0.1806833,0.86,0.1699061
507.3235,-0.1941097,0.86,0.2089144
512.36,-0.1755161,0.86,0.146846
515.4307,-0.1835884,0.86,0.1845877
524.6599,-0.2112193,0.86,0.1467223
528.0599,-0.1739562,0.86,0.1756566
534.62,-0.2175218,0.86,0.2004889
537.72,-0.1599637,0.86,0.1488907
539.7205,-0.1541364,0.86,0.1943109
543.4199,-0.2071769,0.86,0.1552688
546.4399,-0.1759088,0.86,0.179272
552.7799,-0.2229739,0.86,0.2057236
