Time, X, Y, Z
0,-0.06416953,1.089359,-0.04387042
0.006164551,-0.06406446,1.089318,-0.04353327
0.01733398,-0.06399389,1.089312,-0.04310009
0.0199585,-0.0639994,1.089293,-0.04303041
0.02990723,-0.06395105,1.089232,-0.0426449
0.03930664,-0.06397202,1.089206,-0.04246932
0.03997803,-0.0639792,1.089186,-0.04244713
0.05041504,-0.06400148,1.089019,-0.04211952
0.05999756,-0.06406984,1.08894,-0.04182264
0.06152344,-0.06408,1.088925,-0.04177698
0.0725708,-0.0643174,1.088646,-0.04147246
0.07995605,-0.06453979,1.088506,-0.04088125
0.08398438,-0.06469262,1.088405,-0.04047592
0.09527588,-0.06470522,1.088531,-0.03976338
0.09997559,-0.06465235,1.088677,-0.03942429
0.1063843,-0.06458405,1.088896,-0.0388675
0.1176758,-0.0643306,1.089194,-0.0380691
0.1199951,-0.06420138,1.089109,-0.03786659
0.1289673,-0.06372379,1.088908,-0.03702754
0.1399536,-0.06377425,1.088634,-0.03604952
0.1403809,-0.06377251,1.088623,-0.03601032
0.1516724,-0.06385583,1.08811,-0.03554696
0.1599731,-0.06415404,1.087484,-0.03498222
0.1629028,-0.06427728,1.087212,-0.03472975
0.1743774,-0.06436922,1.08697,-0.03429016
0.1799927,-0.06461755,1.086738,-0.0340846
0.1885986,-0.06513467,1.086295,-0.03369696
0.1962891,-0.06553666,1.085974,-0.03343913
0.1999512,-0.06581245,1.085818,-0.03317598
0.2068481,-0.06636713,1.085464,-0.03272489
0.2181396,-0.06735905,1.084863,-0.03175817
0.2199707,-0.06755827,1.084847,-0.03157419
0.229187,-0.06859849,1.08449,-0.03063959
0.2399902,-0.06979087,1.084118,-0.02944316
0.2401733,-0.06979408,1.084117,-0.02944005
0.2516479,-0.07074559,1.083906,-0.02842262
0.2600098,-0.07175272,1.083381,-0.02760869
0.2625732,-0.07215522,1.083185,-0.02726704
0.2736206,-0.07332319,1.082641,-0.02658315
0.2799683,-0.07408486,1.082369,-0.0262062
0.2848511,-0.07479673,1.082098,-0.02584165
0.2957153,-0.07574844,1.081882,-0.02538849
0.2999878,-0.07619716,1.081788,-0.02514684
0.3069458,-0.07704875,1.081606,-0.02469268
0.3179321,-0.07812028,1.081432,-0.02437662
0.3200073,-0.07828698,1.081379,-0.02426477
0.3292236,-0.07915031,1.081094,-0.02378142
0.3399658,-0.08019699,1.080782,-0.02328053
0.3430786,-0.08048122,1.080671,-0.02314252
0.3510132,-0.08105738,1.080814,-0.02290429
0.3599854,-0.08185509,1.08113,-0.02245738
0.3625488,-0.08217556,1.081256,-0.02227651
0.3737183,-0.0830487,1.081233,-0.02201918
0.3800049,-0.08347566,1.081312,-0.0218523
0.3845825,-0.0838608,1.081337,-0.0217282
0.3956909,-0.08468875,1.081006,-0.02159546
0.3999634,-0.08493303,1.081017,-0.02154985
0.4069214,-0.08540757,1.081004,-0.02147022
0.4177856,-0.08634044,1.081263,-0.02102849
0.4199829,-0.0865971,1.081222,-0.02093682
0.4289551,-0.08775549,1.081116,-0.0205352
0.4400024,-0.08890164,1.080869,-0.01993541
0.4400024,-0.08890195,1.080869,-0.01993527
0.451416,-0.09007848,1.080702,-0.01947722
0.4599609,-0.09113161,1.080652,-0.01919965
0.4624023,-0.09156271,1.080626,-0.01908356
0.4735107,-0.09303104,1.080475,-0.01856032
0.4799805,-0.09396571,1.080285,-0.01840428
0.4846802,-0.09478653,1.080114,-0.01827171
0.4993896,-0.09682694,1.079549,-0.01788889
0.5,-0.09694304,1.079524,-0.01786602
0.5066528,-0.09812692,1.079203,-0.01764257
0.5175171,-0.09948388,1.078777,-0.01725996
0.5199585,-0.09980853,1.078758,-0.0171299
0.5286255,-0.1010656,1.078788,-0.0165647
0.5396118,-0.1022706,1.07851,-0.01635194
0.539978,-0.1023152,1.078498,-0.01634434
0.5508423,-0.1034126,1.078433,-0.01660472
0.5599976,-0.1046463,1.078561,-0.01665685
0.5620728,-0.1049228,1.078592,-0.01667108
0.572998,-0.106432,1.078957,-0.01643251
0.5799561,-0.1074207,1.07935,-0.01613945
0.5841675,-0.1081354,1.079653,-0.0159108
0.595459,-0.1097202,1.08006,-0.01541966
0.5999756,-0.1104072,1.080424,-0.01515387
0.6063843,-0.1115172,1.081105,-0.01469956
0.6175537,-0.1127777,1.081848,-0.01410767
0.6199951,-0.1131625,1.081941,-0.01394317
0.628479,-0.1147533,1.082184,-0.01328234
0.6397705,-0.1162046,1.082283,-0.01277371
0.6399536,-0.1162303,1.082285,-0.01276466
0.6521606,-0.11843,1.082177,-0.01240431
0.6599731,-0.1198598,1.081969,-0.01253694
0.6618652,-0.1202062,1.081922,-0.01255473
0.6732178,-0.1215121,1.082424,-0.0128361
0.6799927,-0.1224883,1.082627,-0.01292534
0.684082,-0.1232429,1.082759,-0.01298037
0.6950684,-0.1247243,1.082983,-0.01330744
0.6999512,-0.1255424,1.082866,-0.01341002
0.7062378,-0.126794,1.082594,-0.01353067
0.7176514,-0.1285049,1.08171,-0.01419012
0.7199707,-0.1288703,1.081535,-0.0143453
0.7285767,-0.130321,1.080848,-0.01500836
0.739563,-0.1317276,1.080514,-0.01489992
0.7399902,-0.131787,1.0805,-0.01489472
0.7506714,-0.1331334,1.081001,-0.0145158
0.7600098,-0.1343548,1.081448,-0.01366492
0.7619019,-0.1345963,1.081537,-0.01349337
0.7730103,-0.13545,1.082008,-0.01336753
0.7799683,-0.1359547,1.082466,-0.01343518
0.7841797,-0.1363194,1.082838,-0.01350826
0.7953491,-0.136804,1.083457,-0.0141007
0.7999878,-0.1370122,1.083682,-0.01445691
0.8081665,-0.1374404,1.084098,-0.0152954
0.8171997,-0.138023,1.083483,-0.0161466
0.8200073,-0.1381874,1.083319,-0.01641127
0.8283691,-0.1386249,1.082809,-0.01709306
0.8396606,-0.1388701,1.082421,-0.01804766
0.8399658,-0.1388769,1.08241,-0.01807648
0.850708,-0.1394069,1.082828,-0.019008
0.8599854,-0.1397159,1.083213,-0.01983523
0.8620605,-0.1397834,1.0833,-0.0200188
0.873291,-0.1399304,1.083817,-0.02099729
0.8800049,-0.1402288,1.084189,-0.02141298
0.8845825,-0.1404887,1.084509,-0.02172388
0.8961792,-0.1403948,1.085269,-0.02243204
0.8999634,-0.1403945,1.085574,-0.02264714
0.9069214,-0.1403689,1.086226,-0.02308534
0.9182129,-0.1406308,1.086561,-0.0235533
0.9199829,-0.1406661,1.086614,-0.02365144
0.9295654,-0.1409595,1.086731,-0.02420317
0.9400024,-0.1413742,1.086948,-0.02467081
0.9406738,-0.1414071,1.086984,-0.02469996
0.9520874,-0.1417627,1.087314,-0.02506261
0.9599609,-0.1420635,1.087476,-0.02527483
0.9654541,-0.1423131,1.08764,-0.0254304
0.9743042,-0.1422903,1.087938,-0.02571653
0.9799805,-0.1422759,1.088142,-0.02580406
0.9852295,-0.1422599,1.088365,-0.02588065
0.99646,-0.1423113,1.088716,-0.0259297
1,-0.1423102,1.088851,-0.0259535
1.007874,-0.1422891,1.089175,-0.02609427
1.018738,-0.141802,1.089856,-0.02637835
1.019958,-0.1417467,1.089931,-0.02642025
1.029785,-0.1411513,1.09115,-0.02668352
1.039978,-0.1408729,1.092261,-0.02699715
1.040833,-0.1408446,1.092368,-0.02702644
1.052063,-0.1403684,1.093645,-0.02740325
1.059998,-0.1401159,1.094141,-0.02781543
1.063232,-0.1399897,1.094352,-0.02804337
1.074524,-0.1399723,1.094488,-0.02870585
1.079956,-0.1400454,1.094587,-0.02897176
1.085266,-0.1401653,1.094711,-0.02925844
1.096313,-0.14016,1.095038,-0.03018191
1.099976,-0.1401009,1.095034,-0.03052217
1.107544,-0.1399102,1.094892,-0.03133972
1.119995,-0.1395688,1.094221,-0.03277098
1.12085,-0.1395351,1.094165,-0.03287029
1.129761,-0.139397,1.093478,-0.03365305
1.139954,-0.1394717,1.092897,-0.03448488
1.141052,-0.1395037,1.092803,-0.034642
1.152161,-0.139781,1.092395,-0.03521998
1.159973,-0.1397748,1.092307,-0.03571033
1.163269,-0.1397417,1.092301,-0.03598388
1.174255,-0.139701,1.092213,-0.03677166
1.179993,-0.1396237,1.092098,-0.03727257
1.185181,-0.1395238,1.091961,-0.03783636
1.196411,-0.1391558,1.091856,-0.0387816
1.199951,-0.1390538,1.091856,-0.0390517
1.207458,-0.1388476,1.091962,-0.0395681
1.218933,-0.1386181,1.092115,-0.04014271
1.219971,-0.1385976,1.092141,-0.04019687
1.229797,-0.1383072,1.092222,-0.04077353
1.23999,-0.1381569,1.09227,-0.04133241
1.241028,-0.1381378,1.092273,-0.04140058
1.251709,-0.1379959,1.092192,-0.04197712
1.26001,-0.13775,1.092001,-0.0426214
1.263062,-0.1376301,1.091884,-0.04294732
1.277222,-0.1371248,1.091136,-0.0439869
1.279968,-0.1369247,1.090965,-0.04420643
1.285156,-0.1365254,1.090594,-0.04468285
1.29541,-0.1355941,1.090132,-0.04550129
1.299988,-0.1351167,1.089941,-0.04585645
1.306641,-0.1341483,1.089624,-0.04645859
1.317688,-0.1328864,1.088791,-0.04697686
1.320007,-0.1325786,1.088545,-0.04709534
1.328735,-0.1315657,1.087173,-0.04750326
1.339905,-0.1309765,1.08474,-0.04822579
1.339966,-0.1309737,1.084724,-0.04823057
1.350769,-0.1295865,1.081898,-0.04915829
1.359985,-0.1284565,1.079841,-0.04955374
1.361877,-0.1282207,1.079412,-0.04960208
1.372986,-0.1267927,1.077669,-0.05025107
1.380005,-0.1257742,1.076204,-0.05088988
1.384155,-0.1249967,1.074865,-0.0514292
1.395508,-0.1229164,1.072989,-0.0520397
1.399963,-0.1219968,1.072114,-0.05229482
1.40625,-0.1208861,1.070047,-0.05282734
1.41748,-0.1193809,1.066641,-0.05364136
1.419983,-0.1190161,1.065745,-0.05386335
1.430054,-0.1179234,1.061099,-0.05494627
1.439758,-0.1173248,1.057741,-0.05527534
1.440002,-0.1173089,1.057649,-0.05528277
1.45105,-0.1170845,1.052983,-0.0554202
1.459961,-0.1172988,1.049462,-0.05574389
1.462036,-0.1173698,1.048646,-0.05585623
1.473083,-0.1179845,1.04517,-0.05644238
1.47998,-0.1183352,1.043241,-0.0567794
1.484192,-0.1185285,1.042013,-0.05696063
1.495361,-0.119181,1.039633,-0.05707763
1.5,-0.1195289,1.038566,-0.05706796
1.506226,-0.120054,1.037288,-0.05691785
1.517273,-0.120879,1.035882,-0.05636312
1.519958,-0.121114,1.035551,-0.05616906
1.528564,-0.1221024,1.034654,-0.05525896
1.539856,-0.1233229,1.034084,-0.05430087
1.539978,-0.1233382,1.034079,-0.05428931
1.550964,-0.1248661,1.033985,-0.05306086
1.559998,-0.1259506,1.034269,-0.05222368
1.562073,-0.1262029,1.03436,-0.05206099
1.573242,-0.1274697,1.035205,-0.05125856
1.579956,-0.1282192,1.036107,-0.05072665
1.585938,-0.1288894,1.037375,-0.05016935
1.595215,-0.1299704,1.039044,-0.04934509
1.599976,-0.1306085,1.040124,-0.04882067
1.606323,-0.1311951,1.041607,-0.04811567
1.617676,-0.1319114,1.044109,-0.04740505
1.619995,-0.1320836,1.044701,-0.04729301
1.628601,-0.1333963,1.047072,-0.04679391
1.639832,-0.1346556,1.049695,-0.04639959
1.639954,-0.1346695,1.049727,-0.04639566
1.651062,-0.1358822,1.052912,-0.04572596
1.659973,-0.1368665,1.05545,-0.04479408
1.662354,-0.137115,1.056161,-0.04452518
1.673645,-0.1377299,1.058916,-0.04405716
1.679993,-0.1380629,1.060559,-0.04385336
1.684814,-0.1383851,1.062172,-0.04358084
1.69574,-0.1390239,1.064596,-0.04320741
1.699951,-0.1392846,1.06558,-0.0430657
1.707092,-0.1396136,1.067161,-0.04292172
1.71814,-0.1401755,1.0684,-0.04295053
1.719971,-0.1402797,1.068574,-0.0429644
1.729553,-0.1404515,1.069856,-0.04309899
1.73999,-0.1401254,1.071094,-0.04323311
1.74292,-0.1400007,1.071432,-0.04326682
1.751892,-0.1393077,1.072324,-0.04336585
1.76001,-0.1386365,1.072965,-0.04351111
1.762512,-0.1383548,1.073141,-0.04358552
1.77356,-0.137204,1.073618,-0.0438683
