Time, X, Y, Z
0,0.05878831,1.108268,-0.01997393
0.006164551,0.05894758,1.107965,-0.01965144
0.01733398,0.05896806,1.107556,-0.01924299
0.0199585,0.05898919,1.107389,-0.01912107
0.02990723,0.05909818,1.106787,-0.01861759
0.03930664,0.05927273,1.105995,-0.01814418
0.03997803,0.05934559,1.105906,-0.01808742
0.05041504,0.06002849,1.10472,-0.01735476
0.05999756,0.06074982,1.103639,-0.0168225
0.06152344,0.06086035,1.103469,-0.01673709
0.0725708,0.06214919,1.101959,-0.01597071
0.07995605,0.06323321,1.100619,-0.01572594
0.08398438,0.06401575,1.099663,-0.01553406
0.09527588,0.06477325,1.098936,-0.01395704
0.09997559,0.06511626,1.098451,-0.01320045
0.1063843,0.06571343,1.097702,-0.0120199
0.1176758,0.06675084,1.096087,-0.01094851
0.1199951,0.06709161,1.095582,-0.0106899
0.1289673,0.06845338,1.093543,-0.009550482
0.1399536,0.06929624,1.092112,-0.007685423
0.1403809,0.06933544,1.092046,-0.007612944
0.1516724,0.06968994,1.091183,-0.006974816
0.1599731,0.06951866,1.090875,-0.006429508
0.1629028,0.06947678,1.090695,-0.006163612
0.1743774,0.06907462,1.090569,-0.005483299
0.1799927,0.0690484,1.090431,-0.004916787
0.1885986,0.06885391,1.090083,-0.003766701
0.1962891,0.06871321,1.089815,-0.002883434
0.1999512,0.06894431,1.089364,-0.002336591
0.2068481,0.06919656,1.088609,-0.001233593
0.2181396,0.06958717,1.087968,-9.982288E-05
0.2199707,0.0696497,1.087905,8.817017E-05
0.229187,0.07003755,1.087304,0.001164109
0.2399902,0.07017862,1.086989,0.002162114
0.2401733,0.07017921,1.086988,0.002164885
0.2516479,0.07069596,1.086375,0.003071934
0.2600098,0.07108493,1.085895,0.003964141
0.2625732,0.07124358,1.085699,0.004328817
0.2736206,0.07184735,1.0851,0.005122289
0.2799683,0.0726561,1.084232,0.005610272
0.2848511,0.07333194,1.083504,0.006071299
0.2957153,0.07467549,1.082162,0.007002383
0.2999878,0.07488732,1.081818,0.007099018
0.3069458,0.07538132,1.081097,0.007386729
0.3179321,0.07559544,1.080901,0.007249147
0.3200073,0.07563604,1.080901,0.007130787
0.3292236,0.07586537,1.080782,0.006612659
0.3399658,0.075633,1.081223,0.006279081
0.3430786,0.0755951,1.081303,0.006169796
0.3510132,0.07562297,1.081304,0.0060011
0.3599854,0.07571376,1.08157,0.006091148
0.3625488,0.0757479,1.08168,0.00612399
0.3737183,0.07599345,1.082272,0.006407022
0.3800049,0.07610223,1.082591,0.006329045
0.3845825,0.07621256,1.082843,0.006254241
0.3956909,0.07626844,1.083489,0.005671427
0.3999634,0.07650385,1.083638,0.00544861
0.4069214,0.07691102,1.083948,0.00501661
0.4177856,0.07719908,1.084707,0.004481301
0.4199829,0.07731874,1.084857,0.004477873
0.4289551,0.07780679,1.085567,0.004379749
0.4400024,0.07822895,1.086056,0.004032448
0.4400024,0.07822904,1.086056,0.004032373
0.451416,0.07849208,1.08624,0.003734529
0.4599609,0.07874028,1.086531,0.0034284
0.4624023,0.07884236,1.086647,0.003304064
0.4735107,0.07927733,1.086819,0.003068417
0.4799805,0.07970209,1.086851,0.002859592
0.4846802,0.08007246,1.086875,0.002672836
0.4993896,0.08042098,1.087008,0.002590686
0.5,0.08050124,1.086961,0.002596453
0.5066528,0.08082438,1.086932,0.002568111
0.5175171,0.08090524,1.087236,0.002360985
0.5199585,0.08095165,1.087285,0.002325475
0.5286255,0.08116614,1.087483,0.002208322
0.5396118,0.08122376,1.087739,0.001883686
0.539978,0.08122546,1.087746,0.001872063
0.5508423,0.08126309,1.088203,0.00146322
0.5599976,0.08123334,1.088535,0.001406372
0.5620728,0.08122845,1.088612,0.001389191
0.572998,0.08135149,1.089076,0.001333371
0.5799561,0.08143591,1.089195,0.001145631
0.5841675,0.08150551,1.089266,0.0009900033
0.595459,0.08192273,1.089123,0.0007202476
0.5999756,0.08208977,1.089035,0.0006723404
0.6063843,0.08236706,1.08889,0.0006177574
0.6175537,0.08274039,1.088827,0.0002944618
0.6199951,0.08281661,1.088802,0.0002300441
0.628479,0.08309761,1.088691,-6.28829E-06
0.6397705,0.08332386,1.088713,-7.028878E-05
0.6399536,0.08332793,1.088714,-7.151067E-05
0.6521606,0.0835087,1.088956,-8.769333E-05
0.6599731,0.08354905,1.08938,0.000100404
0.6618652,0.0835636,1.089478,0.0001440942
0.6732178,0.08362733,1.089975,0.0006732941
0.6799927,0.08373852,1.090189,0.0009170473
0.684082,0.08383265,1.090334,0.00108996
0.6950684,0.08413775,1.0906,0.001577422
0.6999512,0.08427375,1.090685,0.001630545
0.7062378,0.08446539,1.090794,0.001627326
0.7176514,0.08476835,1.090897,0.001710489
0.7199707,0.08483905,1.090911,0.001770258
0.7285767,0.08515827,1.090931,0.00208424
0.739563,0.08518698,1.091144,0.002378911
0.7399902,0.08518799,1.091153,0.002391398
0.7506714,0.08519529,1.091268,0.002782524
0.7600098,0.0851404,1.091358,0.003206044
0.7619019,0.08513475,1.091377,0.003289253
0.7730103,0.08528008,1.091329,0.003279269
0.7799683,0.08541343,1.091211,0.003252611
0.7841797,0.08551486,1.091112,0.003234103
0.7953491,0.08603837,1.09088,0.003647059
0.7999878,0.08626739,1.090806,0.00387761
0.8081665,0.08669271,1.090728,0.004369706
0.8171997,0.08726393,1.090363,0.004994109
0.8200073,0.08748118,1.090223,0.005209848
0.8283691,0.08826832,1.08964,0.005970821
0.8396606,0.08923517,1.089285,0.007507116
0.8399658,0.0892639,1.089275,0.007554039
0.850708,0.09036101,1.088883,0.009192795
0.8599854,0.09131753,1.088437,0.01034419
0.8620605,0.09153114,1.088334,0.01060523
0.873291,0.09255665,1.087893,0.01195307
0.8800049,0.09320932,1.087694,0.01292592
0.8845825,0.0937875,1.087547,0.01373017
0.8961792,0.09489121,1.087407,0.01480597
0.8999634,0.09516728,1.087384,0.0151898
0.9069214,0.09571344,1.087336,0.0159618
0.9182129,0.09634825,1.087188,0.01670326
0.9199829,0.0964773,1.087173,0.01679984
0.9295654,0.09733872,1.087199,0.01721433
0.9400024,0.09814656,1.087501,0.01743345
0.9406738,0.09820987,1.087544,0.01745202
0.9520874,0.09894691,1.087946,0.01727426
0.9599609,0.09970184,1.088283,0.01713042
0.9654541,0.1003281,1.088596,0.01703976
0.9743042,0.1011728,1.08896,0.01668416
0.9799805,0.1017615,1.089043,0.01653741
0.9852295,0.1023998,1.089094,0.01639183
0.99646,0.1034825,1.08936,0.01621661
1,0.1038188,1.089495,0.01612537
1.007874,0.1046517,1.089869,0.01579222
1.018738,0.1055508,1.089917,0.01484014
1.019958,0.1056596,1.08991,0.01472023
1.029785,0.1064382,1.090096,0.01360422
1.039978,0.1071597,1.090019,0.01282531
1.040833,0.1072326,1.090006,0.01274806
1.052063,0.1080634,1.089805,0.01207104
1.059998,0.1086474,1.089659,0.01129699
1.063232,0.1089562,1.089583,0.01086086
1.074524,0.1095825,1.089303,0.009419084
1.079956,0.1098432,1.089197,0.008499965
1.085266,0.1101103,1.089088,0.007398635
1.096313,0.1103116,1.088674,0.005613223
1.099976,0.1103555,1.088543,0.004996851
1.107544,0.1103923,1.088299,0.003596306
1.119995,0.1102177,1.088333,0.001662791
1.12085,0.1102171,1.088329,0.0015257
1.129761,0.1101501,1.088513,0.0002757311
1.139954,0.1099281,1.088827,-0.001126856
1.141052,0.1098722,1.088904,-0.00139989
1.152161,0.1096974,1.089309,-0.002391592
1.159973,0.1096207,1.089685,-0.003167734
1.163269,0.1095838,1.089903,-0.003588155
