Time, X, Y, Z
0,-0.07827865,0.9423027,0.07619571
0,0.06510153,0.8999724,0.01741686
0,0.1889601,0.9308615,0.1542948
0,-0.1724865,0.8832975,0.1774262
0,-0.05314559,0.8859001,0.06906651
0,-0.08198874,0.9187514,0.02889628
0,-0.07231105,0.8854123,0.008781412
0,-0.1509487,0.9197327,0.1770724
0,-0.2050612,0.9197034,0.1385056
0,-0.2298488,0.9264595,0.1825943
0,-0.1690775,0.9175256,0.1413604
0,-0.2024783,0.9249094,0.1700809
0,-0.1641895,0.8861322,0.1555302
0,-0.1633535,0.9037644,0.1917663
0,-0.2195697,0.9386644,0.1843298
0,-0.1759279,0.9183066,0.1601079
0,-0.1949974,0.9243121,0.1508155
0,-0.1835005,0.9035921,0.1853734
0,-0.2207453,0.9227901,0.1533656
0,-0.1833561,0.9216469,0.1918975
0,-0.2319053,0.8824312,0.1449172
0,-0.1756474,0.9325663,0.1919476
0,-0.1933019,0.9274073,0.1252081
0,-0.1540528,0.9072831,0.187959
0,-0.2457082,0.9084309,0.1605082
0,-0.1724543,0.9285628,0.156519
0,-0.2324235,0.9235077,0.1672604
0,-0.1705576,0.9152195,0.1965793
0,-0.1968201,0.8986165,0.1586231
0,-0.1859034,0.9184375,0.1627461
0,-0.152532,0.9144529,0.2139573
0,-0.0497099,0.9112998,0.0553179
0,-0.07330552,0.8872871,0.04379608
0,-0.1485004,0.9137135,0.2074808
0,-0.1643547,0.916263,0.1335783
0,-0.2338039,0.9363915,0.1756948
0,-0.1343144,0.928278,0.1023391
0,-0.1399007,0.9336974,0.1328272
0,-0.1965993,0.9184311,0.1768274
0,-0.171601,0.9266472,0.1781865
0,-0.2047655,0.9144816,0.1540247
0,-0.1829879,0.9042811,0.1675439
0,-0.08268748,0.9182912,0.06534613
0,-0.2400104,0.9330372,0.2390127
0,-0.1626007,0.9124571,0.1838233
0,-0.1478001,0.9012169,0.02669603
0,-0.02396824,0.8941969,0.0002975254
0,-0.1511379,0.9140364,0.1864486
0,-0.1720592,0.9213259,0.1747333
0,-0.033739,0.8863564,0.002764334
0,-0.1443904,0.922506,0.1631511
0,-0.1733351,0.916483,0.004034684
0,-0.06491438,0.9060288,0.02929489
0,-0.1676494,0.8966111,0.1359077
0,-0.1739757,0.91725,0.1977876
0,-0.03598104,0.8897919,0.02886554
0,-0.1556581,0.9130629,0.1454198
0,-0.1470508,0.9511464,0.1240175
0,-0.1458901,0.9590232,0.1976332
14.92236,-0.1485095,0.9035658,0.209973
19.72229,-0.1673858,0.8975738,0.2021894
24.22229,-0.1814407,0.9169871,0.1823747
26.10229,-0.1578675,0.9292918,0.1896334
29.38232,-0.2178762,0.9145716,0.2078968
32.90234,-0.1518932,0.9269569,0.1908246
36.5824,-0.2134909,0.8987793,0.1450889
39.30237,-0.1736846,0.9121685,0.1953092
43.78235,-0.2198281,0.9284242,0.1880198
47.60229,-0.1543143,0.9113114,0.1554707
51.60229,-0.1219452,0.9497842,0.1767954
54.96228,-0.2206589,0.898502,0.1707553
57.46228,-0.1801536,0.8964961,0.1565013
59.60229,-0.1587443,0.8967959,0.2016333
61.74231,-0.1990539,0.888415,0.1482873
85.14233,-0.1627753,0.902546,0.1686894
87.14233,-0.160299,0.8794963,0.1903189
87.41345,-0.2197739,0.8805323,0.2010235
87.41345,-0.1806839,0.9129615,0.1584928
92.80237,-0.1480151,0.9237955,0.1726288
94.80237,-0.191548,0.9051464,0.1816907
96.42236,-0.1675645,0.9156633,0.1906689
98.0824,-0.2228185,0.9076858,0.2007207
99.8623,-0.2230379,0.8868896,0.1609288
101.7223,-0.179936,0.9166402,0.1679816
104.3623,-0.157888,0.931605,0.1751864
106.4623,-0.2039881,0.8902023,0.1959234
108.1023,-0.202501,0.8958524,0.1524186
109.5424,-0.2118781,0.9158222,0.1464772
111.2223,-0.1433827,0.8890902,0.2192291
114.0624,-0.1300672,0.9211492,0.1486568
115.7024,-0.2159496,0.9321595,0.1588272
138.0823,-0.1431595,0.9522066,0.1628544
139.7024,-0.23764,0.8919793,0.1886155
141.5023,-0.185289,0.8889132,0.1994744
143.3024,-0.2403433,0.901318,0.185247
145.0624,-0.1567118,0.9235789,0.210232
146.8224,-0.2136653,0.9042259,0.1449373
149.3224,-0.1457703,0.9351209,0.1837014
151.1824,-0.2073333,0.8869032,0.1631618
153.1423,-0.1420961,0.9069268,0.1481782
155.2024,-0.2069322,0.8971216,0.2092047
158.0023,-0.2007382,0.911261,0.1685595
161.1824,-0.2011867,0.9035885,0.2048952
163.3823,-0.172504,0.9028477,0.1995515
165.8224,-0.2023623,0.8956159,0.2040686
167.3623,-0.2165433,0.9217018,0.2016104
190.3423,-0.2046934,0.8922328,0.1697707
191.8024,-0.2148815,0.9138275,0.2076816
194.4224,-0.156495,0.9238955,0.2195962
196.2423,-0.2255129,0.9116763,0.1964245
198.0624,-0.2053375,0.8976937,0.205915
200.0823,-0.1895844,0.8938122,0.1807807
201.6023,-0.1486302,0.9013141,0.1959911
203.2223,-0.2079969,0.8921465,0.1715804
205.0223,-0.1662268,0.897212,0.2057623
206.9424,-0.1668199,0.8934383,0.1605873
208.7024,-0.20959,0.8974697,0.183418
210.5823,-0.1827593,0.9068665,0.1760505
212.4023,-0.1614503,0.8988518,0.1791597
214.1824,-0.2446391,0.8871047,0.2196342
215.9424,-0.2028049,0.8985122,0.1942675
