Time, X, Y, Z
0,-0.15,0.86,0.2
0,-0.1825096,0.86,0.1606539
0,-0.2202521,0.86,0.2081509
0,-0.1782609,0.86,0.1351877
0,-0.1953278,0.86,0.1895324
0,-0.1568399,0.86,0.1906682
0,-0.2013983,0.86,0.1429019
0,-0.2107497,0.86,0.1784703
0,-0.1607082,0.86,0.1459266
0,-0.2023714,0.86,0.1749781
0,-0.1638539,0.86,0.1588352
0,-0.1709563,0.86,0.2087925
0,-0.2083132,0.86,0.1907212
0,-0.172127,0.86,0.1490611
0,-0.2189882,0.86,0.1416151
0,-0.1839817,0.86,0.192637
0,-0.2047127,0.86,0.1475494
0,-0.2035601,0.86,0.20193
0,-0.2204692,0.86,0.1487841
0,-0.1749502,0.86,0.1794662
0,-0.2025204,0.86,0.1547044
0,-0.1511139,0.86,0.1850212
0,-0.2246551,0.86,0.1473957
0,-0.1842737,0.86,0.1609034
0,-0.215683,0.86,0.1843541
0,-0.1667436,0.86,0.2076548
0,-0.2039328,0.86,0.1484699
0,-0.1583403,0.86,0.1776178
0,-0.15,0.86,0.2
0,-0.1674743,0.86,0.1976647
0,-0.2080398,0.86,0.2037205
0,-0.1557478,0.86,0.2078064
0,-0.1707697,0.86,0.1469865
0,-0.2186899,0.86,0.1644635
0,-0.1683625,0.86,0.1399582
0,-0.1654814,0.86,0.1898306
0,-0.2071027,0.86,0.1880912
0,-0.1658359,0.86,0.1900543
0,-0.2148148,0.86,0.1698571
0,-0.1609881,0.86,0.1898268
0,-0.2098533,0.86,0.165355
0,-0.2054157,0.86,0.2092822
0,-0.1569672,0.86,0.1575735
0,-0.1886525,0.86,0.1803164
0,-0.1851896,0.86,0.1445666
0,-0.1544462,0.86,0.172993
0,-0.1800441,0.86,0.2008153
0,-0.1520999,0.86,0.1776152
0,-0.2245265,0.86,0.1805768
0,-0.2066285,0.86,0.1461511
0,-0.1513792,0.86,0.1553994
0,-0.1905824,0.86,0.1468212
0,-0.1626461,0.86,0.1877226
0,-0.2070802,0.86,0.1457312
0,-0.1820898,0.86,0.1914006
0,-0.1643201,0.86,0.1432797
0,-0.17313,0.86,0.2009936
14.92236,-0.15,0.86,0.2
19.72229,-0.1612902,0.86,0.2045184
24.22229,-0.2042795,0.86,0.1986687
26.10229,-0.1595885,0.86,0.1734304
29.38232,-0.2148179,0.86,0.2076282
32.90234,-0.1771215,0.86,0.1948625
36.5824,-0.2049129,0.86,0.1428204
39.30237,-0.1622806,0.86,0.1868032
43.78235,-0.2086893,0.86,0.1614385
47.60229,-0.1534205,0.86,0.1527341
51.60229,-0.1609501,0.86,0.2007804
54.96228,-0.222271,0.86,0.1575384
57.46228,-0.1754001,0.86,0.1471224
59.60229,-0.1529066,0.86,0.1917769
61.74231,-0.1957944,0.86,0.1464796
85.14233,-0.1558626,0.86,0.1606105
87.14233,-0.1608845,0.86,0.1967594
87.41345,-0.2061909,0.86,0.2014887
87.41345,-0.1722481,0.86,0.1386802
92.80237,-0.1652885,0.86,0.1871385
94.80237,-0.1744253,0.86,0.146901
96.42236,-0.1714192,0.86,0.1825438
98.0824,-0.2221427,0.86,0.2040565
99.8623,-0.1920922,0.86,0.1433036
101.7223,-0.2124302,0.86,0.1755956
104.3623,-0.178304,0.86,0.1637492
106.4623,-0.2064192,0.86,0.1981205
108.1023,-0.1969749,0.86,0.1491849
109.5424,-0.2104814,0.86,0.1829552
111.2223,-0.1503503,0.86,0.2072522
114.0624,-0.156465,0.86,0.1408031
115.7024,-0.218838,0.86,0.1720595
138.0823,-0.1625109,0.86,0.1743899
139.7024,-0.2044821,0.86,0.1649631
141.5023,-0.1737864,0.86,0.1857831
143.3024,-0.2106344,0.86,0.1631178
145.0624,-0.1666188,0.86,0.1991838
146.8224,-0.2098276,0.86,0.1427112
149.3224,-0.1524935,0.86,0.1771305
151.1824,-0.2178077,0.86,0.1640031
153.1423,-0.1519675,0.86,0.1522259
155.2024,-0.2122578,0.86,0.2089461
158.0023,-0.2002908,0.86,0.1518515
161.1824,-0.2090312,0.86,0.1969761
163.3823,-0.1641667,0.86,0.1937112
165.8224,-0.2059495,0.86,0.1802901
167.3623,-0.1678816,0.86,0.1514336
190.3423,-0.214692,0.86,0.1539655
191.8024,-0.192615,0.86,0.1925253
194.4224,-0.1509596,0.86,0.2021146
196.2423,-0.2027863,0.86,0.1690779
198.0624,-0.1963445,0.86,0.2069511
200.0823,-0.177661,0.86,0.157988
201.6023,-0.1571797,0.86,0.1988391
203.2223,-0.1948145,0.86,0.1499243
205.0223,-0.1583811,0.86,0.1875872
206.9424,-0.1715911,0.86,0.1507063
208.7024,-0.2140624,0.86,0.1718654
210.5823,-0.1706887,0.86,0.1584699
212.4023,-0.1715443,0.86,0.1990302
214.1824,-0.2248167,0.86,0.1997908
215.9424,-0.1952213,0.86,0.1705241
