Time, X, Y, Z
0.002319336,-0.1919999,1.045156,-0.03844661
0.00769043,-0.1920402,1.045234,-0.03855634
0.01879883,-0.1919872,1.045413,-0.03874624
0.02233887,-0.1919627,1.045497,-0.03880316
0.02990723,-0.1919391,1.045672,-0.03892283
0.04101563,-0.19192,1.045832,-0.03896984
0.0423584,-0.1919057,1.04585,-0.03898568
0.05200195,-0.191764,1.046016,-0.03911422
0.06237793,-0.1916852,1.046184,-0.0392904
0.06323242,-0.1916809,1.046202,-0.0393005
0.07446289,-0.1915848,1.046318,-0.0394731
0.08239746,-0.1914908,1.046334,-0.03970429
0.08532715,-0.1914683,1.046347,-0.0397834
0.09680176,-0.1915153,1.046341,-0.03993015
0.1022949,-0.1915876,1.046304,-0.03998585
0.1079102,-0.1916823,1.046302,-0.04006562
0.1188965,-0.1918614,1.046212,-0.04007691
0.1223145,-0.1918964,1.046192,-0.04010504
0.1318359,-0.1919961,1.046165,-0.04019812
0.1409912,-0.1921233,1.046137,-0.04025657
0.142334,-0.1921548,1.046137,-0.04023911
0.1520996,-0.1923713,1.046153,-0.04016218
0.1623535,-0.1925122,1.046161,-0.04008321
0.163208,-0.1925307,1.046165,-0.040076
0.1743164,-0.1927055,1.04612,-0.03999509
0.182373,-0.1927465,1.046068,-0.04000106
0.1855469,-0.1927625,1.046059,-0.04000437
0.1965332,-0.192801,1.046013,-0.03998822
0.2023926,-0.192754,1.046016,-0.03997312
0.2075195,-0.1927059,1.045964,-0.03999667
0.21875,-0.1926086,1.045928,-0.04001345
0.22229,-0.1925878,1.04591,-0.04000738
0.2298584,-0.1925558,1.045863,-0.03997152
0.2408447,-0.192532,1.045817,-0.03991811
0.2423096,-0.1925186,1.045815,-0.03991632
0.2519531,-0.1924295,1.045806,-0.03989704
0.2623291,-0.1923562,1.04577,-0.03985386
0.2631836,-0.1923484,1.045769,-0.03985049
0.274292,-0.1922498,1.045727,-0.03983696
0.2823486,-0.192183,1.045718,-0.03980917
0.2868652,-0.1921465,1.045706,-0.0397581
0.2963867,-0.192103,1.045735,-0.03966309
0.3023682,-0.1920821,1.045757,-0.03960526
0.3076172,-0.1920874,1.045793,-0.03952979
0.3187256,-0.1920477,1.045832,-0.03945524
0.3223877,-0.192022,1.045839,-0.03943002
0.329834,-0.1919655,1.045845,-0.03942432
0.3413086,-0.1919354,1.045788,-0.03947392
0.3422852,-0.1919396,1.045782,-0.03947847
0.3520508,-0.1919666,1.045727,-0.03954647
0.3623047,-0.1919899,1.045694,-0.03963144
0.3634033,-0.1919934,1.045688,-0.03963876
0.3748779,-0.1920266,1.045638,-0.03965113
0.3823242,-0.1919534,1.045601,-0.03973076
0.3857422,-0.1919468,1.045573,-0.03978081
0.3969727,-0.1919739,1.045524,-0.03982669
0.4023438,-0.191968,1.045489,-0.03986125
0.4082031,-0.1919814,1.045396,-0.03989685
0.4193115,-0.1919596,1.045314,-0.03991054
0.4223633,-0.1919373,1.045318,-0.03990808
0.430542,-0.1918949,1.045285,-0.03990656
0.4423828,-0.1918622,1.045217,-0.03995274
0.4494629,-0.1918509,1.045186,-0.03996536
0.4536133,-0.1918536,1.045169,-0.03997889
0.4591064,-0.1918593,1.045172,-0.03997603
0.4622803,-0.1918607,1.045177,-0.03998284
0.4703369,-0.1918698,1.045175,-0.03999744
0.4815674,-0.191844,1.045184,-0.03997493
0.4822998,-0.1918348,1.045183,-0.03997365
0.4926758,-0.191717,1.045258,-0.03993709
0.5023193,-0.1915002,1.045342,-0.03990114
0.50354,-0.191473,1.045348,-0.03989285
0.5147705,-0.1911785,1.045274,-0.03988919
0.5223389,-0.1908548,1.045139,-0.03996429
0.526001,-0.190653,1.045071,-0.04003234
0.5369873,-0.1901397,1.044976,-0.04020669
0.5423584,-0.1898362,1.044922,-0.04031099
0.5484619,-0.1894799,1.044757,-0.04042614
0.5593262,-0.1887498,1.044458,-0.04073162
0.5623779,-0.1884803,1.044351,-0.04085049
0.5700684,-0.1881179,1.043638,-0.04141945
0.5814209,-0.1875471,1.042753,-0.042216
0.5823975,-0.1874766,1.042666,-0.04229796
0.5941162,-0.1863155,1.041491,-0.04357891
0.6022949,-0.185123,1.040839,-0.0446582
0.6033936,-0.1849187,1.040746,-0.04483339
0.614624,-0.1833267,1.039739,-0.04653956
0.6223145,-0.1820943,1.038846,-0.04784757
0.6258545,-0.1813404,1.038185,-0.04852222
0.6368408,-0.1793173,1.036693,-0.04994982
0.642334,-0.1780836,1.035923,-0.05067447
0.6479492,-0.1766128,1.034996,-0.05162945
0.6593018,-0.1741863,1.033707,-0.05319756
0.6623535,-0.1734414,1.03335,-0.05368119
0.6700439,-0.1711873,1.032186,-0.05485624
0.6812744,-0.1680772,1.031053,-0.05632943
0.682373,-0.1677091,1.030946,-0.05650164
0.6925049,-0.164652,1.029836,-0.05778983
0.7023926,-0.1623489,1.028825,-0.05904482
0.7034912,-0.1620311,1.028684,-0.05926113
0.7145996,-0.1598028,1.027747,-0.06053454
0.72229,-0.1581299,1.027042,-0.06151401
0.7258301,-0.1572846,1.026596,-0.06224026
0.7369385,-0.1549502,1.025789,-0.06377813
0.7423096,-0.1535425,1.025459,-0.06454752
0.7497559,-0.1515225,1.025106,-0.06569411
0.7591553,-0.1494529,1.024616,-0.06681645
0.7623291,-0.148686,1.024417,-0.06722063
0.7701416,-0.1461998,1.023973,-0.06887464
0.7813721,-0.1430877,1.02348,-0.07044475
0.7823486,-0.1427623,1.02342,-0.07056116
0.7924805,-0.1390937,1.022822,-0.07188685
0.8023682,-0.1361181,1.022195,-0.0731397
0.8033447,-0.1357197,1.022191,-0.07328494
0.8145752,-0.1325004,1.021648,-0.07460508
0.8223877,-0.1301554,1.021203,-0.07553193
0.8260498,-0.1287498,1.020891,-0.07601222
0.8366699,-0.1257849,1.020173,-0.07707201
0.8422852,-0.124037,1.019718,-0.0777166
0.8483887,-0.1215973,1.019216,-0.07866055
0.8596191,-0.1182741,1.018313,-0.0798195
0.8623047,-0.117484,1.01805,-0.08006521
0.8709717,-0.1145843,1.017115,-0.08102617
0.8823242,-0.1112049,1.016247,-0.08227956
0.8823242,-0.1112049,1.016247,-0.08227956
0.8937988,-0.1072989,1.015176,-0.0835506
0.9023438,-0.1048839,1.014504,-0.08446565
0.9078369,-0.1034081,1.014134,-0.08515215
0.9161377,-0.1013759,1.013522,-0.08614193
0.9223633,-0.09973364,1.012888,-0.08694822
0.9279785,-0.09815949,1.011887,-0.08772524
0.939209,-0.09569617,1.010612,-0.08891477
0.9423828,-0.09491685,1.010181,-0.08929276
0.9506836,-0.09313408,1.0087,-0.09005983
0.961792,-0.09067483,1.007113,-0.09101726
0.9622803,-0.09054923,1.007037,-0.09106618
0.9737549,-0.08809303,1.004933,-0.09240657
0.9822998,-0.08637832,1.003698,-0.09309326
0.9847412,-0.08589783,1.003386,-0.09326218
0.9960938,-0.08399884,1.001994,-0.09409916
1.002319,-0.08296813,1.001221,-0.09461322
1.007568,-0.08192442,1.000512,-0.09515713
1.018311,-0.0802418,0.999292,-0.0958001
1.022339,-0.07956669,0.9987348,-0.09609726
1.029541,-0.07832699,0.9974712,-0.09691288
1.040894,-0.07632143,0.9961624,-0.09743062
1.042358,-0.07602266,0.9959863,-0.09749103
1.051758,-0.07396463,0.9945661,-0.09826268
1.062378,-0.07216881,0.992672,-0.09900688
1.065796,-0.07161327,0.9920413,-0.09923904
1.0802,-0.06932715,0.9904895,-0.099828
1.082397,-0.06907142,0.9902773,-0.09992369
1.084595,-0.06863156,0.989971,-0.1000508
1.093018,-0.06753509,0.9892067,-0.1003695
1.102295,-0.06606545,0.9875286,-0.100693
1.104126,-0.0656717,0.9871202,-0.100751
1.11499,-0.06428432,0.9857669,-0.1010212
1.122314,-0.06309851,0.9848714,-0.1013139
1.126221,-0.06250582,0.9844492,-0.1015354
1.137329,-0.06125209,0.9835939,-0.101933
1.142334,-0.06086911,0.9830284,-0.102074
1.148682,-0.05998825,0.9820886,-0.102186
1.159546,-0.0587187,0.9807367,-0.1022708
1.162354,-0.05822596,0.9803954,-0.1021488
1.170776,-0.05695786,0.9793295,-0.1019568
1.181763,-0.05564358,0.9782775,-0.1017174
1.182373,-0.05570818,0.9783258,-0.101692
1.192871,-0.05458815,0.9774172,-0.1015389
1.202393,-0.05373976,0.976754,-0.1015253
1.204102,-0.05362374,0.9765477,-0.101545
1.218262,-0.05271194,0.9753808,-0.101684
1.22229,-0.05245712,0.9750001,-0.1017495
1.226074,-0.05211246,0.9745363,-0.1018338
1.237427,-0.0519302,0.9736288,-0.1021457
1.24231,-0.05183697,0.9731972,-0.1022347
1.248291,-0.0516009,0.9725771,-0.1024044
1.259888,-0.05069042,0.9720778,-0.1029713
1.262329,-0.05069683,0.971792,-0.1030603
1.27063,-0.05041001,0.9710399,-0.103414
1.281616,-0.04978659,0.9706926,-0.1036417
1.282349,-0.04962647,0.9706563,-0.1035284
1.292847,-0.04888127,0.9701388,-0.1035467
1.302368,-0.04854729,0.9696327,-0.1033204
1.304077,-0.0484778,0.9695328,-0.1032903
1.314819,-0.04796024,0.9689596,-0.1029538
1.322388,-0.04767535,0.9688776,-0.1028771
1.32605,-0.04746072,0.9687351,-0.1028182
1.337158,-0.04715463,0.9685798,-0.1028447
1.342285,-0.04719636,0.9685779,-0.1028508
1.348389,-0.04711927,0.968502,-0.1028345
1.359619,-0.04706675,0.9684251,-0.1028196
1.362305,-0.04708103,0.9684174,-0.1028171
1.372437,-0.04707052,0.9684153,-0.1027857
1.381714,-0.04706936,0.9684694,-0.1027061
1.382324,-0.04706228,0.9685747,-0.1027027
1.3927,-0.04707824,0.968908,-0.1025761
1.402344,-0.04700546,0.9692191,-0.1023624
1.403809,-0.04699931,0.9692553,-0.1023419
1.414917,-0.04694395,0.9696482,-0.1022156
1.422363,-0.04696192,0.9698698,-0.1019632
1.426025,-0.0470347,0.969928,-0.1017315
1.437744,-0.04707803,0.9699923,-0.1014121
1.442383,-0.04711482,0.970071,-0.1011942
1.448975,-0.047193,0.970335,-0.1008758
1.460205,-0.04731202,0.9706973,-0.1005557
1.46228,-0.04743306,0.9709849,-0.1005
1.47168,-0.04774524,0.9718755,-0.1001005
1.4823,-0.04805996,0.9728006,-0.09967536
1.483032,-0.0479906,0.9726499,-0.09968597
1.494263,-0.04826915,0.9733573,-0.09921218
1.502319,-0.04869228,0.9739138,-0.09899149
1.506104,-0.04895288,0.9745644,-0.09890638
1.516968,-0.04937082,0.9756536,-0.09871821
1.522339,-0.04964653,0.9763937,-0.09885171
1.530151,-0.0502971,0.9775206,-0.09866509
1.539429,-0.05082245,0.978438,-0.09851218
1.542358,-0.05096413,0.9785303,-0.09856906
1.550659,-0.05135183,0.9795662,-0.09844948
1.562012,-0.05161525,0.9805911,-0.09832758
1.562378,-0.05149313,0.9805852,-0.09825452
1.573364,-0.05168722,0.9820096,-0.09793204
1.582397,-0.0520495,0.9829782,-0.09775639
1.584473,-0.05213971,0.9831679,-0.09772789
1.595825,-0.05255266,0.9841002,-0.09764633
1.602295,-0.05278505,0.9847514,-0.09760147
1.607178,-0.05292892,0.9855781,-0.09745124
1.618286,-0.05313585,0.9867554,-0.09725606
1.622314,-0.05322712,0.9872717,-0.09717399
1.629639,-0.05359195,0.9883693,-0.0972359
1.640991,-0.05400395,0.9894425,-0.09710792
1.642334,-0.05406796,0.9896001,-0.09707543
1.651978,-0.05452668,0.9908133,-0.09691778
1.662354,-0.05500352,0.99198,-0.09665301
1.66333,-0.05506924,0.9921299,-0.09660982
1.674927,-0.05553708,0.9934026,-0.09644954
1.682373,-0.05592473,0.9944381,-0.09637541
1.69519,-0.05678714,0.9963374,-0.09605187
1.700562,-0.056983,0.9967719,-0.09592667
1.702393,-0.05710338,0.9969683,-0.09587401
1.714111,-0.0580853,0.9981168,-0.09562555
1.72229,-0.058691,0.9991143,-0.09554282
1.72522,-0.05897995,0.9995013,-0.09548417
1.736206,-0.05989071,1.00089,-0.09522027
1.74231,-0.06044803,1.001657,-0.09494555
1.747559,-0.06117144,1.002625,-0.09466058
1.758545,-0.06244806,1.004429,-0.09415957
1.762329,-0.06285096,1.005059,-0.09399071
1.769653,-0.06377268,1.006473,-0.09358689
1.78064,-0.06523035,1.008287,-0.09276515
1.782349,-0.06543604,1.008727,-0.0926936
1.791992,-0.0667782,1.011175,-0.09208758
1.802368,-0.06813279,1.013177,-0.09142083
1.802856,-0.0681982,1.013281,-0.09138843
1.813965,-0.06955498,1.015452,-0.09089509
1.822388,-0.07079878,1.016816,-0.09042305
1.825439,-0.07139998,1.017527,-0.09019713
1.839844,-0.07330208,1.020062,-0.0887524
1.842285,-0.07382482,1.020585,-0.08843012
1.847412,-0.07485443,1.021793,-0.08775376
1.858521,-0.07641186,1.02372,-0.0869936
1.862305,-0.07724693,1.024152,-0.08651316
1.869629,-0.07904565,1.025369,-0.08547106
1.880737,-0.08128843,1.027622,-0.08451688
1.882324,-0.08160174,1.027816,-0.08437212
