Time, X, Y, Z
0.002319336,0.1205855,1.033607,0.01157576
0.00769043,0.1206674,1.033566,0.01147085
0.01879883,0.1206429,1.033597,0.01141188
0.02233887,0.1206428,1.033534,0.01130033
0.02990723,0.1206183,1.033402,0.01109219
0.04101563,0.120485,1.033086,0.01074009
0.0423584,0.1204067,1.033104,0.01070617
0.05200195,0.120105,1.033025,0.01035602
0.06237793,0.1196915,1.033074,0.01002517
0.06323242,0.1196533,1.033084,0.01000059
0.07446289,0.1195485,1.033097,0.009951845
0.08239746,0.1195224,1.033144,0.009907156
0.08532715,0.1194827,1.033183,0.009907231
0.09680176,0.1193633,1.03328,0.009916991
0.1022949,0.1194447,1.033403,0.01005954
0.1079102,0.1194917,1.03354,0.01020971
0.1188965,0.1195136,1.033486,0.01036036
0.1223145,0.1195692,1.033511,0.01044348
0.1318359,0.1197242,1.033572,0.01069166
0.1409912,0.1198379,1.033452,0.01066819
0.142334,0.1198464,1.033407,0.01064678
0.1520996,0.1199351,1.033177,0.01059672
0.1623535,0.1200195,1.033053,0.01048587
0.163208,0.1200203,1.033041,0.01047906
0.1743164,0.1197887,1.033,0.01038317
0.182373,0.1197515,1.033038,0.01043996
0.1855469,0.1197379,1.033069,0.01045109
0.1965332,0.1197323,1.033058,0.01044396
0.2023926,0.1197427,1.033066,0.01044524
0.2075195,0.1197535,1.032994,0.01042926
0.21875,0.1196368,1.032918,0.01037836
0.22229,0.1196386,1.032881,0.01029637
0.2298584,0.1196114,1.032789,0.0101292
0.2408447,0.1196466,1.032664,0.0100888
0.2423096,0.1196549,1.032683,0.0100878
0.2519531,0.1197135,1.032777,0.01006916
0.2623291,0.1197884,1.032943,0.01023309
0.2631836,0.1197961,1.032959,0.01024511
0.274292,0.1198387,1.033061,0.009825572
0.2823486,0.1198935,1.033147,0.009839356
0.2868652,0.1199266,1.033181,0.009835273
0.2963867,0.1198691,1.033029,0.009514481
0.3023682,0.1198948,1.03297,0.009304464
0.3076172,0.1198895,1.032891,0.009102657
0.3187256,0.1197805,1.032809,0.008669674
0.3223877,0.1198191,1.032794,0.00866358
0.329834,0.1198982,1.032764,0.008588806
0.3413086,0.119937,1.032596,0.008150786
0.3422852,0.1199087,1.032553,0.008065492
0.3520508,0.1196867,1.032177,0.007284403
0.3623047,0.1194017,1.032482,0.007131666
0.3634033,0.1193698,1.032513,0.007111236
0.3748779,0.1193417,1.032654,0.007237419
0.3823242,0.1194067,1.032573,0.007323861
0.3857422,0.1194071,1.032533,0.007371977
0.3969727,0.1193051,1.032341,0.007573366
0.4023438,0.1194015,1.032364,0.00778991
0.4082031,0.1194948,1.032376,0.00807631
0.4193115,0.1197864,1.032149,0.008137241
0.4223633,0.1198184,1.032142,0.008173183
0.430542,0.1199087,1.032084,0.008285925
0.4423828,0.1200229,1.032128,0.008414447
0.4494629,0.1200821,1.032131,0.008491009
0.4536133,0.1201011,1.032147,0.008532062
0.4591064,0.120143,1.03221,0.008733928
0.4622803,0.1201692,1.032246,0.008824468
0.4703369,0.1202358,1.032382,0.009066939
0.4815674,0.1201957,1.032478,0.009167716
0.4822998,0.120194,1.032476,0.009169161
0.4926758,0.1202376,1.032614,0.009425253
0.5023193,0.1204163,1.032784,0.0096616
0.50354,0.1204384,1.032802,0.009686992
0.5147705,0.1207266,1.032872,0.009915814
0.5223389,0.1209869,1.032822,0.01006642
0.526001,0.1210805,1.032763,0.01019458
0.5369873,0.1211212,1.032478,0.01004073
0.5423584,0.1211154,1.032289,0.009848148
0.5484619,0.1211713,1.032147,0.009834453
0.5593262,0.1212531,1.031951,0.009875506
0.5623779,0.1212884,1.031884,0.009887218
0.5700684,0.1213894,1.031845,0.01009111
0.5814209,0.1214889,1.031933,0.01039337
0.5823975,0.1215017,1.031942,0.01041952
0.5941162,0.1215498,1.032091,0.01104109
0.6022949,0.1214593,1.032059,0.01114124
0.6033936,0.1214406,1.032047,0.01113692
0.614624,0.1212688,1.031899,0.01122318
0.6223145,0.1211818,1.031715,0.01123993
0.6258545,0.1211774,1.031393,0.01109608
0.6368408,0.1211741,1.030733,0.01074339
0.642334,0.1212026,1.030453,0.0105629
0.6479492,0.1214122,1.030082,0.01056223
0.6593018,0.1216894,1.029405,0.01055376
0.6623535,0.1217656,1.029184,0.01054251
0.6700439,0.1220317,1.028972,0.01110959
0.6812744,0.1222936,1.029019,0.01224819
0.682373,0.1223179,1.029035,0.01239064
0.6925049,0.1222539,1.02907,0.01316001
0.7023926,0.1220831,1.029002,0.01324432
0.7034912,0.1220655,1.028994,0.01322855
0.7145996,0.1219679,1.028934,0.01312841
0.72229,0.1218755,1.028897,0.0129367
0.7258301,0.1217445,1.028889,0.01267046
0.7369385,0.1214404,1.028845,0.01214924
0.7423096,0.1212847,1.028819,0.0119146
0.7497559,0.1212623,1.028895,0.01200782
0.7591553,0.1210064,1.029097,0.01202437
0.7623291,0.1208755,1.02919,0.01202141
