Time, X, Y, Z
21.38904,-0.1773026,0.8947084,0.192456
21.38904,-0.1672647,0.8900222,0.1481246
27.12268,-0.1926124,0.8875108,0.1929323
28.92261,-0.1991363,0.9031242,0.1519483
30.72266,-0.2612147,0.8784468,0.2275383
32.44263,-0.1979908,0.8877566,0.1688916
34.28271,-0.1806145,0.8692809,0.2128559
35.90271,-0.1878119,0.8903937,0.1540903
37.74268,-0.2125948,0.8906048,0.2255196
39.46265,-0.1853943,0.8831121,0.1642532
40.64697,-0.1491916,0.9024037,0.1753788
44.6427,-0.2245484,0.8761858,0.1993326
46.58264,-0.16481,0.9045184,0.156056
48.52271,-0.1441918,0.9099802,0.186762
50.58264,-0.1518263,0.8969267,0.1352143
52.70264,-0.1588498,0.9085549,0.219696
54.58264,-0.2120949,0.8713996,0.2181539
56.32263,-0.1742171,0.8957924,0.1809645
76.97559,-0.06798603,0.8967014,0.05197675
80.6427,-0.1533764,0.8633267,0.1731895
82.66272,-0.2014579,0.894209,0.1980601
84.56262,-0.1527004,0.8944266,0.1765542
86.18262,-0.1739596,0.90037,0.1989281
88.10266,-0.1757812,0.8955062,0.1583304
90.2627,-0.1360604,0.9176068,0.08273757
91.81201,-0.1547931,0.8886168,0.1674211
95.6427,-0.17749,0.8883834,0.1553459
97.56262,-0.207199,0.8959453,0.2035766
100.4827,-0.1878604,0.8950145,0.1942509
102.5826,-0.1516883,0.9146132,0.2055641
104.3827,-0.1837578,0.8959108,0.1866829
106.2026,-0.208086,0.8741638,0.2059
108.3427,-0.2033725,0.9009978,0.1313052
110.7827,-0.1769734,0.9115934,0.1731961
113.6826,-0.2004327,0.8828658,0.2238692
136.3627,-0.2050979,0.9203693,0.1346301
138.7627,-0.1404034,0.9182143,0.1820284
140.9226,-0.2099773,0.8827726,0.1582476
142.6427,-0.1900815,0.8975377,0.1965483
144.2556,-0.1425806,0.9118129,0.147369
148.6227,-0.1894486,0.9123872,0.1463728
150.5426,-0.2123878,0.9032261,0.2115886
152.3427,-0.1668798,0.880321,0.2489102
154.1826,-0.2339374,0.8981343,0.1891634
156.1627,-0.1572503,0.9143489,0.1380165
158.3226,-0.1861662,0.8999988,0.2131692
160.6427,-0.1600047,0.8992548,0.1557765
162.135,-0.2089867,0.8985041,0.1945981
166.3026,-0.1682432,0.9335858,0.12248
168.4626,-0.1888107,0.8897327,0.2087555
170.5826,-0.1840988,0.9079013,0.1552509
173.2427,-0.1587029,0.8859492,0.1876484
197.851,-0.1597007,0.9065788,0.1462605
200.9226,-0.1973748,0.876056,0.2081749
202.9827,-0.2315998,0.889829,0.1809412
205.1227,-0.1660089,0.8818517,0.2317355
207.6027,-0.2265573,0.9097614,0.1423492
209.9626,-0.170165,0.9004484,0.139177
211.9827,-0.2149261,0.9048029,0.1885363
214.0826,-0.1607734,0.9159367,0.1543102
216.1826,-0.2037696,0.8917863,0.1679478
218.3827,-0.2417509,0.8953945,0.225773
220.8226,-0.1692159,0.8930436,0.1729198
222.9027,-0.2098562,0.8788282,0.1893623
225.0826,-0.1601416,0.9030986,0.160455
227.4626,-0.2086911,0.9044725,0.1936582
229.8827,-0.1821088,0.8865735,0.2073869
232.4626,-0.2351964,0.8996014,0.2185722
