Time, X, Y, Z
0.002685547,-0.1342464,1.063032,-0.03289314
0.006225586,-0.1343075,1.063099,-0.032729
0.01757813,-0.1344717,1.063016,-0.03241581
0.02270508,-0.1345356,1.062963,-0.03231508
0.02880859,-0.134658,1.06286,-0.03215852
0.03955078,-0.1348939,1.062749,-0.03197409
0.04260254,-0.1349882,1.062714,-0.03194769
0.05078125,-0.1352636,1.062615,-0.03187342
0.06262207,-0.1356916,1.062593,-0.03185016
0.06433105,-0.1357714,1.062584,-0.03184976
0.07263184,-0.1360681,1.062667,-0.03192724
0.0826416,-0.1362898,1.062745,-0.03208125
0.08398438,-0.1363317,1.062768,-0.03210868
0.09545898,-0.1364996,1.062819,-0.03221759
0.1026611,-0.1366721,1.062829,-0.03225857
0.1063232,-0.1367579,1.062853,-0.03230579
0.1174316,-0.1369377,1.0629,-0.03242046
0.1226807,-0.1370696,1.062943,-0.03249441
0.1287842,-0.1372931,1.06303,-0.03262153
0.1400146,-0.1375864,1.063124,-0.03297053
0.1427002,-0.1376482,1.063173,-0.03302397
0.151001,-0.1378507,1.063318,-0.03324562
0.1621094,-0.1378213,1.063467,-0.0334155
0.1627197,-0.1378127,1.063473,-0.0334326
0.1730957,-0.1376981,1.063593,-0.03367698
0.1826172,-0.1376568,1.063758,-0.03378406
0.1842041,-0.1376434,1.063775,-0.03381091
0.1956787,-0.1374684,1.06392,-0.03394111
0.2026367,-0.1374177,1.063958,-0.03393313
0.206543,-0.1374132,1.063958,-0.03396465
0.2208252,-0.1375394,1.064054,-0.03395976
0.2226563,-0.1376257,1.063997,-0.03389239
0.2286377,-0.1377845,1.063985,-0.03382733
0.2390137,-0.1379775,1.06399,-0.03357348
0.2426758,-0.1380473,1.063991,-0.03344743
0.2502441,-0.1382422,1.063967,-0.03317168
0.2614746,-0.1384518,1.063837,-0.03307311
0.2626953,-0.13845,1.063834,-0.03306068
0.2723389,-0.1384042,1.063815,-0.03288108
0.2827148,-0.1382745,1.063902,-0.03264783
0.2835693,-0.1382649,1.063911,-0.03262536
0.2949219,-0.1380294,1.063979,-0.0322696
0.3026123,-0.1379227,1.063955,-0.0321105
0.3056641,-0.1378253,1.063972,-0.03206527
0.3168945,-0.1376381,1.063912,-0.03199594
0.3226318,-0.1375413,1.063846,-0.03196777
0.3282471,-0.1373908,1.063807,-0.03192924
0.3388672,-0.1371743,1.063782,-0.03185189
0.3426514,-0.1370992,1.06376,-0.03183061
0.3500977,-0.1368791,1.063662,-0.03181866
0.3614502,-0.1365516,1.063559,-0.03184415
0.3626709,-0.1365214,1.06355,-0.03185208
0.3745117,-0.1361979,1.063496,-0.03195325
0.3826904,-0.1360249,1.063622,-0.03211918
0.3834229,-0.1360207,1.063625,-0.0321226
0.3951416,-0.1358016,1.063833,-0.03220342
0.40271,-0.1356814,1.063965,-0.03216214
0.4056396,-0.1356027,1.064084,-0.0320998
0.416748,-0.1354611,1.064394,-0.03192303
0.4226074,-0.1354268,1.064527,-0.03188339
0.4279785,-0.1353312,1.064692,-0.03187147
0.4389648,-0.1352866,1.064757,-0.03196941
0.442627,-0.1352951,1.064738,-0.03202567
0.4501953,-0.1352555,1.064665,-0.03226729
0.4615479,-0.1351245,1.064728,-0.03256974
0.4626465,-0.1351162,1.064738,-0.03259641
0.4724121,-0.134966,1.064863,-0.03274632
0.482666,-0.134873,1.065022,-0.03282039
0.4836426,-0.1348637,1.065037,-0.03282829
0.494751,-0.1348021,1.065085,-0.03280507
0.5026855,-0.1348514,1.065071,-0.032737
0.5056152,-0.1349094,1.065085,-0.03266974
0.5168457,-0.1351281,1.064991,-0.03230272
0.5227051,-0.1353519,1.064916,-0.03209551
0.5292969,-0.1357089,1.064801,-0.03183562
0.5389404,-0.1361431,1.064746,-0.03153408
0.5426025,-0.1362903,1.064772,-0.03145815
0.5500488,-0.1365781,1.064835,-0.03137702
0.5612793,-0.1369938,1.064819,-0.03134607
0.5626221,-0.1370459,1.064815,-0.03134242
0.5723877,-0.137559,1.064796,-0.03134196
0.5826416,-0.1380906,1.064805,-0.0313513
0.5836182,-0.1381426,1.064805,-0.03135447
0.5950928,-0.1387643,1.064847,-0.03150637
0.6026611,-0.139294,1.064933,-0.03161292
