Time, X, Y, Z
0.002685547,0.119115,1.02542,0.02566627
0.006225586,0.1190997,1.025464,0.02597825
0.01757813,0.1191758,1.025425,0.02603564
0.02270508,0.1192917,1.025372,0.0260935
0.02880859,0.1193976,1.025249,0.02617799
0.03955078,0.1193598,1.025028,0.02603061
0.04260254,0.1193086,1.024968,0.02602254
0.05078125,0.1191719,1.024789,0.02598783
0.06262207,0.1187283,1.024582,0.02570324
0.06433105,0.1186485,1.024544,0.02566466
0.07263184,0.1185606,1.024612,0.02571601
0.0826416,0.1185133,1.024685,0.0259048
0.08398438,0.1185148,1.024718,0.0259427
0.09545898,0.1185043,1.024885,0.02603412
0.1026611,0.1185196,1.025098,0.02626881
0.1063232,0.1185482,1.025228,0.02637672
0.1174316,0.1184931,1.025311,0.02674778
0.1226807,0.1184414,1.025245,0.02690154
0.1287842,0.1183188,1.025176,0.027079
0.1400146,0.1182504,1.024945,0.02720371
0.1427002,0.1181947,1.024903,0.02720062
0.151001,0.1180577,1.02471,0.02719139
0.1621094,0.118045,1.024453,0.02725796
0.1627197,0.1180439,1.024446,0.02726504
0.1730957,0.1180885,1.024274,0.02733359
0.1826172,0.1181877,1.024232,0.02732
0.1842041,0.118211,1.024226,0.02730724
0.1956787,0.1180832,1.024272,0.02736725
0.2026367,0.1180477,1.024314,0.02745137
0.206543,0.1179784,1.024308,0.02750878
0.2208252,0.1176484,1.024353,0.02812825
0.2226563,0.1175541,1.024354,0.02814594
0.2286377,0.1172991,1.02432,0.02836818
0.2390137,0.1169517,1.024115,0.02817227
0.2426758,0.1169465,1.024058,0.02821584
0.2502441,0.1169249,1.023882,0.02833143
0.2614746,0.1167603,1.023574,0.02845262
0.2626953,0.1167197,1.023573,0.02850465
0.2723389,0.1164276,1.023602,0.02897121
0.2827148,0.1162537,1.023758,0.02938318
0.2835693,0.1162415,1.023772,0.02941859
0.2949219,0.1162618,1.023917,0.02993989
0.3026123,0.1164716,1.023962,0.03018607
0.3056641,0.1166289,1.024022,0.03026624
0.3168945,0.1169658,1.023995,0.03036216
0.3226318,0.1171766,1.023942,0.03050226
0.3282471,0.1174735,1.023946,0.03065729
0.3388672,0.1179029,1.023826,0.03087501
0.3426514,0.1179704,1.023812,0.03091089
0.3500977,0.1181526,1.023776,0.03089945
0.3614502,0.1183613,1.023619,0.03078197
0.3626709,0.1183633,1.02361,0.03077756
0.3745117,0.1183372,1.023567,0.03073332
0.3826904,0.118287,1.02364,0.03079212
0.3834229,0.118286,1.023643,0.03079309
0.3951416,0.1182241,1.023729,0.03075276
0.40271,0.1182011,1.023762,0.03076032
0.4056396,0.1182136,1.023846,0.03079605
0.416748,0.1181253,1.024093,0.0308824
0.4226074,0.1180134,1.024198,0.03092854
0.4279785,0.11795,1.024338,0.03095819
0.4389648,0.1178454,1.024369,0.03049287
0.442627,0.1177908,1.024372,0.03038195
0.4501953,0.117737,1.024362,0.03008938
0.4615479,0.1178358,1.024384,0.03031631
0.4626465,0.1178463,1.024386,0.03033569
0.4724121,0.1181121,1.02433,0.03041449
0.482666,0.1184994,1.024161,0.02990456
0.4836426,0.1185371,1.024145,0.02985407
0.494751,0.1186057,1.024194,0.02896599
0.5026855,0.1184843,1.02425,0.02829856
0.5056152,0.1183817,1.024289,0.02800924
0.5168457,0.1183196,1.02425,0.0276563
0.5227051,0.1183023,1.024263,0.02756256
0.5292969,0.1182557,1.024274,0.02745688
0.5389404,0.1182472,1.024145,0.02708502
0.5426025,0.1182271,1.024122,0.02701344
0.5500488,0.1181473,1.024008,0.02695709
0.5612793,0.1181096,1.023777,0.02685866
