Time, X, Y, Z
14.38562,-0.2145015,0.9169137,0.1369345
17.10278,-0.2259652,0.9210066,0.1990218
24.74573,-0.2388379,0.9025713,0.1502712
29.88562,-0.1614392,0.9209925,0.1374867
33.22571,-0.2075369,0.928489,0.2103261
39.16565,-0.1318959,0.9184589,0.161196
40.70569,-0.2259343,0.8893005,0.18688
44.90564,-0.180956,0.8939597,0.1347996
53.16565,-0.2408267,0.9146165,0.2073165
54.72571,-0.07988487,0.8978969,0.02388633
60.18567,-0.1634774,0.9844186,0.1660259
65.54565,-0.2093452,0.9060532,0.169367
68.24573,-0.1473516,0.9089031,0.1610166
70.42566,-0.2083724,0.8919842,0.1835443
79.30566,-0.1975223,0.9066839,0.2016067
82.80566,-0.1889745,0.9149042,0.2058341
106.7257,-0.1662171,0.8868398,0.1906283
109.6057,-0.2476628,0.8861805,0.1645339
113.9257,-0.2044612,0.9037282,0.1131522
118.4457,-0.2215374,0.8948141,0.1986463
120.6656,-0.2162777,0.8828099,0.1277977
125.6456,-0.1702328,0.9054831,0.2081418
130.5657,-0.1437193,0.9088665,0.194884
132.7856,-0.1919053,0.9113254,0.2026064
134.5657,-0.1846515,0.8826346,0.1535362
136.3057,-0.2077725,0.8877235,0.201994
138.3257,-0.1467398,0.869178,0.1953246
142.4657,-0.1479484,0.8918477,0.2244933
150.3457,-0.192618,0.9090914,0.1256233
155.5256,-0.1915173,0.900924,0.186508
160.0457,-0.2048677,0.903491,0.1654526
185.8057,-0.2840492,0.8774301,0.2570724
190.4257,-0.2148593,0.8886431,0.1859818
192.2656,-0.1635647,0.9003523,0.1031531
198.8856,-0.2093311,0.9075063,0.1475312
201.6057,-0.1690324,0.9196,0.1879851
204.1857,-0.1996,0.8912715,0.163457
207.9056,-0.2109618,0.9383836,0.1668717
211.2856,-0.1686819,0.908807,0.2380989
215.0056,-0.1549086,0.9197274,0.161886
216.5657,-0.2172697,0.9182838,0.08931138
220.5857,-0.1789253,0.8887088,0.1823298
223.7456,-0.1923195,0.8871256,0.2596554
228.8657,-0.1851647,0.8883051,0.1556949
240.1857,-0.1737138,0.9120603,0.1808263
244.3457,-0.1481232,0.9117112,0.1467037
266.7656,-0.202121,0.8959048,0.168855
268.8457,-0.1782651,0.9176236,0.2168278
272.7456,-0.237242,0.9025893,0.1820564
275.3657,-0.1750777,0.9034983,0.1942375
277.4857,-0.1861212,0.9024059,0.1936452
280.5657,-0.2245426,0.9220883,0.1595973
282.2856,-0.1627824,0.9431066,0.1160394
286.7899,-0.1825983,0.887515,0.1766047
290.8257,-0.2176383,0.9076129,0.2223786
293.4457,-0.1789709,0.8707296,0.2182331
296.3856,-0.2670535,0.8844893,0.2307275
301.3257,-0.1904398,0.8847104,0.1714174
303.6857,-0.2003355,0.8781866,0.2122327
305.0657,-0.1561309,0.9108267,0.09920526
309.4056,-0.2260594,0.8858665,0.2109907
313.8057,-0.1671911,0.8712612,0.138928
