Time, X, Y, Z
14.38562,-0.223179,0.86,0.1366082
17.10278,-0.1936643,0.86,0.2072711
24.74573,-0.223741,0.86,0.1773912
29.88562,-0.1710058,0.86,0.1572083
33.22571,-0.2233502,0.86,0.1966371
39.16565,-0.1679219,0.86,0.1663917
40.70569,-0.2161296,0.86,0.1875646
44.90564,-0.1781998,0.86,0.1580186
53.16565,-0.2144333,0.86,0.178392
54.72571,-0.1536524,0.86,0.2084893
60.18567,-0.1601368,0.86,0.170178
65.54565,-0.2011416,0.86,0.1573709
68.24573,-0.1865138,0.86,0.2048676
70.42566,-0.1875433,0.86,0.1576523
79.30566,-0.1651968,0.86,0.1865357
82.80566,-0.2039145,0.86,0.2008366
106.7257,-0.1586898,0.86,0.1848875
109.6057,-0.2230494,0.86,0.1707537
113.9257,-0.1746835,0.86,0.1460506
118.4457,-0.2024616,0.86,0.2069245
120.6656,-0.2066503,0.86,0.1602889
125.6456,-0.1867317,0.86,0.1917414
130.5657,-0.1500528,0.86,0.1926083
132.7856,-0.1914497,0.86,0.1838165
134.5657,-0.1961823,0.86,0.1455216
136.3057,-0.2200895,0.86,0.1799042
138.3257,-0.1610424,0.86,0.1714306
142.4657,-0.1846108,0.86,0.207547
150.3457,-0.2167177,0.86,0.1529842
155.5256,-0.1786207,0.86,0.179724
160.0457,-0.2060808,0.86,0.1441159
185.8057,-0.2003148,0.86,0.2053099
190.4257,-0.1882852,0.86,0.1567618
192.2656,-0.210367,0.86,0.1872903
198.8856,-0.213099,0.86,0.1437625
201.6057,-0.1779822,0.86,0.18167
204.1857,-0.1874652,0.86,0.1392166
207.9056,-0.2159946,0.86,0.1761898
211.2856,-0.1653166,0.86,0.195152
215.0056,-0.1732522,0.86,0.1480436
216.5657,-0.2245934,0.86,0.1535038
220.5857,-0.1592714,0.86,0.1618258
223.7456,-0.166342,0.86,0.2068791
228.8657,-0.2114774,0.86,0.16038
240.1857,-0.1549612,0.86,0.1923633
244.3457,-0.1654703,0.86,0.1464527
266.7656,-0.2127108,0.86,0.1795618
268.8457,-0.1722536,0.86,0.1882769
272.7456,-0.2224096,0.86,0.1571172
275.3657,-0.1747701,0.86,0.1821386
277.4857,-0.1674752,0.86,0.1414311
280.5657,-0.2186264,0.86,0.1630941
282.2856,-0.161576,0.86,0.1504497
286.7899,-0.1897108,0.86,0.197433
290.8257,-0.1872996,0.86,0.1526845
293.4457,-0.1862133,0.86,0.2084886
296.3856,-0.2141639,0.86,0.185496
301.3257,-0.1534459,0.86,0.1428629
303.6857,-0.2003355,0.86,0.177327
305.0657,-0.1638682,0.86,0.1827893
309.4056,-0.2237715,0.86,0.193854
313.8057,-0.1649901,0.86,0.1395079
