Time, X, Y, Z
0.005615234,-0.1833295,1.056542,0.005683854
0.006469727,-0.1833329,1.056549,0.005689859
0.01782227,-0.1833238,1.0566,0.005747408
0.02563477,-0.1833069,1.056645,0.005777985
0.0291748,-0.1833255,1.056684,0.005769461
0.04040527,-0.1833271,1.056706,0.005761877
0.0456543,-0.1833048,1.056691,0.00576286
0.05175781,-0.1832965,1.05669,0.005722344
0.06286621,-0.1832581,1.056715,0.005623788
0.06567383,-0.1832396,1.056728,0.005588233
0.07409668,-0.1832852,1.056755,0.005517393
0.08569336,-0.1833011,1.056757,0.005386561
0.08764648,-0.1832909,1.056754,0.00535284
0.09619141,-0.1832974,1.056753,0.005255342
0.1057129,-0.183339,1.05677,0.005167052
0.1068115,-0.1833497,1.056781,0.005153373
0.1184082,-0.1834202,1.056853,0.005117491
0.1256104,-0.183474,1.056891,0.005113095
0.1290283,-0.1834751,1.056875,0.005100653
0.1401367,-0.1834908,1.056874,0.005087018
0.1456299,-0.1835038,1.056897,0.005089805
0.1513672,-0.1834648,1.056921,0.005113274
0.1624756,-0.1833961,1.056945,0.005166605
0.1656494,-0.183373,1.056949,0.005187005
0.173584,-0.1833238,1.056939,0.005189702
0.1851807,-0.1832408,1.056908,0.005106568
0.1856689,-0.1832358,1.056906,0.005100518
0.1958008,-0.1831863,1.056887,0.005013436
0.2056885,-0.1831867,1.056953,0.005040631
0.2069092,-0.1832055,1.056962,0.005091652
0.2180176,-0.1832622,1.057113,0.005230114
0.225708,-0.1832909,1.057213,0.005274042
0.2298584,-0.183318,1.057263,0.00529249
0.2438965,-0.1834339,1.057338,0.005306557
0.2457275,-0.1834517,1.057346,0.005305991
0.2514648,-0.1834692,1.057328,0.005278453
0.2612305,-0.183479,1.057297,0.005250677
0.265625,-0.1834526,1.057249,0.005201384
0.2723389,-0.1834366,1.05718,0.00513722
0.2838135,-0.1834493,1.057059,0.005047321
0.2856445,-0.1834636,1.057067,0.005067915
0.2945557,-0.183458,1.057,0.00504142
0.3056641,-0.1833708,1.057008,0.005085424
0.3056641,-0.1834109,1.057001,0.005112499
0.3168945,-0.1833951,1.05696,0.005241424
0.3256836,-0.1833334,1.056952,0.00526379
0.3277588,-0.1833233,1.056945,0.005267233
0.3389893,-0.1832632,1.05683,0.005261317
0.3457031,-0.1832597,1.056755,0.005285203
0.3500977,-0.1832761,1.056763,0.005303785
0.361084,-0.183268,1.056793,0.00534001
0.3657227,-0.1832741,1.05676,0.005346745
0.3724365,-0.1832959,1.056741,0.005393147
0.383667,-0.1834138,1.056716,0.005441383
0.3856201,-0.1833878,1.056735,0.005416811
0.3966064,-0.1834271,1.056796,0.005417615
0.4056396,-0.183457,1.056838,0.005441815
0.4056396,-0.1834317,1.056847,0.00542891
