Time, X, Y, Z
0,-0.1666885,0.8934853,0.183896
0,-0.1637257,0.9216998,0.1171078
0,-0.2096862,0.9235659,0.1673752
0,-0.1977227,0.9114985,0.1418727
0,-0.1712589,0.9117873,0.1006935
0,-0.232489,0.9314687,0.1637498
0,-0.1721728,0.9198552,0.1591498
0,-0.2197281,0.9056001,0.164807
0,-0.1806733,0.9163553,0.1420711
0,-0.2129785,0.9037349,0.1781578
0,-0.1637142,0.9195745,0.1412395
0,-0.2220657,0.8976928,0.1466641
0,-0.1820885,0.8959504,0.181742
0,-0.1969067,0.9121563,0.1893806
0,-0.2148349,0.9126014,0.1324661
0,-0.1301504,0.9200698,0.1643368
0,-0.2016834,0.9080491,0.1510777
0,-0.1642428,0.9104764,0.140515
0,-0.1975403,0.9110915,0.1620764
0,-0.1656111,0.899431,0.1660888
0,-0.1793958,0.9092942,0.1968021
0,-0.2027464,0.8997666,0.1923718
0,-0.143242,0.8993791,0.1573657
0,-0.1961454,0.914755,0.1802959
0,-0.1671177,0.9007444,0.1716259
0,-0.2066886,0.9110353,0.210333
0,-0.2454771,0.906912,0.1423585
0,-0.07601792,0.885795,0.031715
0,-0.14527,0.9222469,0.13939
0,0.09318805,0.9052025,0.1263328
0,-0.1972796,0.9011358,0.2018712
0,-0.2141605,0.8936365,0.1743371
0,-0.1697802,0.9029384,0.162117
0,-0.1978414,0.8906175,0.1803605
0,-0.200246,0.9365697,0.2129112
0,-0.209154,0.9266888,0.1887735
0,-0.1720029,0.906382,0.1687339
0,-0.1480761,0.9311732,0.1701923
0,-0.1690167,0.9109628,0.1127391
0,-0.1417931,0.8864758,-0.02768688
0,0.008622117,0.9040076,0.1226939
0,-0.1882691,0.9068336,0.11271
0,-0.1967241,0.8954935,0.2003458
0,-0.1983752,0.8974743,0.1235052
0,-0.1006775,0.9167657,0.127787
0,-0.1976316,0.9200595,0.2152097
0,-0.1561483,0.8933512,0.1342033
0,-0.2544778,0.8961085,0.1642983
0,-0.1960834,0.9049436,0.1312987
0,-0.1759908,0.8998806,0.1818583
0,-0.1454191,0.8947083,0.1383684
0,-0.2049088,0.9286262,0.2038276
0,-0.205147,0.8880998,0.1231972
0,-0.2263047,0.8962507,0.1947451
0,-0.1643779,0.9197358,0.1531908
0,-0.227275,0.8965134,0.160104
0,-0.2033391,0.9214005,0.2085802
12.10486,-0.1236236,0.9366494,0.183723
13.72485,-0.2183394,0.9321634,0.1648645
17.92487,-0.2761528,0.8927062,0.182819
19.56488,-0.203448,0.8810872,0.1611905
21.28485,-0.2287262,0.9024019,0.214975
22.5249,-0.1339102,0.9443899,0.1240555
24.06488,-0.1641604,0.9095207,0.1701171
25.94489,-0.1506136,0.9244854,0.127644
27.7049,-0.1840457,0.925665,0.1851154
30.00488,-0.1599534,0.9160001,0.1981563
32.24487,-0.07973892,0.9252866,0.05087798
33.84485,-0.2291915,0.9037685,0.1540428
35.38489,-0.1634988,0.9149544,0.1838102
37.10486,-0.2119407,0.9299326,0.1511188
38.82489,-0.2320566,0.927151,0.1833683
40.94489,-0.1713903,0.9072528,0.1513449
46.0849,-0.154668,0.915229,0.173996
47.84485,-0.2146358,0.90123,0.175272
49.24487,-0.1437257,0.9218692,0.1388795
51.22485,-0.2002626,0.9103034,0.1910495
53.34485,-0.1834652,0.9029466,0.1785799
56.26489,-0.2117668,0.8996529,0.1995472
58.94489,-0.1972098,0.9032003,0.1451359
60.68488,-0.1646055,0.9233553,0.197012
62.44489,-0.2220443,0.9308424,0.1651521
64.2049,-0.1977838,0.9164839,0.2201867
67.6449,-0.2053082,0.9125173,0.1477499
69.84485,-0.1693527,0.9124553,0.2046644
70.94489,-0.1082654,0.9416181,0.1023123
75.42487,-0.2105773,0.9156129,0.1924066
78.24487,-0.1688558,0.9216655,0.1512217
80.06488,-0.217227,0.9242507,0.1691667
81.90485,-0.1713532,0.9072962,0.2002327
83.90485,-0.2292595,0.9118968,0.1832683
86.82489,-0.1747689,0.9199768,0.1865518
89.38489,-0.209049,0.9109979,0.1544675
91.5249,-0.2295582,0.9139041,0.1662372
93.40485,-0.1745518,0.9116822,0.1780559
95.6449,-0.2171779,0.909559,0.1828555
97.34485,-0.1932683,0.9232565,0.1773016
99.34485,-0.2218621,0.9118888,0.1825563
101.2249,-0.184286,0.9175644,0.2029216
103.2249,-0.2050087,0.917928,0.1933032
105.1049,-0.1814077,0.9096789,0.1967272
107.3448,-0.235041,0.8988712,0.1728487
129.2049,-0.1897729,0.9009147,0.2227885
131.0649,-0.2098412,0.9010403,0.1355525
132.6049,-0.2370411,0.8975195,0.207791
134.2449,-0.2007869,0.9075147,0.1773446
135.9449,-0.2402088,0.9188717,0.1734523
137.6049,-0.1779043,0.9109517,0.1593749
139.0849,-0.2449197,0.9040471,0.2054285
140.8448,-0.1751894,0.9036472,0.1855011
142.3448,-0.2181843,0.8976253,0.1981254
144.0049,-0.1557751,0.9063644,0.1991375
145.7049,-0.172474,0.9208344,0.1655135
148.5049,-0.2288942,0.9026297,0.2019358
149.9648,-0.1886168,0.892849,0.2419181
151.6649,-0.2268265,0.9088377,0.1869545
153.3649,-0.1747917,0.9139677,0.1899859
